日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1037.322,1059.528,1032.57,1058.249,3864934300,40729921000.0
2020-01-03,1059.108,1066.737,1053.578,1063.647,3901566500,40520177000.0
2020-01-06,1055.976,1082.478,1051.368,1075.49,4377762300,44331921000.0
2020-01-07,1078.296,1085.238,1073.69,1085.238,3724604700,38920269000.0
2020-01-08,1079.906,1099.92,1075.269,1077.939,6302621800,54654270000.0
2020-01-09,1089.071,1096.436,1087.414,1096.436,4177402000,41623961000.0
2020-01-10,1099.156,1100.197,1081.509,1089.62,3346511700,36315555000.0
2020-01-13,1088.926,1111.072,1081.958,1111.072,3455144600,40149674000.0
2020-01-14,1114.95,1116.513,1107.228,1108.28,3702053700,42776032000.0
2020-01-15,1103.133,1108.024,1092.284,1106.364,3321780000,36534430000.0
2020-01-16,1105.56,1118.908,1104.093,1111.735,3593350600,43128222000.0
2020-01-17,1113.316,1117.892,1101.866,1104.118,3020410600,36796367000.0
2020-01-20,1102.851,1130.53,1097.231,1130.525,4118773200,47807597000.0
2020-01-21,1126.99,1129.777,1119.425,1120.725,3451293700,42939238000.0
2020-01-22,1112.38,1149.102,1096.577,1144.695,4045121300,49810380000.0
2020-01-23,1127.737,1142.781,1078.06,1092.486,4835735100,57430385000.0
2020-02-03,982.986,987.398,981.858,984.834,1226966910,13025464300.0
2020-02-04,915.531,986.676,915.531,979.242,5699764400,53726669000.0
2020-02-05,986.493,1025.443,986.493,1000.967,4678648900,48632022000.0
2020-02-06,995.524,1028.625,990.855,1025.952,5178782600,52027917000.0
2020-02-07,1022.896,1046.316,1017.932,1045.687,4741071400,52556180000.0
2020-02-10,1039.527,1054.359,1036.237,1054.338,4258565400,45938083000.0
2020-02-11,1055.445,1065.23,1045.342,1055.763,3988987500,47050543000.0
2020-02-12,1050.745,1083.128,1048.554,1082.576,4328817500,50675117000.0
2020-02-13,1079.664,1099.039,1070.213,1079.495,4871598000,57463513000.0
2020-02-14,1075.949,1107.207,1075.949,1089.793,4595100800,56210319000.0
2020-02-17,1098.07,1136.209,1098.07,1136.209,5510238800,60792869000.0
2020-02-18,1138.23,1186.124,1136.603,1186.124,6526970200,72821626000.0
2020-02-19,1187.96,1214.172,1178.645,1190.051,6445207000,75186439000.0
2020-02-20,1194.644,1226.802,1175.459,1225.886,7459156700,78758500000.0
2020-02-21,1228.415,1261.637,1228.178,1254.636,8229123100,88660732000.0
2020-02-24,1252.56,1306.093,1251.483,1300.576,8223105300,94273721000.0
2020-02-25,1265.489,1325.75,1237.78,1319.863,9788086600,112965537000.0
2020-02-26,1296.4,1316.993,1251.411,1257.593,9686770700,102959725000.0
2020-02-27,1263.868,1272.784,1218.067,1238.502,6700855400,74127771000.0
