日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1202.768,1215.697,1202.191,1215.443,2177090800,17187568000.0
2020-01-03,1216.657,1227.107,1214.756,1224.655,1932990500,15582171000.0
2020-01-06,1225.818,1241.824,1223.803,1232.94,2719154200,23819609000.0
2020-01-07,1232.038,1245.716,1232.038,1245.716,2175373200,17734491000.0
2020-01-08,1248.272,1255.821,1238.686,1246.781,2703405700,22580222000.0
2020-01-09,1245.591,1254.147,1245.284,1254.147,2038942400,17273929000.0
2020-01-10,1256.731,1257.586,1238.939,1244.457,1748890100,14612401000.0
2020-01-13,1241.447,1248.804,1231.036,1248.804,1652126300,14746401000.0
2020-01-14,1250.711,1252.04,1244.885,1245.253,1676339500,14481479000.0
2020-01-15,1244.308,1244.308,1229.633,1235.116,1501302100,12089375200.0
2020-01-16,1237.607,1240.056,1226.765,1228.158,1616516300,13906785000.0
2020-01-17,1228.766,1230.478,1219.936,1221.359,1439731900,12572570000.0
2020-01-20,1222.022,1234.724,1218.599,1234.653,1511420800,13925610000.0
2020-01-21,1231.816,1231.816,1218.363,1219.501,1730312000,16763178000.0
2020-01-22,1214.56,1225.349,1197.538,1220.454,1548544100,14289902000.0
2020-01-23,1209.553,1220.264,1174.095,1182.491,2236886900,20059148000.0
2020-02-03,1070.34,1073.873,1069.504,1072.265,1306588010,13466295000.0
2020-02-04,1003.543,1058.276,1003.543,1056.085,2766207500,22240334000.0
2020-02-05,1058.31,1091.012,1058.31,1074.499,2261312700,18651064000.0
2020-02-06,1078.062,1096.968,1069.42,1092.477,2037961900,16419144000.0
2020-02-07,1097.09,1102.367,1084.713,1102.354,2123172800,22211561000.0
2020-02-10,1102.708,1125.981,1100.776,1125.705,2314470500,23008362000.0
2020-02-11,1126.118,1130.969,1119.263,1124.304,1916381300,18279941000.0
2020-02-12,1123.746,1144.594,1122.892,1144.14,1823114100,17479952000.0
2020-02-13,1144.296,1149.717,1129.865,1132.489,2052086400,20900261000.0
2020-02-14,1129.717,1140.097,1126.508,1133.582,1797942300,19117601000.0
