日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-07-21,997.581,1051.714,992.67,1038.722,592011500,10438595500.0
2022-07-22,1051.161,1095.196,1051.161,1058.402,1078759250,16023856000.0
2022-07-25,1064.678,1064.678,1003.546,1005.032,1343839900,14888738000.0
2022-07-26,999.075,1052.649,978.359,1047.005,1443765200,15376273000.0
2022-07-27,1040.485,1088.346,1039.672,1083.284,1514907900,18408881000.0
2022-07-28,1095.749,1110.316,1088.22,1092.577,1444298200,17795483000.0
2022-07-29,1094.807,1105.526,1085.38,1092.459,1161114290,14391436000.0
2022-08-01,1090.139,1110.44,1081.833,1104.069,988501110,12780797300.0
2022-08-02,1094.4,1099.445,1069.33,1077.183,1505551000,21960135000.0
2022-08-03,1085.041,1091.931,1029.147,1033.075,1623852700,21971150000.0
2022-08-04,1041.055,1058.975,1025.151,1058.841,1272244720,16354297000.0
2022-08-05,1057.753,1065.825,1036.388,1051.431,1148399300,16714177000.0
2022-08-08,1048.279,1085.066,1036.993,1084.328,1128114590,16951188000.0
2022-08-09,1082.661,1115.568,1081.133,1100.044,1522197900,23422341000.0
2022-08-10,1097.777,1150.323,1097.777,1144.437,1830417800,25514491000.0
2022-08-11,1144.046,1144.801,1122.399,1135.233,1466990100,22725085000.0
2022-08-12,1126.525,1128.694,1105.744,1109.164,1072963340,15760976000.0
2022-08-15,1106.863,1144.806,1105.703,1144.219,1192443890,19867170000.0
2022-08-16,1143.423,1178.332,1138.12,1171.228,1476414000,23965552000.0
2022-08-17,1175.644,1215.809,1173.767,1179.183,1801505200,26189916000.0
2022-08-18,1180.803,1217.744,1180.261,1217.076,1860500500,26090157000.0
2022-08-19,1228.511,1232.099,1176.22,1176.818,1729009000,30676659000.0
2022-08-22,1170.089,1170.375,1146.377,1156.777,1655534800,38402533000.0
2022-08-23,1157.684,1196.852,1155.043,1190.311,1681431200,34197751000.0
2022-08-24,1187.887,1187.887,1143.871,1147.022,1692539500,28332232000.0
2022-08-25,1150.963,1153.575,1099.771,1117.986,1372624300,23912705000.0
2022-08-26,1124.462,1138.58,1113.734,1115.811,1046435060,19157959000.0
2022-08-29,1094.843,1144.281,1090.756,1139.326,1017904270,18171643000.0
2022-08-30,1137.764,1137.764,1103.491,1108.444,1097633560,17867503000.0
2022-08-31,1103.278,1110.596,1051.85,1051.85,1117349860,21096896000.0
2022-09-01,1053.176,1056.183,1027.782,1032.671,809649640,13927374000.0
2022-09-02,1031.621,1050.223,1017.991,1044.707,735657090,12859962600.0
2022-09-05,1045.513,1063.126,1035.52,1042.107,723553800,12963016800.0
2022-09-06,1047.141,1090.496,1033.621,1089.505,1096723730,23387280000.0
2022-09-07,1082.722,1116.262,1079.432,1109.111,1017281390,21036919000.0
2022-09-08,1109.72,1119.828,1094.504,1095.905,801043830,15219443000.0
2022-09-09,1097.499,1100.653,1067.177,1077.915,680649380,13918134000.0
2022-09-13,1081.642,1083.245,1059.964,1073.074,645190070,12482903300.0
2022-09-14,1052.434,1069.329,1043.297,1050.196,622930250,11086601100.0
2022-09-15,1054.813,1056.582,972.19,983.468,1087183240,21237086000.0
2022-09-16,979.448,997.57,967.136,967.136,673566750,12593731800.0
2022-09-19,967.208,981.373,951.258,957.286,543734820,10114420400.0
2022-09-20,968.794,994.533,968.794,982.261,640699590,12806201300.0
2022-09-21,977.031,989.986,964.128,982.48,650010460,9779388900.0
2022-09-22,980.026,1009.628,975.53,991.076,759581370,11935743100.0
2022-09-23,993.665,1005.982,967.411,976.236,728045280,12315584800.0
2022-09-26,967.589,1000.713,967.589,978.934,761657620,13290996600.0
2022-09-27,984.449,994.322,971.493,992.679,696300060,11554087600.0
2022-09-28,987.018,994.949,946.712,946.771,757109150,12647435300.0
2022-09-29,951.934,961.849,933.274,952.129,780222000,15099155000.0
2022-09-30,949.973,954.376,928.941,928.941,614986370,11809928300.0
2022-10-10,930.303,938.606,895.444,899.235,588663430,10776003100.0
2022-10-11,900.913,928.87,896.79,920.364,597564010,10076261900.0
2022-10-12,921.36,961.808,905.67,961.704,830269720,15392846000.0
2022-10-13,953.332,966.663,944.631,945.177,777808580,13751165000.0
2022-10-14,958.566,996.795,949.239,985.518,1134407220,23988470000.0
2022-10-17,973.923,989.482,967.836,987.933,823073650,15946257000.0
2022-10-18,990.371,1003.236,984.4,988.202,799106750,14162451000.0
2022-10-19,984.148,996.116,979.496,979.91,713998580,12910928300.0
2022-10-20,971.965,978.401,945.907,962.561,678653320,12831812300.0
2022-10-21,964.286,974.766,957.009,962.869,573828730,11143174500.0
2022-10-24,961.487,975.638,942.328,950.785,757451910,13797744000.0
2022-10-25,944.085,986.931,935.28,978.797,1061134570,18595034000.0
2022-10-26,976.428,1002.168,969.492,996.526,970879350,18250797000.0
2022-10-27,998.294,1016.66,973.673,973.942,859143990,17717339000.0
2022-10-28,961.197,961.387,925.356,928.683,795589370,13767967000.0
2022-10-31,916.596,934.09,907.72,923.834,668781750,13038488400.0
2022-11-01,926.66,959.719,926.66,959.447,840064820,16715569000.0
2022-11-02,961.06,979.201,959.268,973.652,826153420,15508909000.0
2022-11-03,967.127,992.58,967.127,985.288,849975470,16532617000.0
2022-11-04,987.704,1016.061,987.289,1013.233,1055587910,20031743000.0
2022-11-07,1012.633,1020.667,1003.888,1011.124,785053710,14703484000.0
2022-11-08,1011.32,1011.448,985.487,994.472,639495990,11447562100.0
2022-11-09,995.431,1000.629,987.891,991.139,477339890,9685795900.0
2022-11-10,984.867,990.541,972.134,974.46,585399630,11648066100.0
2022-11-11,1003.81,1004.741,971.458,971.458,853595970,17793547000.0
2022-11-14,968.082,970.897,940.927,945.332,710503490,14455562000.0
2022-11-15,945.503,984.585,945.323,984.585,732613960,14925210000.0
2022-11-16,983.298,986.108,966.161,968.422,663546710,13238991400.0
2022-11-17,965.85,965.85,948.25,960.546,575389970,11800347600.0
2022-11-18,960.587,974.919,949.869,958.009,639306740,13158820400.0
2022-11-21,957.074,981.55,957.074,981.55,774705870,12749962500.0
2022-11-22,976.889,981.262,960.975,963.593,690637790,11751063200.0
2022-11-23,963.524,978.315,943.991,974.497,693764750,13113437800.0
2022-11-24,975.368,982.89,970.064,971.877,537623000,9702774700.0
2022-11-25,968.463,968.463,952.762,953.87,493275420,9728838600.0
2022-11-28,935.015,946.641,932.277,946.406,454747260,8762813500.0
2022-11-29,946.736,959.953,942.829,958.354,514380320,9044935800.0
2022-11-30,959.496,967.026,954.519,963.366,536907250,9364766200.0
2022-12-01,970.767,985.628,970.415,974.307,775617320,14733078000.0
2022-12-02,969.744,991.349,969.116,989.716,891364560,14971188000.0
2022-12-05,990.524,991.055,977.452,983.674,931874550,16234760000.0
2022-12-06,981.534,1006.496,979.476,997.869,893813890,15318287000.0
2022-12-07,994.407,999.195,980.031,982.752,700728440,11949394000.0
2022-12-08,979.62,994.039,974.111,977.816,614800870,11430786300.0
2022-12-09,979.193,983.167,971.849,975.729,666003880,12793806200.0
2022-12-12,972.458,972.458,955.962,963.19,559971590,9664301000.0
2022-12-13,963.41,963.41,938.705,940.354,529723530,10369452100.0
2022-12-14,944.193,950.744,936.53,940.186,467906230,8917013600.0
2022-12-15,938.506,956.532,934.279,955.704,482954120,8791935500.0
2022-12-16,950.179,952.879,922.736,925.128,591623820,10601625100.0
2022-12-19,923.82,933.673,905.9,909.218,485732320,7747482800.0
2022-12-20,906.052,916.771,904.593,911.63,391040670,7407636200.0
2022-12-21,912.576,912.938,889.452,894.201,413704820,7500385500.0
2022-12-22,896.857,897.612,862.755,866.069,619569250,12920645800.0
2022-12-23,857.021,865.243,846.465,853.431,442522290,8174956700.0
2022-12-26,853.662,896.832,853.268,894.791,583961180,11158918200.0
2022-12-27,896.747,913.856,894.851,912.659,552055630,10684369500.0
2022-12-28,906.891,908.76,898.236,900.542,480956400,9209263000.0
2022-12-29,897.731,905.705,892.44,892.936,395983700,6772518700.0
2022-12-30,897.32,903.234,891.591,892.511,354047510,6931181100.0
2023-01-03,890.849,920.42,888.649,919.57,536359120,10190695800.0
2023-01-04,919.558,923.288,906.817,913.289,503112510,10423359900.0
2023-01-05,914.061,929.065,909.617,926.956,549743450,11918022800.0
2023-01-06,930.356,980.804,930.356,965.657,1262629530,24561135000.0
2023-01-09,972.522,985.756,960.195,980.499,1084144140,18669357000.0
2023-01-10,982.206,990.361,977.077,978.873,803670840,15427025000.0
2023-01-11,979.498,989.572,970.251,970.525,817479450,14948699000.0
2023-01-12,971.683,981.588,968.48,972.644,719842950,14415338000.0
2023-01-13,979.362,979.362,958.062,966.484,593470420,11447855800.0
2023-01-16,967.538,987.509,966.474,974.405,685036260,14315878000.0
2023-01-17,975.386,988.889,974.373,979.722,636501170,11674478700.0
2023-01-18,984.644,991.52,973.084,989.912,626150170,12370374900.0
2023-01-19,990.157,1003.889,985.715,1002.783,718210790,12847541100.0
2023-01-20,1005.126,1018.927,1003.332,1017.609,806978250,17556617000.0
2023-01-30,1031.728,1046.32,1026.085,1033.543,1015910420,21266902000.0
2023-01-31,1025.372,1073.303,1024.058,1068.943,1263449090,21831617000.0
2023-02-01,1076.493,1088.377,1074.122,1087.431,1351394100,24380735000.0
2023-02-02,1084.232,1099.894,1075.925,1090.031,1116045850,21677218000.0
2023-02-03,1086.839,1090.274,1066.937,1084.558,976950220,20187614000.0
2023-02-06,1075.403,1077.09,1062.943,1070.187,763456180,14484599000.0
2023-02-07,1072.845,1109.437,1072.845,1104.898,1062973030,19219202000.0
2023-02-08,1098.785,1106.466,1090.139,1091.038,1153533660,17598424000.0
2023-02-09,1088.721,1117.9,1084.396,1109.355,1222295980,20164309000.0
2023-02-10,1103.728,1108.642,1094.436,1105.682,1041045850,18238929000.0
2023-02-13,1100.236,1109.995,1095.11,1108.278,918661170,15890503000.0
2023-02-14,1110.955,1123.562,1095.013,1106.218,985781290,18784813000.0
2023-02-15,1103.979,1113.897,1097.772,1113.817,994666670,20818369000.0
2023-02-16,1115.147,1118.15,1067.868,1072.281,1204052140,21276749000.0
2023-02-17,1075.4,1078.1,1051.695,1051.98,901097710,15737632000.0
2023-02-20,1052.035,1062.423,1041.783,1062.423,702423560,13543598000.0
2023-02-21,1063.341,1079.589,1053.165,1060.495,838449300,18761505000.0
2023-02-22,1047.432,1061.724,1046.135,1047.997,681458010,14021588000.0
2023-02-23,1046.721,1057.439,1045.597,1051.805,788579560,18432467000.0
2023-02-24,1051.163,1051.205,1029.34,1033.487,650350930,13544318000.0
2023-02-27,1030.558,1045.598,1023.033,1024.601,594707760,12424195300.0
2023-02-28,1021.265,1028.658,1016.114,1027.032,641651620,12270780400.0
2023-03-01,1026.2,1026.512,1015.584,1026.472,645672020,12528484900.0
2023-03-02,1025.754,1026.141,1005.941,1007.065,701280980,12926723500.0
2023-03-03,1008.548,1015.586,1002.344,1007.932,571909460,9331280600.0
2023-03-06,1007.49,1023.326,994.391,1019.895,800662200,17347629000.0
2023-03-07,1018.123,1018.123,991.432,991.432,645223990,12871623700.0
2023-03-08,987.165,1004.189,987.165,1003.166,514541580,10864363800.0
2023-03-09,1007.323,1015.578,1003.948,1005.753,630951170,12274842400.0
2023-03-10,998.919,1001.422,987.125,989.024,590879720,10982369300.0
