日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-10,1002.25,1010.706,990.811,999.808,2394874200,23512677000.0
2022-03-11,984.225,997.448,967.412,995.989,2000165500,18310710000.0
2022-03-14,983.958,993.512,962.877,963.071,1733218300,16520844000.0
2022-03-15,954.517,954.517,896.226,896.226,2585649500,22106125000.0
2022-03-16,911.831,928.377,876.121,924.863,2114504900,18901256000.0
2022-03-17,936.964,949.667,931.567,933.576,1761508700,17231500000.0
2022-03-18,933.055,954.397,930.899,953.302,1510756500,15232349000.0
2022-03-21,954.433,963.143,944.973,956.69,1486868400,15702146000.0
2022-03-22,954.036,968.88,950.309,963.838,1455835900,14752122000.0
2022-03-23,963.259,963.901,955.515,959.557,1113947020,11200589300.0
2022-03-24,964.858,969.67,955.47,963.874,1725619200,16695975000.0
2022-03-25,962.164,976.764,960.105,961.225,1509137600,14885417000.0
2022-03-28,951.24,963.24,933.559,952.688,1330640230,13622334000.0
2022-03-29,954.255,957.892,944.587,950.742,1004937680,10609092900.0
2022-03-30,951.796,958.087,946.879,957.798,1186224110,11489955400.0
2022-03-31,956.982,956.982,938.614,943.157,1255810810,13099577600.0
2022-04-01,937.486,949.229,934.544,948.226,997542320,10110277200.0
2022-04-06,945.582,956.567,938.429,955.924,1340714320,12016433400.0
2022-04-07,951.441,956.007,941.597,943.662,1234040990,11021569600.0
2022-04-08,944.226,962.892,934.599,959.358,2157072800,18844452000.0
2022-04-11,957.546,958.122,922.052,926.792,1880082000,17486533000.0
2022-04-12,923.638,942.663,918.631,942.412,1438174000,12872529000.0
2022-04-13,941.217,971.227,935.566,959.259,2392249300,21065595000.0
2022-04-14,961.962,978.155,956.836,972.402,1859654800,16414382000.0
2022-04-15,968.346,974.592,949.477,953.082,1928602000,18473529000.0
2022-04-18,948.008,952.781,933.791,948.728,1224709180,11653189400.0
2022-04-19,953.827,968.586,953.255,963.377,1242984380,12463541300.0
2022-04-20,956.739,959.451,927.9,931.744,1459473800,13608837000.0
2022-04-21,929.466,930.046,885.736,888.369,1524290400,13066375200.0
2022-04-22,884.528,895.51,871.622,888.258,1222075450,10688798200.0
2022-04-25,868.183,868.183,817.042,817.042,1755119700,14610267000.0
2022-04-26,813.443,816.554,781.691,784.668,1640416700,12943177300.0
2022-04-27,771.473,820.229,767.707,819.844,1739009900,14934336000.0
2022-04-28,812.035,825.884,801.934,814.346,1400951800,13564674000.0
2022-04-29,820.16,846.161,818.24,844.417,1502352500,14558490000.0
2022-05-05,838.962,854.127,835.852,848.124,1372796500,13273167700.0
2022-05-06,824.931,831.343,817.533,823.527,1424290700,12402933100.0
2022-05-09,822.126,833.37,819.442,825.511,1137500470,9780520700.0
2022-05-10,811.583,833.706,806.334,833.371,1696869700,14511768000.0
2022-05-11,830.425,854.717,829.932,837.344,1729213800,16138000000.0
2022-05-12,831.822,841.284,824.356,833.171,1230308810,11441603500.0
2022-05-13,835.591,838.972,827.488,836.809,1093203770,9855797400.0
2022-05-16,842.144,845.527,834.567,837.688,1009313910,9303384400.0
2022-05-17,840.738,849.49,836.904,849.323,1231704770,12082247000.0
2022-05-18,848.814,852.208,844.347,847.402,1082623470,10700947600.0
2022-05-19,835.225,853.214,832.304,852.817,1184498130,10584229700.0
2022-05-20,859.622,875.238,858.177,875.233,1811609400,15582320000.0
2022-05-23,877.869,897.636,877.068,896.786,1548981400,15556439000.0
2022-05-24,894.434,896.642,863.546,863.546,1564450400,17995914000.0
2022-05-25,865.891,878.853,864.272,877.211,1206364470,13418334000.0
2022-05-26,878.187,886.67,865.542,881.161,1183317610,12277513500.0
2022-05-27,885.143,888.88,871.228,878.752,1192470920,12533697000.0
2022-05-30,881.937,885.137,875.185,883.692,1053785670,11220555700.0
2022-05-31,881.91,883.374,871.791,883.374,1089501210,11057720600.0
2022-06-01,878.809,881.788,872.291,879.391,1103464790,11165676100.0
2022-06-02,877.008,891.139,875.144,890.869,1187109400,11136502300.0
2022-06-06,890.584,916.279,890.584,916.054,1990719500,18545571000.0
2022-06-07,917.309,919.048,906.607,914.243,1423096600,14764537000.0
2022-06-08,916.848,927.273,902.268,922.368,1606388600,16730559000.0
2022-06-09,921.824,923.457,906.992,919.835,1855311200,17031610000.0
2022-06-10,911.693,936.702,909.645,936.257,1938974000,17687400000.0
2022-06-13,932.39,945.168,930.863,941.549,2189520700,21182701000.0
2022-06-14,929.188,939.359,910.308,939.359,1926984300,18200591000.0
2022-06-15,939.596,950.267,932.491,935.993,2124128900,19366145000.0
2022-06-16,938.973,945.692,933.014,936.199,1642975300,14957576000.0
2022-06-17,930.751,953.12,930.504,951.489,2238670000,20861717000.0
2022-06-20,950.511,953.268,938.248,942.694,2637150300,22803133000.0
2022-06-21,940.798,940.926,914.297,922.687,1808748400,17321085000.0
2022-06-22,923.756,928.258,915.958,916.345,2322948200,19376991000.0
2022-06-23,915.502,928.632,902.917,928.632,2367488600,19060522000.0
2022-06-24,925.345,929.825,920.816,924.382,1921310700,16474847000.0
2022-06-27,926.008,944.26,923.118,938.616,2205065900,20375502000.0
2022-06-28,939.407,949.677,936.293,949.677,1820375600,18396236000.0
2022-06-29,946.971,946.971,919.763,920.022,1832268000,16991074000.0
2022-06-30,920.571,930.97,920.571,924.151,1388569100,13550468000.0
2022-07-01,923.375,937.151,917.195,931.587,1489591100,16184710000.0
2022-07-04,929.995,940.082,926.782,939.897,1358434100,15658567000.0
2022-07-05,941.419,954.147,935.407,948.508,1742169300,17948490000.0
2022-07-06,943.28,943.419,918.414,926.946,2234525000,21093202000.0
2022-07-07,929.949,953.426,928.191,946.874,1610808200,15008236000.0
2022-07-08,955.17,957.032,935.059,935.423,1753347800,14398830000.0
2022-07-11,930.679,930.679,908.868,916.284,1531298300,15196438000.0
2022-07-12,915.346,925.172,909.999,911.034,1347995100,13015341000.0
2022-07-13,909.043,917.534,904.43,917.161,1411908900,12762076700.0
2022-07-14,915.764,919.045,906.593,912.987,1464510800,13677416000.0
2022-07-15,900.976,901.931,883.13,883.13,1685460600,14856248000.0
2022-07-18,886.025,910.356,886.025,910.356,1512489800,13897553000.0
2022-07-19,911.11,920.37,906.628,916.593,1174478020,10632655100.0
2022-07-20,921.025,932.269,919.874,931.909,1337167590,12377951400.0
2022-07-21,929.315,936.67,923.266,927.246,2019731700,16597518000.0
2022-07-22,927.819,933.401,914.146,922.467,1723948400,13671954000.0
2022-07-25,923.307,927.263,913.683,914.984,1169072030,10604936100.0
2022-07-26,916.702,929.102,913.778,927.724,1134070440,14425194000.0
2022-07-27,924.82,928.512,919.294,926.635,906275360,10544638300.0
2022-07-28,933.138,935.396,927.824,931.1,1314023360,12847852400.0
2022-07-29,936.208,938.768,928.362,929.673,1178406700,10599462600.0
2022-08-01,931.755,935.534,920.229,933.39,1155721730,11536425900.0
2022-08-02,924.758,924.758,888.834,899.114,1606153900,13933866000.0
2022-08-03,892.652,908.545,884.006,885.255,1115445640,10198564600.0
2022-08-04,890.125,896.939,878.295,891.53,853207740,8679045000.0
2022-08-05,896.043,914.367,893.995,913.864,1239983100,13053849700.0
2022-08-08,909.894,921.46,907.536,921.107,998669620,11802379000.0
2022-08-09,920.282,924.64,916.502,923.336,911804610,9864806500.0
2022-08-10,925.228,940.093,924.892,932.654,1434995000,14960458000.0
2022-08-11,937.159,937.777,928.442,936.41,1338360210,14362748000.0
2022-08-12,936.514,947.447,935.136,940.434,1362299700,13129391800.0
2022-08-15,939.767,950.025,938.274,948.378,1346545600,13939637000.0
2022-08-16,948.924,949.497,940.799,944.584,1146106100,12503339500.0
2022-08-17,947.236,947.236,935.638,944.503,1128735520,10935336300.0
2022-08-18,940.672,941.336,931.96,933.755,969413840,9496740800.0
2022-08-19,934.746,936.657,923.98,924.466,892709090,9498925800.0
2022-08-22,925.87,944.522,917.546,944.056,1225580930,13764434000.0
2022-08-23,941.669,943.888,932.491,937.222,869036900,9893021600.0
2022-08-24,940.155,944.038,910.857,912.12,1263465180,13651012000.0
2022-08-25,916.275,922.859,907.195,922.473,1218925800,13541005000.0
2022-08-26,922.713,933.156,918.655,920.832,1024747020,13079486400.0
2022-08-29,906.642,921.548,905.296,920.886,933637740,10015519300.0
2022-08-30,921.54,923.782,911.005,915.881,869505460,9392060100.0
2022-08-31,912.405,913.42,889.389,891.665,1192696240,12031447000.0
2022-09-01,888.791,894.61,881.316,882.654,902273140,8627126000.0
2022-09-02,882.546,883.965,877.231,881.98,781369980,7787125500.0
2022-09-05,880.697,895.832,879.775,895.832,747740870,6839707400.0
2022-09-06,900.216,917.296,898.237,917.277,1059582850,12417563200.0
2022-09-07,913.362,925.172,910.533,924.549,1187434760,11217315500.0
2022-09-08,925.444,927.915,919.653,923.276,1075355740,10351493800.0
2022-09-09,927.044,935.437,925.209,935.114,1243200020,12861756600.0
2022-09-13,940.195,949.745,938.543,939.438,1273137440,13099028300.0
2022-09-14,924.21,933.475,921.976,924.28,959805030,10389911300.0
2022-09-15,930.069,930.931,893.313,902.398,1090443360,11948284300.0
2022-09-16,898.822,898.822,867.951,869.086,1328527240,12357720200.0
2022-09-19,869.277,871.99,856.989,861.366,796394600,7691920500.0
2022-09-20,867.976,889.496,867.803,883.913,770252410,9000145300.0
2022-09-21,880.625,898.24,874.342,896.467,740485600,8670376200.0
2022-09-22,889.706,907.21,888.758,899.485,814891420,8529119900.0
2022-09-23,903.476,903.476,877.555,885.162,841261050,8661924400.0
2022-09-26,875.195,875.195,849.154,850.174,1407756700,12141887400.0
2022-09-27,850.98,858.022,838.827,857.558,917621270,9169778200.0
2022-09-28,851.735,851.735,823.325,823.325,887382970,8670472700.0
2022-09-29,832.859,841.497,821.061,825.257,938187920,8994145000.0
2022-09-30,824.518,834.451,823.746,824.487,762438770,7089558600.0
2022-10-10,826.954,833.918,811.102,813.4,837746570,7445024900.0
2022-10-11,815.03,822.252,808.258,819.673,649790430,5944658200.0
2022-10-12,822.071,839.356,809.197,839.356,1306739190,11235069300.0
2022-10-13,834.448,838.747,829.334,831.346,925324920,7986375000.0
2022-10-14,836.243,849.799,836.243,846.558,1045345970,9525213800.0
2022-10-17,841.163,849.602,837.297,848.458,856132580,7393397500.0
2022-10-18,851.098,854.816,844.071,846.079,740997720,6849773300.0
2022-10-19,845.538,849.19,835.964,836.339,751874110,7294649400.0
2022-10-20,831.916,839.384,821.843,831.016,717661800,6540835100.0
2022-10-21,833.736,837.698,825.339,828.195,745723190,6711444000.0
2022-10-24,833.45,845.894,819.729,823.72,1115507890,9780907200.0
2022-10-25,817.842,822.53,803.131,817.467,894390810,8010132300.0
2022-10-26,816.488,831.038,816.378,825.38,815782830,8013758300.0
2022-10-27,829.209,840.728,829.139,831.57,1151818570,10134890300.0
2022-10-28,824.988,824.988,798.194,800.049,1237856390,10326186200.0
2022-10-31,791.413,804.575,788.131,796.894,1060588210,9133429100.0
2022-11-01,798.226,820.202,798.226,820.19,1037370020,9753334400.0
2022-11-02,819.46,830.062,817.828,826.588,966001400,8287569800.0
2022-11-03,817.074,827.2,816.063,825.908,796070890,10209580500.0
2022-11-04,826.617,852.394,826.617,849.364,1352610000,14522745000.0
2022-11-07,866.129,881.151,866.129,876.84,2438911300,21598311000.0
2022-11-08,876.26,886.844,874.438,884.505,1516550300,14023614000.0
2022-11-09,896.714,899.706,889.36,889.36,1716754300,16623339000.0
2022-11-10,882.225,886.836,876.68,881.644,1068450380,11222211800.0
2022-11-11,910.83,913.988,899.789,901.622,2356321900,22102959000.0
2022-11-14,904.306,905.769,881.887,885.868,1597705700,15523126000.0
2022-11-15,885.362,893.438,877.646,893.438,1184549160,11411579600.0
2022-11-16,892.822,894.926,888.217,892.521,1104973480,10634062500.0
2022-11-17,887.748,887.748,874.554,882.915,1097285380,11169138600.0
2022-11-18,881.175,881.293,870.737,871.589,855658390,8190947800.0
2022-11-21,865.314,869.005,857.528,868.445,824480240,7816642900.0
2022-11-22,869.055,878.129,864.742,866.971,1278886990,9467533800.0
2022-11-23,867.876,875.277,865.675,870.577,1355088300,10214022300.0
2022-11-24,874.188,881.897,873.762,878.607,952543620,8948737600.0
2022-11-25,876.865,884.459,873.289,879.016,1061657870,9050589900.0
2022-11-28,869.94,873.593,858.892,870.141,998029800,8672933500.0
2022-11-29,872.397,887.672,872.113,887.517,1277202440,10456926200.0
2022-11-30,885.355,890.293,881.37,884.651,936592710,8737761300.0
2022-12-01,897.465,901.491,893.675,895.215,1407443700,12843893100.0
2022-12-02,896.669,898.353,884.233,887.557,1002379540,9452611700.0
2022-12-05,892.298,911.87,892.298,909.311,2017008800,15468288000.0
2022-12-06,904.363,908.163,898.194,904.416,1414594800,12369725300.0
2022-12-07,901.757,907.711,898.66,901.486,1147670810,10937481600.0
2022-12-08,902.066,905.001,897.912,901.402,937910660,8010216300.0
2022-12-09,902.679,920.657,901.127,920.402,1958617700,16220084000.0
2022-12-12,914.237,914.26,891.804,892.903,1174386490,11618458400.0
2022-12-13,890.789,904.773,890.789,900.767,835995890,8312311500.0
2022-12-14,902.029,911.255,898.041,900.426,752601550,7549146700.0
2022-12-15,897.925,898.783,887.785,894.868,715924770,7318337900.0
2022-12-16,888.255,893.341,882.25,886.623,653617690,6871033300.0
2022-12-19,886.471,892.928,864.166,867.214,848272130,8377170000.0
2022-12-20,865.866,871.468,860.705,864.191,570731140,5664710000.0
2022-12-21,871.2,874.589,859.72,862.435,499939790,5253225000.0
2022-12-22,867.61,868.473,844.464,846.008,572618690,5518081300.0
2022-12-23,839.947,848.581,839.044,843.862,445384260,4507452700.0
2022-12-26,841.741,848.611,839.994,847.717,938650500,6279953100.0
2022-12-27,849.177,858.322,848.972,857.808,737947570,5884604700.0
2022-12-28,855.607,865.627,850.386,859.16,841733200,7072644700.0
2022-12-29,855.501,857.971,848.81,848.823,652138170,5992676600.0
2022-12-30,851.474,855.225,847.949,850.103,615335840,5873707000.0
2023-01-03,849.221,869.18,846.933,867.826,975138570,9279984000.0
2023-01-04,865.523,868.28,858.711,861.433,741179270,6907036400.0
2023-01-05,863.244,868.017,860.984,864.556,817343560,8251632200.0
2023-01-06,863.777,872.256,862.955,866.931,738974760,7536140500.0
2023-01-09,874.579,894.772,874.579,893.246,1607778500,15108360000.0
2023-01-10,892.649,893.839,885.18,888.772,1002380830,9556987500.0
2023-01-11,891.674,897.316,887.481,887.809,1019232010,8787823900.0
2023-01-12,892.497,899.863,887.287,888.887,969765340,8614917200.0
2023-01-13,895.287,899.325,888.155,893.247,804965800,7657240400.0
2023-01-16,896.663,905.952,894.484,901.232,1119599460,10542266600.0
2023-01-17,901.221,903.796,896.741,901.765,854790880,7494039300.0
2023-01-18,903.202,913.736,903.202,910.933,1037626500,8817572700.0
2023-01-19,909.517,916.324,907.339,916.21,837999050,7756929200.0
2023-01-20,919.373,939.193,919.272,937.777,1298062680,12635997500.0
2023-01-30,949.294,951.052,939.835,940.223,1853662900,17029941000.0
2023-01-31,936.541,952.783,935.305,950.072,1420269500,12308207700.0
2023-02-01,954.145,979.457,954.145,976.436,2185055500,18282256000.0
2023-02-02,975.574,975.574,963.879,966.945,1529330500,14165557000.0
2023-02-03,961.953,962.144,944.336,958.252,1306892270,11940550600.0
2023-02-06,947.003,950.406,939.615,949.217,1215363490,11915960100.0
2023-02-07,950.186,958.385,945.197,958.224,1030713330,9619394700.0
2023-02-08,958.541,959.396,948.261,948.55,941287550,9324856300.0
2023-02-09,945.403,956.119,944.468,956.019,852038020,8515913700.0
2023-02-10,953.669,954.15,942.153,945.787,915162820,9125054900.0
2023-02-13,945.065,952.785,944.221,949.486,984488870,8986919200.0
2023-02-14,953.289,970.837,952.402,962.644,1448594700,12808653600.0
2023-02-15,962.485,970.409,954.118,956.023,1170974530,11296065000.0
2023-02-16,954.354,955.369,924.731,931.273,1324304460,11528241500.0
2023-02-17,934.772,944.18,933.203,933.203,1001731470,9076171800.0
2023-02-20,934.088,954.993,932.317,954.993,1482949300,13373170800.0
2023-02-21,961.646,982.962,961.607,977.552,2025265200,18368348000.0
2023-02-22,975.764,980.737,970.217,974.836,1352638400,11807369800.0
2023-02-23,974.997,976.424,966.896,973.423,1004793280,9203573500.0
2023-02-24,971.811,971.86,958.421,964.878,1021085160,10269136500.0
2023-02-27,960.833,964.461,951.083,953.555,963911620,9300776000.0
2023-02-28,955.757,958.909,948.353,958.438,766793150,7162635000.0
2023-03-01,960.38,971.633,956.837,971.633,1259941760,11426272400.0
2023-03-02,972.47,974.262,966.905,967.702,1329464410,11554570200.0
2023-03-03,967.893,969.549,960.841,968.142,1216415480,9876378900.0
2023-03-06,969.999,970.425,958.805,965.845,1256893000,11130581600.0
2023-03-07,965.327,975.165,956.922,957.254,1659312200,13856345000.0
2023-03-08,948.991,951.255,944.261,951.138,1101857010,10138832000.0
2023-03-09,954.424,956.138,946.151,951.265,916628600,7938536500.0
2023-03-10,946.949,946.949,934.272,934.335,967086670,8990685900.0
2023-03-13,937.109,946.399,932.212,941.96,1370609300,13306273600.0
2023-03-14,947.143,957.1,931.074,938.067,1736366600,15575436000.0
2023-03-15,939.16,949.175,938.156,946.053,1436175300,11971750300.0
2023-03-16,937.726,937.732,918.586,919.83,1926385900,16163926000.0
2023-03-17,921.083,934.06,920.872,925.16,1741733700,14285034000.0
2023-03-20,930.76,936.213,928.671,935.004,1999944600,17511698000.0
2023-03-21,933.963,947.439,933.518,947.439,1523291200,13313583300.0
2023-03-22,947.182,951.339,942.302,947.19,1348472100,11031474800.0
2023-03-23,948.144,953.068,943.559,952.877,1395260500,12487048900.0
2023-03-24,954.373,954.373,946.912,947.977,1270845350,11437067300.0
2023-03-27,946.718,947.608,939.721,946.631,1320183110,12392860600.0
2023-03-28,947.823,954.686,938.881,939.007,1082914590,10622154700.0
2023-03-29,942.216,943.723,931.049,931.903,988688220,9701435600.0
2023-03-30,932.528,935.368,924.276,934.964,1042797210,9764969700.0
2023-03-31,935.625,946.126,935.311,945.109,1294406540,12555545600.0
2023-04-03,944.273,944.273,935.303,941.392,1227747610,12015573900.0
2023-04-04,942.337,946.931,936.136,946.846,1641767100,14989294000.0
2023-04-06,950.683,956.785,946.382,955.673,1771023200,16727348000.0
2023-04-07,953.095,953.095,948.318,949.184,1127238710,10759860700.0
2023-04-10,947.264,954.579,942.686,948.219,1141255100,10995684600.0
2023-04-11,946.819,972.939,939.612,972.904,1685890400,16407999000.0
2023-04-12,974.304,986.644,973.126,982.895,1851783400,16489467000.0
2023-04-13,984.029,990.705,972.457,976.687,1417369200,13133033000.0
2023-04-14,988.113,1005.002,988.113,1003.942,2268054300,21201251000.0
2023-04-17,996.844,1012.151,995.341,1011.906,2209162900,20605059000.0
2023-04-18,1011.568,1017.471,1002.554,1006.561,1626630700,17206852000.0
2023-04-19,1008.718,1013.415,1003.672,1005.823,1989120500,18318352000.0
2023-04-20,1001.253,1001.253,983.611,991.351,1971436900,19116817000.0
2023-04-21,989.915,990.512,969.261,969.637,1492428700,14434541000.0
2023-04-24,969.5,969.599,946.528,950.586,1803124200,17681138000.0
2023-04-25,952.96,955.622,918.911,931.406,1551688900,15163597000.0
2023-04-26,925.764,938.533,916.794,932.482,1412289600,13706228000.0
2023-04-27,929.581,936.934,924.809,931.827,1372005600,13193275300.0
2023-04-28,932.058,951.628,932.058,951.493,1487737000,13481346000.0
2023-05-04,955.997,966.716,955.931,959.622,1940995900,17522560000.0
2023-05-05,961.181,961.748,942.497,946.591,1489735000,13659303000.0
2023-05-08,947.975,962.974,947.975,961.406,1725341800,14813164000.0
2023-05-09,963.268,968.469,945.667,945.927,1846828800,15248859000.0
2023-05-10,946.671,954.489,943.198,948.608,1305887460,12563354600.0
2023-05-11,947.71,947.764,939.04,941.925,1133168350,10772733300.0
2023-05-12,934.499,934.499,913.475,914.047,1892617800,16677807000.0
2023-05-15,915.859,932.982,914.699,932.87,1333378240,13957496000.0
2023-05-16,932.497,932.497,920.301,922.491,1010586920,10629812800.0
2023-05-17,918.295,923.205,915.699,920.438,859449610,8214975000.0
2023-05-18,924.376,925.967,916.656,920.239,970046150,9374994500.0
2023-05-19,917.638,917.638,907.453,914.332,972899570,8976830500.0
2023-05-22,914.015,915.786,908.343,912.41,733060700,6498428200.0
2023-05-23,910.81,911.751,900.864,900.864,874014120,7527525600.0
2023-05-24,898.379,905.341,895.801,896.187,927435110,8515208400.0
2023-05-25,893.582,894.621,879.44,887.141,973821080,8247231500.0
2023-05-26,885.946,890.978,875.458,889.808,779138590,7052849600.0
2023-05-29,890.793,892.049,884.827,887.695,895603990,8282987300.0
2023-05-30,887.547,892.414,878.021,889.967,957199350,8362063200.0
2023-05-31,889.46,893.125,886.459,890.247,943179450,8110156300.0
2023-06-01,888.961,902.556,887.755,896.754,1077586690,9601740300.0
2023-06-02,898.949,917.054,898.949,915.986,1293641190,12273254300.0
2023-06-05,913.055,915.186,908.767,911.795,938573000,8418252900.0
2023-06-06,913.01,915.147,899.499,901.327,936678090,8217604300.0
2023-06-07,901.982,904.449,894.35,897.459,691840830,5843789100.0
2023-06-08,896.437,904.713,894.662,901.345,789373980,7346722000.0
2023-06-09,905.06,908.391,901.519,906.517,967481680,9720132700.0
2023-06-12,903.285,907.649,895.709,904.468,874350770,7653044100.0
2023-06-13,902.532,906.123,899.249,902.126,742840170,6153987600.0
2023-06-14,905.383,908.754,901.151,904.848,1172469410,9771729800.0
2023-06-15,903.809,909.013,896.348,908.581,1056809710,9807604800.0
2023-06-16,910.514,917.983,910.496,916.016,1247635760,10705891500.0
2023-06-19,914.55,914.896,898.284,899.325,1151007510,9802735200.0
2023-06-20,898.662,898.662,889.293,890.12,929148470,7608067000.0
2023-06-21,887.603,892.343,878.517,878.517,889023020,7250443400.0
2023-06-26,873.945,878.839,865.612,867.091,904239410,7349861300.0
2023-06-27,868.011,891.797,867.048,890.23,1084748800,8596549000.0
2023-06-28,890.077,890.077,877.615,888.585,751251410,6195055200.0
2023-06-29,886.937,888.414,883.255,883.388,747754750,6172301900.0
2023-06-30,884.018,901.406,883.796,897.828,822508320,6994729100.0
2023-07-03,900.31,915.125,900.31,913.717,1323251250,11043071800.0
2023-07-04,923.04,924.914,910.2,913.225,1025756370,8208736900.0
2023-07-05,911.975,931.042,909.778,926.879,1476705300,11056230200.0
2023-07-06,927.495,927.495,914.934,917.459,1118672630,8734789800.0
2023-07-07,914.991,922.063,904.71,915.921,1060035120,8267851100.0
2023-07-10,918.513,925.784,917.814,919.622,914827520,7699026900.0
2023-07-11,921.37,924.037,914.647,923.824,821744470,7074214300.0
2023-07-12,922.548,927.357,917.713,918.392,953826070,8171959200.0
2023-07-13,927.774,942.097,927.774,937.971,1537888600,13222355600.0
2023-07-14,941.093,946.92,937.487,938.817,1159021670,9548420800.0
2023-07-17,932.414,937.106,924.52,931.699,947802730,8083072900.0
2023-07-18,930.512,937.896,927.004,934.183,743331700,6512216000.0
2023-07-19,936.742,942.311,933.42,940.204,931069750,7834796300.0
2023-07-20,940.291,947.744,934.436,935.636,1055651400,9174446600.0
2023-07-21,931.813,940.038,927.796,932.711,810349970,7218971000.0
2023-07-24,929.796,931.316,921.208,922.885,670552650,5930999700.0
2023-07-25,932.93,945.434,932.581,945.121,1186786940,11407558600.0
2023-07-26,946.679,950.924,941.215,947.893,989851120,7839806000.0
2023-07-27,948.61,952.536,940.558,942.098,958327290,7251459400.0
2023-07-28,936.046,954.913,931.792,953.843,1309539870,10268748300.0
2023-07-31,960.295,977.132,960.295,967.682,1585423700,13002135300.0
2023-08-01,972.105,981.881,968.748,981.881,2041159400,14449596000.0
2023-08-02,986.493,986.493,973.93,976.798,1735641400,12766719600.0
2023-08-03,968.09,970.601,959.249,966.803,1341949370,10340995700.0
2023-08-04,968.736,977.692,966.932,969.394,1258403070,10002022800.0
2023-08-07,968.257,972.329,964.098,970.401,983088470,7784119800.0
2023-08-08,969.727,975.647,962.291,971.951,1153921590,9299679700.0
2023-08-09,966.522,967.91,961.048,962.14,938439600,7667899300.0
2023-08-10,960.315,963.795,954.358,957.845,779778740,6104932800.0
2023-08-11,958.562,960.38,936.793,937.146,1014548860,7897133700.0
2023-08-14,929.898,936.611,923.637,935.482,1047205100,8012122200.0
2023-08-15,934.14,935.705,919.033,927.44,798324480,6106090800.0
2023-08-16,923.045,929.364,919.257,919.502,677787080,5321623100.0
2023-08-17,914.314,923.858,906.357,923.315,817643150,6397244200.0
2023-08-18,922.865,925.886,905.572,905.572,783016990,6152042000.0
2023-08-21,904.813,915.841,900.899,900.899,732510500,5641816300.0
2023-08-22,903.122,909.852,894.118,907.176,1052761440,9088497600.0
