日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,634.421,642.368,633.691,642.311,828995690,5407915600.0
2020-01-03,642.21,644.816,638.826,643.2,632283850,4153243100.0
2020-01-06,639.154,648.371,637.15,644.158,639943390,4256016000.0
2020-01-07,644.749,650.555,644.749,650.514,445607730,3044528200.0
2020-01-08,649.212,650.274,639.582,639.814,460164530,3118736000.0
2020-01-09,644.846,649.522,644.846,649.522,430248930,2942577700.0
2020-01-10,651.549,653.719,648.307,652.155,444880620,3065572700.0
2020-01-13,650.473,658.929,649.671,658.929,464689120,3165414400.0
2020-01-14,660.803,661.476,655.243,655.939,444428460,3098068900.0
2020-01-15,655.955,657.693,649.281,651.636,353134550,2445510100.0
2020-01-16,652.534,653.353,648.987,649.48,336211260,2169022100.0
2020-01-17,651.234,654.043,648.159,649.293,289361460,1950404900.0
2020-01-20,649.971,656.258,649.373,656.258,367523900,2405326200.0
2020-01-21,654.19,654.19,648.141,648.842,404845490,2763654200.0
2020-01-22,646.354,650.072,638.466,648.832,343537810,2406099500.0
2020-01-23,644.318,645.642,620.57,625.773,505777420,3275847400.0
2020-02-03,564.695,566.253,563.446,566.135,556675670,3147479600.0
2020-02-04,528.345,558.409,528.345,557.605,761873750,4021406100.0
2020-02-05,558.063,574.71,558.063,566.8,525209120,2875925100.0
2020-02-06,567.401,578.411,562.77,575.665,513634900,2989769400.0
2020-02-07,577.005,581.392,571.214,581.392,387199070,2354072500.0
2020-02-10,581.604,598.744,579.057,598.239,461600200,2829288300.0
2020-02-11,598.813,604.135,593.615,600.704,535407280,3054668100.0
2020-02-12,600.689,608.646,599.853,608.529,457812470,2607420500.0
2020-02-13,606.417,609.682,597.305,600.541,477200140,2894571100.0
2020-02-14,598.137,604.934,597.976,602.318,447978320,2814578700.0
2020-02-17,603.88,619.877,603.467,619.877,540019560,3600557500.0
2020-02-18,619.444,628.353,616.431,628.353,553460220,3657862900.0
2020-02-19,625.391,629.363,621.595,622.081,498285330,3203464800.0
2020-02-20,622.683,631.403,618.454,631.403,564781990,3595873000.0
2020-02-21,629.982,639.519,629.183,636.66,599309080,3922348400.0
2020-02-24,636.408,640.261,631.308,639.357,636490560,4136085400.0
2020-02-25,626.806,638.675,615.263,638.115,706883140,4444580600.0
2020-02-26,631.446,664.556,629.741,652.216,1230471610,7958430100.0
2020-02-27,658.757,667.275,654.495,659.558,851958790,5794118400.0
2020-02-28,639.338,649.914,628.0,628.0,966768190,6301837200.0
2020-03-02,636.72,674.245,636.72,673.433,1313881030,8526106100.0
2020-03-03,693.364,699.445,677.749,684.286,1281613740,8681832300.0
2020-03-04,677.703,707.548,677.175,707.548,1061424260,7771345300.0
2020-03-05,712.092,716.613,704.683,712.417,971125620,7331326600.0
2020-03-06,698.895,702.575,694.954,694.965,707722450,5185803700.0
2020-03-09,681.348,684.311,664.347,664.861,771271640,5249010500.0
2020-03-10,657.209,683.856,655.909,683.67,775354540,5258456300.0
2020-03-11,685.987,686.049,671.312,671.312,599342000,4153168000.0
2020-03-12,661.768,666.344,651.754,657.19,577741440,3734138400.0
2020-03-13,624.328,652.857,623.408,647.769,703847940,4356935300.0
2020-03-16,654.51,659.479,625.84,626.174,702150960,4452538600.0
2020-03-17,631.366,638.465,607.447,628.368,532526750,3353415600.0
2020-03-18,633.875,648.739,624.038,624.134,568925330,3768503600.0
2020-03-19,621.234,628.469,608.676,625.777,550648390,3431407400.0
2020-03-20,631.649,641.694,628.981,641.608,473180480,3264806500.0
2020-03-23,627.389,636.025,618.649,618.649,404740630,2778129600.0
2020-03-24,629.269,631.948,614.576,630.719,444545290,2993824600.0
2020-03-25,643.376,643.692,634.455,640.704,487038940,3117297700.0
2020-03-26,636.96,639.249,632.45,633.399,418351800,2718271000.0
2020-03-27,638.537,650.446,636.032,638.971,616437020,3801523500.0
2020-03-30,632.486,636.624,623.26,634.127,469068730,2924197500.0
2020-03-31,638.604,640.318,632.447,635.569,440266200,2966239400.0
2020-04-01,635.802,641.363,628.997,630.216,385161140,2649816600.0
2020-04-02,627.484,643.627,625.857,643.627,373934440,2613184600.0
2020-04-03,642.702,643.109,635.295,636.103,350443520,2565247200.0
2020-04-07,645.677,659.44,645.203,658.821,550367460,3808064600.0
2020-04-08,656.829,656.829,651.826,654.316,404602290,2988449300.0
2020-04-09,657.382,664.712,654.956,662.987,462636280,2970683400.0
2020-04-10,662.276,662.276,645.82,646.558,417823130,2713706300.0
2020-04-13,642.975,649.253,639.408,647.069,321006910,2351583000.0
2020-04-14,648.851,658.241,648.834,658.241,372751110,2643594400.0
2020-04-15,656.933,656.933,646.079,647.59,377979530,2851263600.0
2020-04-16,645.175,647.457,641.284,647.028,316000950,2286836500.0
2020-04-17,649.822,662.166,648.622,655.828,535415900,3769968700.0
2020-04-20,659.261,672.344,659.261,672.344,537716360,4102423200.0
2020-04-21,669.295,674.858,663.404,674.674,503077270,3721384500.0
2020-04-22,670.881,679.077,668.434,679.077,439635780,3243987700.0
2020-04-23,680.169,681.024,675.348,678.281,509848310,3805897000.0
2020-04-24,675.707,676.032,658.388,661.142,474501700,3772757100.0
2020-04-27,661.324,662.46,653.112,653.81,433348460,3260778100.0
2020-04-28,653.393,653.393,622.8,636.888,549242360,4213415700.0
2020-04-29,634.19,642.467,634.19,636.207,464660640,3434432300.0
2020-04-30,638.205,649.537,638.135,649.366,452796150,3250223500.0
2020-05-06,645.879,653.464,644.613,653.464,548226920,3999780300.0
2020-05-07,653.549,658.923,650.999,658.593,514388940,4172403100.0
2020-05-08,658.545,663.635,657.975,662.868,570931660,4652416200.0
2020-05-11,660.953,669.084,659.936,663.129,546881010,4311782700.0
2020-05-12,663.499,663.778,655.732,663.566,513457750,3810315900.0
2020-05-13,660.264,668.805,659.055,667.88,423050200,3257468000.0
2020-05-14,664.562,666.173,657.947,658.5,436329080,3456234100.0
2020-05-15,657.846,660.028,653.799,655.194,334637740,2635276100.0
2020-05-18,658.33,662.846,654.883,659.259,388293910,2985270600.0
2020-05-19,663.126,668.562,662.434,668.084,394052020,3369662800.0
2020-05-20,668.237,668.685,661.796,664.299,391340830,3189006600.0
2020-05-21,668.047,668.48,656.965,658.247,382118160,3063650700.0
2020-05-22,657.778,657.778,644.79,645.654,391610950,3300764100.0
2020-05-25,645.393,646.472,641.663,643.537,306802620,2527648400.0
2020-05-26,645.725,661.249,645.725,660.855,395437060,3029613600.0
2020-05-27,662.845,670.622,662.141,666.316,380476590,3060381300.0
2020-05-28,668.684,673.217,662.394,668.739,453237470,4043129600.0
2020-05-29,665.527,675.492,665.527,675.106,388988550,3458431100.0
2020-06-01,677.905,690.909,677.905,690.909,517032100,4216491700.0
2020-06-02,691.123,691.123,686.417,688.398,477717170,4024823100.0
2020-06-03,689.659,692.781,687.498,687.846,485104400,3997611900.0
2020-06-04,688.728,689.902,681.778,684.757,350694980,2739733300.0
2020-06-05,686.42,686.432,676.58,681.248,346506950,2813514600.0
2020-06-08,682.925,684.791,677.284,678.054,393149500,3089581100.0
2020-06-09,679.762,680.042,676.201,679.526,321970260,2868814200.0
2020-06-10,679.831,679.896,675.926,677.196,326023670,2816698800.0
2020-06-11,677.805,680.453,670.267,672.549,378307010,3107664600.0
2020-06-12,662.142,676.816,660.398,676.153,388015420,3139080500.0
2020-06-15,675.007,684.036,674.737,676.772,375727910,3126553000.0
2020-06-16,681.527,687.75,679.5,687.75,371646520,3015625900.0
2020-06-17,689.175,689.359,683.081,688.854,364795110,3027776000.0
2020-06-18,690.851,694.002,688.161,691.054,467485220,3586926900.0
2020-06-19,692.162,697.052,691.93,695.201,434534150,3530946900.0
2020-06-22,699.616,699.983,693.71,694.568,619467080,4881577900.0
2020-06-23,693.822,695.007,690.499,690.648,384881720,3290458400.0
2020-06-24,692.203,693.934,685.579,686.412,404429480,3681077100.0
2020-06-29,685.404,686.548,680.918,683.019,402679020,3457045600.0
2020-06-30,685.065,691.693,684.491,689.035,384803060,3083146700.0
2020-07-01,691.858,702.34,691.614,702.257,711706390,5659597400.0
2020-07-02,703.216,714.612,702.701,714.361,897199840,7235294600.0
2020-07-03,717.461,725.066,716.267,724.846,931298390,6796760400.0
2020-07-06,728.218,751.608,728.218,751.34,1658567200,11548471600.0
2020-07-07,754.941,759.641,743.8,752.307,1354857700,10280985100.0
2020-07-08,752.431,769.895,749.813,769.895,1094444540,8170449100.0
2020-07-09,771.477,789.586,769.45,789.586,1096834770,8530236600.0
2020-07-10,787.646,794.32,779.968,784.137,1014445580,8325642700.0
2020-07-13,785.446,808.302,785.446,808.302,986143480,7917181600.0
2020-07-14,810.045,818.545,802.792,815.602,972961240,8256374600.0
2020-07-15,820.689,822.917,795.777,796.58,881916630,7526387900.0
2020-07-16,797.062,803.188,767.673,769.572,1004875420,8633080700.0
2020-07-17,773.464,783.765,767.219,775.434,683808220,6063907500.0
2020-07-20,784.73,814.154,784.711,814.154,901828910,7354044200.0
2020-07-21,818.492,822.46,813.881,822.46,891007360,7684093000.0
2020-07-22,820.684,830.872,817.072,823.055,749120630,6429841400.0
2020-07-23,820.428,822.882,800.283,819.847,843131980,7158000500.0
2020-07-24,814.711,818.115,776.921,778.286,804994550,6735628800.0
2020-07-27,780.679,783.346,767.823,775.558,544696060,4765783700.0
2020-07-28,778.772,787.709,778.089,787.124,496074190,4400949200.0
2020-07-29,786.636,806.753,778.574,806.753,620550590,5426239200.0
2020-07-30,809.646,817.909,808.395,813.08,743143120,6067499700.0
2020-07-31,812.28,829.132,811.625,828.343,824827110,6942137300.0
2020-08-03,838.357,851.63,837.289,851.63,815502620,6819715800.0
2020-08-04,856.969,860.581,851.24,855.864,994736610,8478126100.0
2020-08-05,852.269,864.811,846.181,864.183,934705640,8071613700.0
2020-08-06,862.591,879.48,859.554,875.075,1091503840,9319705900.0
2020-08-07,877.949,877.949,853.423,866.859,1235653210,10434237900.0
2020-08-10,865.851,897.274,865.351,894.143,1520422600,12824662500.0
2020-08-11,895.78,899.518,871.459,874.029,1425712500,12408460400.0
2020-08-12,866.673,871.764,841.951,863.283,1548233600,12149510300.0
2020-08-13,865.168,875.524,862.038,868.827,1077614510,9092448100.0
2020-08-14,866.66,875.357,861.383,875.125,1068350550,10815482100.0
2020-08-17,875.861,898.94,874.211,898.415,1450187000,14645738000.0
2020-08-18,901.444,913.135,896.095,912.581,1290083900,12983867600.0
2020-08-19,911.921,916.679,900.795,901.842,1196044400,11441126900.0
2020-08-20,895.04,899.758,886.952,889.448,927501260,9407125800.0
2020-08-21,895.553,900.648,891.407,897.52,814209030,8566755000.0
2020-08-24,899.866,903.014,890.54,901.804,845571550,8692756900.0
2020-08-25,902.491,902.883,891.744,894.722,808913970,8040454500.0
2020-08-26,894.758,894.876,864.502,867.131,925663050,8893597600.0
2020-08-27,867.818,880.1,864.034,878.734,722122390,7218126600.0
2020-08-28,879.04,887.934,875.645,887.591,883394780,8761352500.0
2020-08-31,893.865,899.467,884.937,885.265,919643910,9581000400.0
2020-09-01,883.091,883.89,874.705,883.89,727926610,7652218400.0
2020-09-02,885.454,888.605,874.541,884.395,913267310,8830025600.0
2020-09-03,883.545,884.074,870.473,873.672,904452360,8417687100.0
2020-09-04,859.898,874.774,857.491,873.338,759151220,7417060200.0
2020-09-07,873.745,880.616,862.391,867.147,1062002320,11214573400.0
2020-09-08,867.895,881.489,862.118,881.489,986360240,9493370900.0
2020-09-09,873.063,876.27,857.44,857.932,1039932090,9077513100.0
2020-09-10,863.283,864.526,826.66,828.157,997163210,9074868500.0
2020-09-11,826.796,839.085,823.223,837.799,645896520,5771380800.0
2020-09-14,842.814,849.161,838.669,846.726,649382730,6260975200.0
2020-09-15,847.926,853.403,844.224,852.634,658915450,6298753700.0
2020-09-16,853.108,853.217,842.058,847.285,597195440,5689888100.0
2020-09-17,847.7,853.987,842.583,848.164,594880670,5760333600.0
2020-09-18,849.123,864.311,846.752,864.311,1228044260,12244031100.0
2020-09-21,865.61,868.086,861.658,863.625,849208110,8258072000.0
2020-09-22,856.809,860.039,844.538,847.828,688142870,7142504800.0
2020-09-23,850.234,853.304,844.513,850.632,606880080,5471347300.0
2020-09-24,845.962,845.962,825.037,826.017,718756300,6506977100.0
2020-09-25,826.902,828.796,808.751,812.75,681256980,7199166900.0
2020-09-28,815.339,816.709,808.031,808.974,606748050,6342156100.0
2020-09-29,812.557,818.261,808.914,812.285,556884510,5263748400.0
2020-09-30,814.98,817.252,803.53,808.094,575243230,5312724000.0
2020-10-09,820.472,832.309,820.472,830.809,688163900,6770124500.0
2020-10-12,837.474,856.133,836.039,855.951,1039101770,9788878700.0
2020-10-13,855.147,856.277,849.575,856.066,700994820,7289196400.0
2020-10-14,854.552,854.552,845.812,848.957,691017110,7086818900.0
2020-10-15,850.417,850.417,839.959,840.848,649297270,6519352700.0
2020-10-16,845.781,849.25,842.255,848.846,679129410,6773534500.0
2020-10-19,854.447,858.089,844.194,846.271,933683250,9333535400.0
2020-10-20,844.381,847.307,838.013,847.307,668328740,6472154500.0
2020-10-21,848.87,848.87,836.458,840.702,724999580,6584757200.0
2020-10-22,837.152,840.486,830.695,837.905,597162380,6404193400.0
2020-10-23,839.041,840.599,822.492,823.299,733351650,6858095400.0
2020-10-26,822.842,822.842,813.615,817.638,1140746420,9164625800.0
2020-10-27,816.496,820.553,812.841,818.85,878611970,7515976700.0
2020-10-28,819.914,820.167,807.743,818.327,817636960,7344011200.0
2020-10-29,807.769,818.295,804.267,816.275,792883130,7181604300.0
2020-10-30,816.51,816.51,791.993,791.993,945390130,8516642200.0
2020-11-02,792.843,796.112,787.211,791.696,781430210,7577440800.0
2020-11-03,795.115,804.432,793.648,803.951,871199250,7437375400.0
2020-11-04,805.548,809.182,798.623,807.163,767187240,6557010700.0
2020-11-05,811.304,817.866,809.207,817.718,873009280,9379036200.0
2020-11-06,818.95,818.95,809.954,814.733,1006977560,9033157500.0
2020-11-09,816.849,827.592,815.415,825.403,1148849770,10043255100.0
2020-11-10,829.409,829.409,817.308,820.783,798304170,7813557400.0
2020-11-11,820.088,831.111,818.404,821.937,1070318930,10234511900.0
2020-11-12,821.2,822.158,816.308,822.158,700091550,6992131400.0
2020-11-13,818.862,819.183,807.572,811.406,716393600,7882212800.0
2020-11-16,810.696,822.239,810.329,822.239,804964840,7865266400.0
2020-11-17,821.49,821.809,814.143,817.237,842071230,9281832400.0
2020-11-18,816.718,830.828,815.045,827.255,953438290,11201678000.0
2020-11-19,825.83,830.593,822.961,829.717,767004500,8473602100.0
2020-11-20,829.858,830.995,823.898,830.513,797334740,7621557700.0
2020-11-23,832.645,837.205,828.005,832.398,1003037910,9647502000.0
2020-11-24,830.275,833.424,829.026,832.83,854549830,8194410500.0
2020-11-25,833.186,833.829,820.829,821.182,977417060,9220674900.0
2020-11-26,820.288,820.723,810.049,815.292,718849230,7534724300.0
2020-11-27,816.033,818.702,806.338,814.412,740186570,7527906500.0
2020-11-30,814.876,821.503,811.452,811.875,1071559280,11947503100.0
2020-12-01,809.827,819.864,807.813,818.887,735988820,8308633300.0
2020-12-02,818.948,819.085,814.263,817.181,713729520,8148783700.0
2020-12-03,816.812,816.84,810.452,811.922,708183980,6866698400.0
2020-12-04,812.67,817.189,808.672,814.907,703497530,7193023100.0
2020-12-07,814.924,815.845,811.491,811.873,784839710,7059402700.0
2020-12-08,811.46,812.594,807.236,807.899,612603490,5934059200.0
2020-12-09,809.117,810.135,793.533,793.533,642057540,6600499400.0
2020-12-10,791.595,797.36,789.973,794.576,570163280,5632111700.0
2020-12-11,794.389,794.878,774.565,780.356,656692420,6150858400.0
2020-12-14,779.806,786.275,774.471,786.094,581742410,5672253400.0
2020-12-15,785.515,786.214,781.556,785.919,645590010,5913338900.0
2020-12-16,786.839,786.839,776.064,777.057,529300000,4914736200.0
2020-12-17,775.09,783.02,765.445,782.248,587342110,5667443300.0
2020-12-18,781.54,784.109,775.15,777.676,588091510,5593592600.0
2020-12-21,777.044,778.916,772.739,774.889,656328290,6243660600.0
2020-12-22,772.542,772.542,757.759,758.402,741242200,6416043000.0
2020-12-23,760.224,762.824,753.998,758.042,669816350,6222039600.0
2020-12-24,758.461,758.461,738.791,740.89,586790390,5221846000.0
2020-12-25,740.276,746.934,735.806,744.266,593220160,5265979700.0
2020-12-28,744.69,745.022,733.997,734.336,608343380,5820034600.0
2020-12-29,734.531,741.039,733.326,736.839,490011090,5024956100.0
2020-12-30,736.602,737.961,733.809,734.109,525373650,4910400200.0
2020-12-31,735.776,743.919,735.136,743.919,644648480,6399337200.0
2021-01-04,743.675,748.619,739.923,747.849,859675930,9569184700.0
2021-01-05,747.069,747.158,741.49,746.873,909063670,9249007600.0
2021-01-06,747.134,749.431,740.214,742.125,927806370,8803795800.0
2021-01-07,740.923,741.557,719.549,724.249,925051370,9528035000.0
2021-01-08,721.819,730.838,708.349,726.777,811540140,8659505100.0
2021-01-11,727.284,728.851,714.09,716.5,931089710,10987959800.0
2021-01-12,716.67,722.336,713.735,721.082,727963840,8319934300.0
2021-01-13,721.444,721.444,710.711,717.251,1176271450,10860479700.0
2021-01-14,714.215,733.012,712.978,727.901,1213774150,11604175300.0
2021-01-15,727.49,737.397,727.442,733.353,920091610,9533846300.0
2021-01-18,734.3,742.789,733.347,741.406,864124420,9762331900.0
2021-01-19,737.805,752.342,737.507,746.371,908742620,12115927900.0
2021-01-20,746.099,747.414,739.667,747.183,734739960,9202882300.0
2021-01-21,744.982,750.729,742.963,747.589,1168193910,9684703200.0
2021-01-22,745.397,745.397,733.244,733.63,1154937550,9620107300.0
2021-01-25,732.519,732.841,717.852,719.703,999487440,9545457200.0
2021-01-26,717.47,722.584,714.504,715.777,714872420,7312230800.0
2021-01-27,715.194,719.718,713.629,717.178,656229120,6480961300.0
2021-01-28,714.454,720.884,710.99,711.524,678176410,7472324800.0
2021-01-29,715.046,716.448,692.471,696.497,778595130,8104053200.0
2021-02-01,693.276,703.408,692.672,703.188,720654830,7557318700.0
2021-02-02,704.362,710.18,700.795,709.806,721856790,6829313800.0
2021-02-03,709.478,709.478,696.817,697.35,659117140,6089885400.0
2021-02-04,693.806,693.893,676.391,682.334,933725540,6593038800.0
2021-02-05,683.728,694.429,683.521,685.241,832370590,7542379300.0
2021-02-08,687.473,688.955,680.869,687.616,670770420,6819072400.0
2021-02-09,687.01,698.366,686.085,697.075,696466900,6365907200.0
2021-02-10,697.232,701.311,694.769,698.778,618514130,5817595400.0
2021-02-18,706.211,716.317,705.803,716.317,848595410,8004626700.0
2021-02-19,714.905,740.309,713.893,740.309,1057035650,8669629800.0
2021-02-22,741.62,762.644,741.58,746.916,1317428540,10533067300.0
2021-02-23,745.204,747.432,736.979,741.25,853429120,7920388000.0
2021-02-24,741.956,747.956,734.931,740.557,783002650,8447525600.0
2021-02-25,744.462,754.179,740.244,749.546,1522325000,16854378000.0
2021-02-26,737.126,746.278,736.262,742.588,1112117330,15116971000.0
2021-03-01,743.174,751.765,743.174,751.765,959998660,10647343700.0
2021-03-02,752.94,756.309,745.761,749.306,918508220,9967466400.0
2021-03-03,747.533,760.248,747.498,760.058,850081160,9536135100.0
2021-03-04,758.34,765.665,757.355,759.732,1104076540,10841916500.0
2021-03-05,756.982,764.483,756.483,763.257,974064760,10056739500.0
2021-03-08,767.979,775.136,760.77,762.925,1621957000,10748072800.0
2021-03-09,766.258,772.837,747.228,759.236,1560276400,11998093500.0
2021-03-10,761.484,761.937,743.395,745.007,1188128770,9385895500.0
2021-03-11,743.011,757.542,741.41,757.542,937774180,7937557600.0
2021-03-12,755.477,761.956,750.312,758.248,1361707600,10799274700.0
2021-03-15,756.501,764.516,753.462,758.98,1249972320,11250649300.0
2021-03-16,759.206,771.41,757.911,771.327,1087799940,11508309100.0
2021-03-17,769.751,770.979,765.922,769.568,904502360,8953317000.0
2021-03-18,768.811,771.583,766.035,768.107,830939750,8140128100.0
2021-03-19,763.098,771.064,760.106,763.769,966155880,10150091900.0
2021-03-22,764.525,779.542,764.378,779.542,1256406640,10741550000.0
2021-03-23,778.954,779.061,766.919,769.98,1111443050,9780917000.0
2021-03-24,766.443,770.104,760.692,762.384,989755440,9103858000.0
2021-03-25,759.176,762.028,754.149,755.782,869798170,7264420100.0
2021-03-26,756.128,765.057,754.895,763.68,806450340,7657304300.0
2021-03-29,766.059,768.641,763.186,765.454,824775830,8757453800.0
2021-03-30,766.763,767.476,761.391,764.365,832338900,8417234900.0
2021-03-31,760.764,772.938,759.004,772.568,1386602600,12116319200.0
2021-04-01,773.493,773.493,764.986,767.482,1390870400,9950539000.0
2021-04-02,765.928,765.943,761.141,763.971,947516970,7830275600.0
2021-04-06,764.253,767.81,762.473,767.292,861257700,7540099700.0
2021-04-07,767.232,772.51,764.805,772.51,1017453800,8716504900.0
2021-04-08,771.626,771.626,765.726,766.062,965793430,8421517400.0
2021-04-09,765.196,768.595,764.31,766.713,882242620,7363710500.0
2021-04-12,767.265,768.399,760.411,761.367,1304610520,9822886800.0
2021-04-13,758.877,759.423,749.272,750.796,1327554730,8792655000.0
2021-04-14,749.591,759.091,748.882,758.709,898952770,7035898700.0
2021-04-15,756.751,756.751,751.152,754.168,817453940,6387553700.0
2021-04-16,753.399,765.206,753.294,765.018,922536020,6441458500.0
2021-04-19,765.131,769.535,763.736,769.105,1053945700,8432037600.0
2021-04-20,767.913,769.195,763.954,764.452,828166290,6946239300.0
2021-04-21,761.618,761.618,755.213,756.768,754349880,6261312900.0
2021-04-22,757.007,760.35,754.797,755.264,695770140,6084039500.0
2021-04-23,755.264,755.264,742.422,744.548,789051200,8538822900.0
2021-04-26,742.585,748.628,741.291,743.495,833274120,8794720900.0
2021-04-27,742.624,743.408,736.118,738.914,699147510,6789064800.0
2021-04-28,738.052,739.123,735.317,737.554,770477980,6465765300.0
2021-04-29,736.402,739.995,733.041,738.026,888845130,7652633400.0
2021-04-30,736.197,736.338,723.939,725.85,1133599100,8944240000.0
2021-05-06,723.85,729.887,723.85,727.712,799113520,6814439700.0
2021-05-07,727.989,732.307,726.552,727.904,931109870,7805943200.0
2021-05-10,727.844,728.359,722.545,725.478,933723630,8036563300.0
2021-05-11,722.456,727.621,719.337,727.545,818567920,6614807100.0
2021-05-12,725.303,732.152,723.826,731.9,721852370,6867223200.0
2021-05-13,729.11,731.86,726.656,727.052,792587950,7615604900.0
2021-05-14,728.684,737.695,728.682,737.69,809065910,8243417300.0
2021-05-17,737.066,737.066,728.713,728.862,790715800,8040305100.0
2021-05-18,727.525,731.771,725.266,731.548,588600480,5808893900.0
2021-05-19,731.291,731.291,726.856,727.262,655098710,6350780400.0
2021-05-20,726.287,727.283,723.614,725.376,689122070,6269017700.0
2021-05-21,725.791,729.348,725.292,726.72,623974480,5665303400.0
2021-05-24,727.395,730.97,727.088,730.721,800666130,7052570100.0
2021-05-25,731.298,732.845,727.106,732.616,966029570,8531710500.0
2021-05-26,732.766,738.087,731.303,736.867,869039390,8001468200.0
2021-05-27,736.897,740.856,736.304,740.722,817894070,6952919000.0
2021-05-28,740.821,740.855,733.523,735.702,861674990,7739001900.0
2021-05-31,735.898,737.53,733.893,737.381,653723450,6981611900.0
2021-06-01,738.986,743.013,735.156,743.013,799390830,7641518100.0
2021-06-02,742.041,745.129,741.393,742.885,830573500,8456174800.0
2021-06-03,741.889,747.268,741.686,743.564,820873550,7070050400.0
2021-06-04,742.313,743.083,738.969,739.846,757760060,7152823700.0
2021-06-07,739.846,739.912,737.823,739.698,789473980,7316580100.0
2021-06-08,739.411,740.849,738.125,740.507,665362340,6115345500.0
2021-06-09,740.848,742.047,738.324,741.075,640651510,5708296000.0
2021-06-10,741.171,741.171,737.913,739.083,674845510,6251799200.0
2021-06-11,740.5,744.898,739.941,740.727,935579870,7951007900.0
2021-06-15,739.915,739.915,728.959,730.311,910548530,8164311800.0
2021-06-16,729.544,730.577,724.198,725.702,770417170,7065395900.0
2021-06-17,725.159,727.457,722.439,722.798,645962960,5858347200.0
2021-06-18,722.711,725.43,718.552,724.955,705914170,7084202200.0
2021-06-21,722.981,725.015,721.843,724.826,641551300,7195287400.0
2021-06-22,725.662,731.88,725.079,731.649,766286230,7449496000.0
2021-06-23,732.212,736.504,731.498,735.542,738600200,7319246100.0
2021-06-24,741.034,754.462,741.034,752.897,1105852030,8398108400.0
2021-06-25,758.458,768.058,755.717,766.39,1346490500,10403238200.0
2021-06-28,764.723,768.586,757.969,761.685,1111426040,9345057100.0
2021-06-29,760.423,760.457,752.619,755.005,1003278140,8785883800.0
2021-06-30,752.446,760.083,751.804,758.505,952842450,8192667900.0
2021-07-01,757.062,760.619,751.205,751.383,1012302420,10784896100.0
2021-07-02,750.131,756.086,746.372,752.905,899489010,9145205600.0
2021-07-05,753.401,756.428,750.362,754.675,818080830,8248481300.0
2021-07-06,754.973,756.395,750.208,756.151,823156980,8097228400.0
2021-07-07,753.189,753.936,749.482,753.542,740753890,6929013700.0
2021-07-08,754.562,754.576,746.902,746.902,815490380,8633327600.0
2021-07-09,744.935,753.147,743.088,752.759,905269250,7995979600.0
2021-07-12,756.152,760.167,753.905,756.419,1227641270,9723414300.0
2021-07-13,755.675,769.586,753.922,766.847,1412594700,10536698000.0
2021-07-14,765.793,765.793,756.681,756.749,1159597060,9638544700.0
2021-07-15,755.714,762.434,750.891,762.237,1085158690,9892956800.0
2021-07-16,760.182,761.436,756.804,756.874,992631810,8823681700.0
2021-07-19,754.151,754.918,747.276,749.355,997056580,8843508000.0
2021-07-20,743.407,749.816,741.797,749.478,1145964190,8377901400.0
2021-07-21,752.833,756.878,752.833,756.286,1425416700,10420616800.0
2021-07-22,755.519,765.579,753.802,762.043,1718562000,12663945300.0
2021-07-23,762.111,763.022,754.722,758.55,1957712200,12930225100.0
2021-07-26,757.86,757.997,735.786,744.462,2355360400,16591479000.0
2021-07-27,743.351,745.801,719.6,719.6,2043580500,15143025000.0
2021-07-28,715.68,718.476,695.431,702.484,1605258000,11070048500.0
2021-07-29,708.438,716.774,708.438,714.344,1308592610,9736516900.0
2021-07-30,713.522,720.991,709.966,718.536,1444263200,10402183700.0
2021-08-02,716.851,731.076,712.08,731.07,1481739100,13198663600.0
2021-08-03,730.634,742.306,729.423,736.981,1824618200,13787710000.0
2021-08-04,737.434,740.114,734.985,739.111,1377848900,11465478300.0
2021-08-05,738.039,738.368,731.363,733.348,1275778050,11305670900.0
2021-08-06,732.707,732.842,724.743,729.8,986210150,8489352700.0
2021-08-09,729.122,742.211,727.678,741.865,1162544060,12138147200.0
2021-08-10,740.71,745.052,739.113,743.523,955417910,9684329200.0
2021-08-11,743.416,752.715,743.378,749.872,1436567300,13726347000.0
2021-08-12,749.722,752.28,747.062,750.322,1119348370,10053830600.0
2021-08-13,748.821,751.429,746.489,751.203,1003503260,8449018200.0
2021-08-16,751.366,757.144,751.33,754.049,1351065100,10585598500.0
2021-08-17,752.691,760.979,742.442,743.788,1749764800,13960017000.0
2021-08-18,742.105,753.603,742.105,753.126,1468189600,11802655600.0
2021-08-19,752.149,752.149,741.468,746.76,1184766880,10605237500.0
2021-08-20,744.753,744.836,736.066,743.897,1171331710,10530362400.0
2021-08-23,743.7,757.099,743.667,756.404,1034703890,8889886900.0
2021-08-24,756.804,759.504,753.55,756.319,1267075350,10206394600.0
2021-08-25,754.869,764.737,751.937,764.416,1566352900,11878998200.0
2021-08-26,763.743,772.41,761.82,767.602,1984586300,14283860000.0
2021-08-27,765.545,769.402,764.559,769.171,1652156100,12009940600.0
2021-08-30,769.107,773.117,764.901,767.761,1838047800,16639076000.0
2021-08-31,766.972,774.353,766.392,774.15,2280859000,17616322000.0
2021-09-01,774.597,787.112,774.366,786.233,3717859800,28542279000.0
2021-09-02,786.774,811.858,785.456,811.335,3007472000,23057824000.0
2021-09-03,809.038,821.632,807.853,810.467,2467529200,20393925000.0
