日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-10-21,998.675,1012.014,991.797,1005.07,1572374500,27498409000.0
2022-10-24,1009.342,1016.618,970.321,975.834,1758976700,31092423000.0
2022-10-25,969.203,977.318,945.624,957.754,1508387400,25571848000.0
2022-10-26,960.259,1015.072,960.259,1007.332,1872126900,38523093000.0
2022-10-27,1011.416,1026.345,994.745,1016.206,1919503800,39696632000.0
2022-10-28,1010.212,1020.093,982.885,987.082,1608178600,32769124000.0
2022-10-31,980.922,1002.573,970.034,995.703,1671875700,35720887000.0
2022-11-01,999.42,1023.992,987.539,1023.6,1896259300,41891677000.0
2022-11-02,1016.11,1061.631,1013.788,1038.511,2636037300,57095454000.0
2022-11-03,1024.151,1045.884,1020.505,1035.202,1694762800,36937795000.0
2022-11-04,1037.147,1059.922,1034.419,1049.894,1625503000,38302981000.0
2022-11-07,1051.663,1064.211,1047.798,1062.907,1679044800,37437758000.0
2022-11-08,1062.457,1070.211,1045.942,1064.391,1650502600,34386704000.0
2022-11-09,1062.995,1091.172,1061.821,1086.63,2007346500,37220066000.0
2022-11-10,1084.459,1102.494,1083.921,1087.523,2117150700,37481944000.0
2022-11-11,1113.036,1137.748,1082.959,1083.517,3469707300,71544679000.0
2022-11-14,1075.153,1122.008,1070.852,1122.008,3071947500,57581851000.0
2022-11-15,1125.946,1129.257,1104.49,1129.257,2689816100,52807650000.0
2022-11-16,1128.685,1139.527,1113.708,1121.371,2609522700,55762306000.0
2022-11-17,1114.151,1137.723,1113.109,1134.15,2502987100,48315464000.0
2022-11-18,1132.598,1155.249,1128.909,1145.697,3034619700,58685054000.0
2022-11-21,1139.039,1150.633,1125.898,1147.062,2597143800,50866214000.0
2022-11-22,1142.293,1159.078,1099.535,1106.925,2629954800,50960887000.0
2022-11-23,1104.513,1106.828,1060.365,1072.429,2033695400,39872660000.0
2022-11-24,1075.64,1089.135,1073.211,1088.015,1729228200,35449406000.0
2022-11-25,1082.359,1085.929,1056.393,1081.164,1743010500,32389631000.0
2022-11-28,1070.528,1090.47,1065.45,1074.333,1892529100,37675908000.0
2022-11-29,1072.448,1102.952,1072.448,1099.568,2257482900,45563113000.0
2022-11-30,1096.471,1103.719,1083.195,1090.784,1981841400,37400907000.0
2022-12-01,1105.652,1108.039,1078.141,1086.832,2307898000,46180496000.0
2022-12-02,1081.936,1092.123,1081.925,1087.055,1547132900,30676442000.0
2022-12-05,1096.653,1105.734,1085.046,1091.121,2018363500,42220638000.0
2022-12-06,1088.477,1097.411,1068.782,1071.942,2235769400,44755171000.0
2022-12-07,1071.537,1106.29,1061.059,1106.199,2780037500,48153185000.0
2022-12-08,1104.004,1114.301,1092.776,1104.392,2875779800,53563744000.0
2022-12-09,1099.339,1114.598,1094.963,1104.963,2461415300,48431829000.0
2022-12-12,1110.898,1138.495,1108.517,1136.266,2933228600,51937418000.0
2022-12-13,1137.949,1138.657,1110.722,1136.463,2910707000,48836827000.0
2022-12-14,1132.249,1132.249,1106.558,1106.958,2711973800,49922800000.0
2022-12-15,1104.049,1117.429,1098.156,1103.007,2021808500,37610450000.0
2022-12-16,1103.061,1133.17,1102.887,1124.33,2629547500,45969889000.0
2022-12-19,1122.666,1122.666,1061.223,1063.761,2517738700,44278448000.0
2022-12-20,1057.414,1064.505,1037.19,1048.869,1775973500,31988736000.0
2022-12-21,1049.086,1060.81,1038.801,1045.59,1660907100,29822825000.0
2022-12-22,1049.912,1061.189,1035.273,1036.895,1929904300,36182377000.0
2022-12-23,1030.87,1044.773,1030.87,1036.824,1485374900,27790143000.0
2022-12-26,1038.342,1043.347,1025.711,1032.537,1602983000,29256953000.0
2022-12-27,1032.356,1032.418,999.294,1016.988,1764226900,33005256000.0
2022-12-28,1013.581,1026.025,1011.083,1017.507,1551380300,29030042000.0
2022-12-29,1015.586,1044.377,1014.579,1040.953,1914132000,36354870000.0
2022-12-30,1042.728,1043.829,1030.773,1032.604,1457796300,27726741000.0
2023-01-03,1043.105,1059.553,1043.104,1056.403,1667105100,30703629000.0
2023-01-04,1055.894,1064.608,1050.452,1059.504,1647427900,31372199000.0
2023-01-05,1060.205,1076.323,1052.38,1073.695,1499935000,37558233000.0
2023-01-06,1073.269,1073.269,1061.318,1063.504,1246096590,26759384000.0
2023-01-09,1065.992,1073.435,1064.852,1072.117,1265990090,29953604000.0
2023-01-10,1072.375,1085.468,1064.024,1079.696,1215770020,29658414000.0
2023-01-11,1081.073,1087.841,1075.943,1076.439,1313704100,31366386000.0
2023-01-12,1075.894,1083.893,1070.526,1073.35,1192472040,26955222000.0
2023-01-13,1076.35,1093.843,1070.989,1093.464,1132516110,27645286000.0
2023-01-16,1095.549,1126.556,1095.43,1113.952,1874543200,48451448000.0
2023-01-17,1115.199,1115.199,1095.42,1097.52,1284498310,32195599000.0
2023-01-18,1098.852,1098.852,1091.421,1091.853,921699110,22120580000.0
2023-01-19,1091.638,1113.066,1087.008,1107.047,1185289480,31809198000.0
2023-01-20,1109.586,1121.857,1109.569,1113.241,1038875080,24002856000.0
2023-01-30,1118.205,1121.178,1107.849,1111.464,1493378100,33251262000.0
2023-01-31,1109.438,1110.012,1096.013,1099.128,1307299840,28301187000.0
2023-02-01,1099.592,1114.651,1096.079,1114.651,1285657670,28160152000.0
2023-02-02,1115.606,1140.585,1114.66,1132.629,1357568600,31033604000.0
2023-02-03,1131.083,1136.933,1115.94,1127.144,1117862240,24030902000.0
2023-02-06,1125.071,1127.102,1112.483,1114.36,1016177810,24617489000.0
2023-02-07,1116.29,1123.066,1107.401,1113.733,965978000,19766900000.0
2023-02-08,1114.177,1125.215,1114.026,1117.858,915469900,19051803000.0
2023-02-09,1116.758,1127.084,1112.76,1127.084,1117006900,21936589000.0
2023-02-10,1126.924,1131.875,1116.369,1123.762,1035925720,20948153000.0
2023-02-13,1124.584,1140.154,1123.603,1134.376,1202003130,26536572000.0
2023-02-14,1136.797,1146.405,1133.785,1146.405,1266861210,23342248000.0
2023-02-15,1146.503,1149.965,1133.222,1137.238,1341097860,26742490000.0
2023-02-16,1137.898,1151.851,1117.767,1126.126,2043538200,35807145000.0
2023-02-17,1126.093,1144.195,1120.666,1137.112,2020090800,36420487000.0
2023-02-20,1138.289,1143.476,1119.153,1142.662,1604945300,30340043000.0
2023-02-21,1142.067,1150.373,1136.023,1141.443,1358215700,24465719000.0
2023-02-22,1137.873,1154.683,1135.884,1144.55,1110682810,22548938000.0
2023-02-23,1144.089,1151.556,1130.948,1134.164,1132286870,22049345000.0
2023-02-24,1135.322,1137.387,1125.947,1128.68,861683040,17701880000.0
2023-02-27,1129.079,1134.754,1111.439,1113.691,969914720,19208134000.0
2023-02-28,1115.467,1139.316,1115.394,1139.316,1345247000,23504644000.0
2023-03-01,1141.844,1143.683,1129.026,1136.293,1191520660,23336691000.0
2023-03-02,1135.861,1135.861,1123.126,1123.964,1045833700,18917844000.0
2023-03-03,1124.833,1134.053,1118.749,1121.994,893995710,17439564000.0
2023-03-06,1121.908,1128.58,1115.01,1126.463,959621200,20423805000.0
2023-03-07,1125.963,1132.851,1104.112,1104.242,1159735150,21608779000.0
2023-03-08,1101.968,1110.304,1100.382,1105.364,732448550,14959769000.0
2023-03-09,1107.807,1115.187,1104.717,1110.091,759278630,15950283000.0
2023-03-10,1104.008,1108.704,1094.747,1104.622,863581490,18326897000.0
2023-03-13,1099.619,1103.286,1091.051,1103.286,1016279990,21158404000.0
2023-03-14,1103.454,1115.821,1090.652,1099.038,1024315080,19958357000.0
2023-03-15,1102.086,1126.53,1102.086,1117.489,1166726020,22007918000.0
2023-03-16,1114.717,1124.067,1106.16,1107.89,1177887460,23233128000.0
2023-03-17,1112.642,1115.562,1092.673,1095.212,1158138720,27264105000.0
2023-03-20,1093.577,1093.707,1068.152,1074.261,1128635610,24453602000.0
2023-03-21,1077.156,1098.07,1076.853,1098.07,884322550,24150647000.0
2023-03-22,1100.41,1110.985,1096.637,1100.241,866859500,20679100000.0
2023-03-23,1101.694,1107.858,1092.291,1096.51,928965230,19821181000.0
2023-03-24,1097.073,1104.488,1080.178,1081.105,1060569700,19693196000.0
2023-03-27,1080.628,1096.668,1071.499,1089.858,977790660,23896971000.0
2023-03-28,1091.999,1098.503,1085.074,1091.598,1029414180,21840693000.0
2023-03-29,1090.184,1090.565,1076.479,1080.379,906205970,18217986000.0
2023-03-30,1079.933,1080.67,1069.241,1075.195,758155070,15740439000.0
2023-03-31,1074.861,1085.673,1074.849,1083.319,1126995850,25323383000.0
2023-04-03,1082.655,1090.859,1075.957,1078.743,1183236340,24636949000.0
2023-04-04,1080.1,1083.651,1073.303,1081.012,1233930470,25858120000.0
2023-04-06,1081.681,1100.062,1080.89,1097.437,1319477770,25177537000.0
2023-04-07,1099.367,1137.206,1098.863,1133.44,1456934800,34971310000.0
2023-04-10,1135.629,1151.264,1132.488,1139.282,1282420160,30186682000.0
2023-04-11,1138.463,1145.104,1126.32,1134.495,1004557150,22939194000.0
2023-04-12,1133.684,1146.885,1129.184,1131.612,1061769010,21637561000.0
2023-04-13,1129.484,1158.265,1121.07,1155.717,1319591480,33042136000.0
2023-04-14,1160.73,1180.602,1152.367,1160.811,1371992700,34408743000.0
2023-04-17,1158.652,1167.759,1149.825,1161.704,1209192250,28552106000.0
2023-04-18,1158.644,1158.817,1147.578,1151.379,1077218670,28008883000.0
2023-04-19,1149.679,1150.677,1134.784,1136.708,1092092040,24494152000.0
2023-04-20,1136.321,1137.94,1118.496,1122.623,1081376420,23652617000.0
2023-04-21,1120.621,1135.737,1116.055,1116.678,1422399200,32196141000.0
2023-04-24,1119.604,1130.461,1108.837,1115.725,1718503400,36745790000.0
2023-04-25,1112.047,1112.079,1066.05,1077.787,1730510400,36616554000.0
2023-04-26,1077.691,1096.566,1077.631,1091.043,1346439100,28228454000.0
2023-04-27,1091.671,1121.316,1091.033,1114.658,1645840300,31648815000.0
2023-04-28,1113.409,1124.549,1101.37,1119.193,1533180200,29336611000.0
2023-05-04,1115.7,1132.412,1114.502,1129.832,1521768100,29411280000.0
2023-05-05,1129.982,1129.984,1099.755,1102.742,1251331690,23920728000.0
2023-05-08,1103.1,1107.212,1084.428,1090.505,1260989960,25949468000.0
2023-05-09,1089.524,1089.524,1068.917,1069.016,1179268240,22752080000.0
2023-05-10,1067.63,1071.648,1060.217,1067.553,914426160,17720374000.0
2023-05-11,1070.492,1084.398,1068.053,1069.999,989877890,20396464000.0
2023-05-12,1068.594,1082.476,1065.777,1070.472,1078576500,19282596000.0
2023-05-15,1068.653,1080.393,1058.034,1080.393,1141761320,20445912000.0
2023-05-16,1081.853,1101.841,1079.645,1097.524,1361872900,27196559000.0
2023-05-17,1093.717,1093.717,1082.041,1089.937,1017238530,19305034000.0
2023-05-18,1088.58,1094.507,1079.441,1084.558,880879850,16578247000.0
2023-05-19,1084.086,1098.761,1077.776,1095.536,1062932680,19691782000.0
2023-05-22,1094.814,1107.261,1094.814,1102.27,991780130,19381615000.0
2023-05-23,1103.863,1128.31,1103.818,1117.773,1576611500,29526403000.0
2023-05-24,1111.98,1111.98,1095.476,1103.917,1329268920,24444737000.0
2023-05-25,1100.593,1102.402,1082.741,1092.686,1015184640,18551218000.0
2023-05-26,1091.816,1113.166,1088.669,1108.657,1201741900,22820551000.0
2023-05-29,1110.321,1118.329,1102.442,1108.786,1366781500,24950090000.0
2023-05-30,1107.637,1113.877,1084.099,1099.636,1176778560,24137649000.0
2023-05-31,1101.545,1114.056,1092.729,1094.172,1200916270,26036544000.0
2023-06-01,1092.375,1104.395,1084.16,1091.29,1152773340,24448492000.0
2023-06-02,1093.09,1095.567,1085.353,1086.914,999028050,19443681000.0
2023-06-05,1088.264,1088.76,1079.333,1086.5,1082284580,20382081000.0
2023-06-06,1085.904,1085.97,1057.387,1059.225,1159265590,21473927000.0
2023-06-07,1060.748,1065.005,1052.114,1055.626,1011804670,19637235000.0
2023-06-08,1055.238,1056.035,1039.544,1039.79,1032131910,19852684000.0
2023-06-09,1040.348,1057.573,1036.453,1051.798,1197807510,25700307000.0
2023-06-12,1050.193,1050.25,1036.114,1043.776,1074158360,20810855000.0
2023-06-13,1043.562,1048.535,1033.565,1035.092,890445020,16198487000.0
2023-06-14,1036.035,1043.523,1030.238,1035.336,930938080,18224119000.0
2023-06-15,1036.383,1044.811,1030.531,1044.636,1025879100,23215058000.0
2023-06-16,1046.282,1056.301,1045.006,1047.979,1052875200,20957150000.0
2023-06-19,1047.674,1056.887,1042.75,1042.993,1032081200,19069540000.0
2023-06-20,1043.263,1048.647,1034.048,1034.048,1011034150,18552780000.0
2023-06-21,1033.26,1033.669,1014.507,1014.507,1034817730,23640402000.0
2023-06-26,1009.07,1012.048,998.569,1000.031,1036029070,18067066000.0
2023-06-27,1001.177,1021.413,1001.177,1014.358,880566930,14622490000.0
2023-06-28,1014.785,1014.826,1001.265,1012.368,794796160,13981141000.0
2023-06-29,1012.707,1023.818,1011.738,1018.243,968858910,16462381000.0
2023-06-30,1018.23,1036.877,1018.089,1030.304,984655860,17190297000.0
2023-07-03,1032.114,1040.063,1025.723,1037.396,1008747370,17466880000.0
2023-07-04,1036.435,1054.674,1029.466,1049.198,1102730380,23752429000.0
2023-07-05,1049.342,1050.135,1041.291,1044.384,1182675540,20453825000.0
2023-07-06,1042.952,1042.952,1027.449,1028.989,1013046700,16459435000.0
2023-07-07,1027.801,1033.754,1023.048,1028.77,738215470,12625752900.0
2023-07-10,1030.432,1036.698,1027.021,1029.179,751563970,14305721000.0
2023-07-11,1031.24,1037.602,1027.481,1037.478,714347810,12630801300.0
2023-07-12,1036.999,1037.591,1022.063,1022.582,756816480,14488179000.0
2023-07-13,1026.026,1036.466,1026.026,1034.945,849053070,19982075000.0
2023-07-14,1036.074,1036.103,1028.967,1029.844,734864080,13901481000.0
2023-07-17,1025.596,1025.629,1014.756,1024.456,807556430,14462300000.0
2023-07-18,1024.712,1024.712,1017.407,1019.917,690535400,13679731000.0
2023-07-19,1018.359,1024.632,1010.888,1012.788,643317440,12046862100.0
2023-07-20,1014.822,1018.484,1006.409,1007.035,689834410,12287690800.0
2023-07-21,1006.727,1021.024,1004.427,1012.712,773690470,14999998000.0
2023-07-24,1013.355,1031.398,1011.889,1025.371,901720000,17154600000.0
2023-07-25,1030.679,1033.001,1021.765,1030.261,957118410,16467090000.0
2023-07-26,1030.101,1042.524,1028.023,1036.397,886113110,16519929000.0
2023-07-27,1035.609,1036.585,1028.896,1030.114,750099370,13788651000.0
2023-07-28,1028.584,1045.051,1025.736,1044.396,967413690,19366948000.0
2023-07-31,1046.553,1050.592,1032.261,1035.871,1507819000,34224546000.0
2023-08-01,1037.021,1046.058,1027.104,1027.923,1376365200,30167478000.0
2023-08-02,1027.432,1027.489,1009.155,1011.219,1087422420,22486107000.0
2023-08-03,1011.517,1031.426,1011.421,1031.211,1564466000,27983480000.0
2023-08-04,1030.004,1033.464,1018.932,1018.932,1559615700,24685682000.0
2023-08-07,1016.176,1016.176,981.054,983.618,1836972300,32960738000.0
