日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-06-28,996.441,1025.017,980.415,1017.363,403746240,8283143400.0
2022-06-29,1009.124,1009.165,933.37,933.563,400592710,9111894600.0
2022-06-30,924.955,940.666,913.289,924.417,295846560,6643154200.0
2022-07-01,920.81,945.606,911.855,936.618,392675380,6094212600.0
2022-07-04,929.023,938.015,910.251,932.51,358603500,5967010900.0
2022-07-05,933.371,941.172,897.72,916.086,339171700,5468362900.0
2022-07-06,908.411,952.568,905.595,936.538,335407180,6321849500.0
2022-07-07,929.906,976.792,929.641,976.099,416572620,7290917600.0
2022-07-08,975.764,984.976,962.043,963.914,389104030,7248228800.0
2022-07-11,959.898,966.671,942.444,962.142,477235090,6503267700.0
2022-07-12,956.579,983.058,950.389,952.974,397405140,6580357800.0
2022-07-13,949.01,966.083,941.95,960.507,403002480,6066614600.0
2022-07-14,949.63,986.622,945.996,978.261,412177110,6755826200.0
2022-07-15,972.865,1068.809,972.865,1060.384,509679740,9726942900.0
2022-07-18,1087.982,1127.161,1086.246,1126.338,662173940,13734477000.0
2022-07-19,1135.404,1165.211,1120.494,1122.168,917135490,17026695000.0
2022-07-20,1119.772,1138.006,1107.931,1132.575,704519800,11958546400.0
2022-07-21,1129.164,1170.524,1111.967,1143.641,671472480,11640319300.0
2022-07-22,1148.007,1161.071,1127.72,1158.472,1001161370,13315604600.0
2022-07-25,1160.177,1183.19,1133.356,1140.592,1035878410,14369795000.0
2022-07-26,1136.106,1175.694,1114.236,1174.783,952465240,13730061000.0
2022-07-27,1174.703,1218.714,1171.692,1218.714,987366210,15312777000.0
2022-07-28,1227.322,1264.073,1222.389,1243.646,1128408090,16069826000.0
2022-07-29,1236.85,1271.306,1221.62,1261.538,1044500780,16163554000.0
2022-08-01,1251.536,1258.598,1208.964,1256.175,934998370,15147649000.0
2022-08-02,1223.961,1238.406,1197.882,1217.795,819355300,12744310400.0
2022-08-03,1216.183,1249.373,1160.504,1167.418,845697620,13695592000.0
2022-08-04,1162.293,1174.43,1128.915,1164.584,744978070,10873430900.0
2022-08-05,1166.2,1177.495,1128.558,1136.411,720721550,9668840700.0
2022-08-08,1131.247,1197.083,1112.375,1190.358,670389410,10665997000.0
2022-08-09,1191.162,1209.325,1188.305,1193.699,661227070,10414986700.0
2022-08-10,1187.025,1206.73,1181.878,1189.76,565633060,9701229200.0
2022-08-11,1190.562,1192.186,1170.677,1185.859,952952020,10726379600.0
2022-08-12,1190.015,1209.966,1183.039,1183.039,1074268010,9688413100.0
2022-08-15,1176.881,1204.478,1176.364,1197.075,1053349000,10522620600.0
2022-08-16,1197.887,1247.289,1193.906,1237.519,953155180,12181043500.0
2022-08-17,1239.753,1250.387,1225.482,1244.442,811088700,11860835900.0
2022-08-18,1249.563,1285.307,1245.065,1285.307,864837310,12074374300.0
2022-08-19,1286.877,1287.882,1231.98,1231.98,864885310,11746688000.0
2022-08-22,1226.314,1240.59,1201.69,1238.588,638999620,8881872200.0
2022-08-23,1232.875,1270.182,1229.415,1255.646,660210260,8555663400.0
2022-08-24,1254.536,1255.107,1177.746,1180.139,654233950,9030962900.0
2022-08-25,1181.366,1184.78,1132.966,1156.649,473265780,6494795700.0
2022-08-26,1155.837,1170.362,1136.941,1142.169,368443020,6290866100.0
2022-08-29,1127.947,1160.342,1122.682,1154.996,326319970,4888300800.0
2022-08-30,1152.01,1153.151,1120.967,1125.757,321059950,5286039000.0
2022-08-31,1120.538,1120.819,1047.182,1052.25,420069230,6763857500.0
2022-09-01,1052.764,1056.156,1032.124,1036.294,384031200,5680534300.0
2022-09-02,1035.726,1082.222,1031.35,1076.65,386076540,5537547300.0
2022-09-05,1071.494,1091.262,1060.578,1075.693,324305920,5015162600.0
2022-09-06,1079.996,1108.773,1066.517,1108.773,343793630,5678067700.0
2022-09-07,1103.108,1146.728,1101.376,1132.757,380272480,6822964200.0
2022-09-08,1134.5,1154.564,1117.224,1117.293,370431940,6090828300.0
2022-09-09,1121.483,1122.756,1091.056,1108.284,420415730,5132449400.0
2022-09-13,1113.118,1124.606,1096.864,1113.78,321876970,4121199200.0
2022-09-14,1095.395,1115.136,1084.622,1096.344,340909500,5005972100.0
2022-09-15,1100.743,1100.743,1023.958,1041.645,414155890,6157916300.0
2022-09-16,1034.628,1049.517,1019.576,1022.023,291223330,4635631600.0
2022-09-19,1019.051,1038.312,1009.735,1014.786,285758910,4005423800.0
2022-09-20,1026.233,1079.686,1026.233,1073.369,388477170,5465749800.0
2022-09-21,1069.97,1080.198,1050.758,1064.802,404999370,5591531900.0
2022-09-22,1055.478,1081.835,1042.987,1062.913,381648540,4814958800.0
2022-09-23,1061.83,1064.72,1010.605,1019.345,373044190,4993649000.0
2022-09-26,1015.929,1047.748,1006.029,1028.19,318419820,4881550200.0
2022-09-27,1035.079,1051.319,1017.848,1039.356,471754410,4868168300.0
2022-09-28,1035.374,1037.458,987.098,987.098,378911530,4606205600.0
2022-09-29,1000.61,1003.807,975.889,992.801,406401770,4497267800.0
2022-09-30,991.605,991.671,952.22,952.954,280910170,3788623000.0
2022-10-10,949.32,965.795,926.336,930.068,249604750,3566327800.0
2022-10-11,934.927,963.719,932.827,957.372,258058240,3891689900.0
2022-10-12,958.132,1006.229,942.592,1006.229,338494440,5164044900.0
2022-10-13,1001.379,1027.406,997.522,1014.23,321416600,5640728600.0
2022-10-14,1022.25,1039.667,1013.002,1038.37,326559400,4963283000.0
2022-10-17,1032.466,1042.68,1019.843,1034.551,343414410,5006215700.0
2022-10-18,1044.17,1057.295,1034.195,1047.196,528893420,5531689500.0
2022-10-19,1045.478,1074.579,1041.833,1056.669,515447710,6906904300.0
2022-10-20,1054.716,1054.716,1014.974,1023.966,748376280,9376928100.0
2022-10-21,1021.667,1039.825,1020.088,1022.604,498313420,6148670200.0
2022-10-24,1022.465,1037.48,1007.412,1015.715,459040940,5189373700.0
2022-10-25,1008.662,1062.248,997.087,1060.896,522833760,6974339300.0
2022-10-26,1057.825,1067.357,1045.77,1061.87,563672200,7686839200.0
2022-10-27,1058.966,1075.586,1040.818,1041.07,463738890,6176332600.0
2022-10-28,1028.931,1033.73,982.269,986.299,461969190,6551421100.0
2022-10-31,976.517,997.415,975.569,983.857,383205390,5281186500.0
2022-11-01,985.339,1019.979,985.339,1019.979,356693100,5429401700.0
2022-11-02,1017.327,1065.258,1011.869,1056.905,505698010,7864498000.0
2022-11-03,1049.481,1070.937,1043.565,1058.542,401539940,6161583900.0
2022-11-04,1061.4,1106.445,1061.4,1104.873,452202080,7597601600.0
2022-11-07,1108.326,1115.003,1089.697,1101.781,533842110,7155653900.0
2022-11-08,1101.514,1101.526,1077.159,1085.243,380655420,5302274700.0
2022-11-09,1084.006,1096.06,1079.269,1081.314,286103340,4254190100.0
2022-11-10,1072.669,1076.37,1055.516,1060.55,286638460,4474085400.0
2022-11-11,1086.293,1090.568,1054.304,1054.831,339513690,5414419200.0
2022-11-14,1052.038,1060.507,1028.483,1033.821,303493710,4714475900.0
2022-11-15,1030.29,1063.615,1023.09,1063.615,412402730,5486517400.0
2022-11-16,1062.824,1066.033,1038.843,1041.55,297821610,4221306800.0
2022-11-17,1036.778,1036.994,1008.207,1020.505,262157010,4683874100.0
2022-11-18,1022.228,1023.54,1005.799,1008.098,252930830,4253356200.0
2022-11-21,1004.374,1026.53,993.992,1026.53,314575450,4122850300.0
2022-11-22,1029.096,1029.131,998.568,1000.678,345852560,3919258000.0
2022-11-23,998.313,1007.384,979.345,1003.471,338400530,3247786800.0
2022-11-24,1003.496,1015.353,996.355,1005.194,322283200,3290342200.0
2022-11-25,1000.686,1001.235,978.819,979.432,279146790,3704699500.0
2022-11-28,965.9,972.829,959.052,971.292,204321460,2886578000.0
2022-11-29,974.259,982.812,969.214,980.087,570351470,5036515400.0
2022-11-30,980.633,1021.424,976.329,1015.355,975050060,8494074700.0
2022-12-01,1024.059,1030.787,1017.092,1019.289,661776450,7049838800.0
2022-12-02,1015.972,1020.639,1005.564,1005.951,430855960,4230804000.0
2022-12-05,1010.979,1016.033,1004.33,1011.068,405399290,4228625500.0
2022-12-06,1008.058,1017.827,994.113,1014.204,443095700,5463935700.0
2022-12-07,1008.402,1029.12,1006.791,1013.526,474388330,5052926000.0
2022-12-08,1010.257,1017.844,1001.784,1003.09,354797680,3807376100.0
2022-12-09,1002.834,1005.581,994.579,997.184,534239500,4731658400.0
2022-12-12,997.213,998.721,984.212,994.25,405840450,3536501900.0
2022-12-13,991.055,1001.358,974.752,976.051,352682640,3799480600.0
2022-12-14,974.882,985.499,970.697,973.803,245121590,2746746900.0
2022-12-15,974.414,999.574,969.37,999.385,270696980,3877213700.0
2022-12-16,993.742,993.993,966.273,968.626,269710920,3478453100.0
2022-12-19,969.352,991.849,969.343,972.796,315992860,4553267100.0
2022-12-20,968.835,985.905,963.988,984.762,255921900,4019660600.0
2022-12-21,984.504,984.504,952.009,959.159,242266210,3522101800.0
2022-12-22,965.892,966.407,937.683,939.157,226775610,3017907900.0
2022-12-23,930.415,936.341,910.748,919.983,218662180,3185820200.0
2022-12-26,917.701,958.401,916.627,958.401,233268470,3497900900.0
2022-12-27,961.035,965.619,946.418,961.194,191544420,2619282900.0
2022-12-28,957.33,957.33,929.835,932.39,215199750,3498725600.0
2022-12-29,934.686,944.835,929.242,929.242,177783270,2583684800.0
2022-12-30,935.619,949.029,930.157,931.176,215863300,3076292800.0
2023-01-03,931.503,961.149,929.15,959.698,260081770,3629245000.0
2023-01-04,955.236,956.505,938.936,945.799,249728520,4020558800.0
2023-01-05,949.357,973.226,949.351,969.773,276224040,4676167800.0
2023-01-06,965.829,1002.251,965.683,1000.151,378327480,6464014500.0
2023-01-09,1009.112,1026.61,1008.455,1017.246,458445680,7469104900.0
2023-01-10,1018.844,1036.677,1009.114,1036.566,389886400,6243668100.0
2023-01-11,1032.331,1040.885,1027.285,1027.438,374580030,5427746500.0
2023-01-12,1026.216,1041.527,1026.216,1029.481,299002350,4168031400.0
2023-01-13,1032.391,1039.015,1020.524,1026.437,272482470,4149111800.0
2023-01-16,1027.038,1031.874,1019.583,1023.619,291919100,4705574700.0
2023-01-17,1026.548,1029.17,1017.244,1022.967,223770240,3223774200.0
2023-01-18,1024.056,1028.073,1018.268,1021.429,200773100,3088619100.0
2023-01-19,1020.335,1020.342,1012.015,1018.424,219612430,3622204500.0
2023-01-20,1020.768,1031.333,1020.768,1030.423,272988940,4197381200.0
2023-01-30,1073.079,1104.146,1073.079,1100.223,510766740,6975549000.0
2023-01-31,1103.4,1116.87,1098.926,1106.98,515612520,8599049200.0
2023-02-01,1111.234,1134.364,1108.289,1133.379,513229800,8710029300.0
2023-02-02,1131.389,1137.01,1124.705,1131.044,378471000,6240153400.0
2023-02-03,1128.705,1128.705,1105.12,1120.036,329003560,5401752800.0
2023-02-06,1117.704,1122.578,1109.104,1116.205,309534990,4951052400.0
2023-02-07,1120.659,1134.51,1116.996,1133.606,354788720,5803343200.0
2023-02-08,1130.084,1149.974,1119.686,1147.002,402934210,6834783900.0
2023-02-09,1149.169,1194.8,1146.126,1174.194,580344450,9376973400.0
2023-02-10,1171.702,1174.434,1153.972,1158.232,604150410,7396671200.0
2023-02-13,1153.383,1160.191,1148.729,1157.697,449398390,6037418800.0
2023-02-14,1157.782,1163.443,1146.272,1153.672,420843770,5588453100.0
2023-02-15,1156.593,1177.747,1156.593,1164.355,450882410,6188457000.0
2023-02-16,1164.203,1164.605,1119.93,1129.387,520252380,7209619000.0
2023-02-17,1128.741,1138.265,1121.147,1128.131,394687160,5382033100.0
2023-02-20,1126.653,1133.188,1116.443,1133.154,389918360,5647413700.0
2023-02-21,1137.532,1162.937,1133.936,1154.028,408923430,6074126300.0
2023-02-22,1148.971,1154.856,1140.471,1144.655,288460540,4141328500.0
2023-02-23,1143.245,1166.486,1143.245,1166.329,366628650,5481346900.0
2023-02-24,1170.115,1170.115,1142.22,1150.689,289640760,4449455900.0
2023-02-27,1146.11,1160.257,1138.095,1150.499,271013000,4317643500.0
2023-02-28,1149.342,1151.908,1135.602,1147.043,255702190,4078689800.0
2023-03-01,1149.149,1149.546,1138.03,1147.653,322184520,4683762600.0
2023-03-02,1141.126,1141.217,1107.552,1110.648,388293810,7154333300.0
2023-03-03,1110.201,1114.241,1097.638,1101.463,326748690,4673495200.0
2023-03-06,1104.329,1104.329,1084.91,1101.462,261837650,4403618600.0
2023-03-07,1099.362,1100.026,1075.45,1075.45,315763930,4745134200.0
2023-03-08,1072.177,1078.224,1067.456,1075.907,203341380,3365451300.0
2023-03-09,1076.815,1077.069,1064.49,1068.608,193378640,3504740500.0
2023-03-10,1062.286,1066.166,1038.122,1038.208,279219500,5487377400.0
2023-03-13,1032.897,1038.844,1020.612,1027.667,244375720,4198877500.0
2023-03-14,1027.717,1028.954,992.111,1015.836,354763390,5369129500.0
2023-03-15,1019.928,1035.282,1018.949,1019.84,250020540,4201555200.0
2023-03-16,1014.981,1020.722,996.888,998.139,243177050,3361561500.0
2023-03-17,1006.305,1009.133,997.444,1000.384,246032300,3294341800.0
2023-03-20,1000.165,1011.556,985.458,1008.732,302285840,4625848000.0
2023-03-21,1010.057,1041.572,1006.293,1041.572,345411290,6107957900.0
2023-03-22,1046.703,1053.905,1031.469,1036.213,329806030,5885374000.0
2023-03-23,1031.91,1032.972,1022.979,1027.067,238132690,4000985500.0
2023-03-24,1027.279,1033.987,1023.062,1025.711,247968950,3576315800.0
2023-03-27,1024.443,1029.002,1017.579,1026.152,253202740,3861039800.0
2023-03-28,1026.215,1029.826,1020.655,1027.628,280144660,5288845500.0
2023-03-29,1027.458,1052.395,1027.381,1037.892,379601370,7101839800.0
2023-03-30,1039.544,1039.544,1024.385,1028.684,287211530,4439382200.0
2023-03-31,1030.409,1050.152,1029.926,1042.806,302793830,4165851800.0
2023-04-03,1039.096,1040.251,1028.47,1036.569,312466950,5314390500.0
2023-04-04,1033.981,1033.981,1004.656,1009.482,378787570,6489748400.0
2023-04-06,1002.869,1005.59,996.281,1004.016,505281860,4939182100.0
2023-04-07,1001.944,1010.643,999.817,1005.991,345352060,3754294900.0
2023-04-10,1005.969,1014.186,998.097,1000.82,371714400,4629825300.0
2023-04-11,998.956,999.147,989.749,996.862,291404170,4006563400.0
2023-04-12,994.996,998.26,988.525,996.237,309927440,3987385100.0
2023-04-13,996.192,996.192,979.847,980.282,294847030,3609427900.0
2023-04-14,982.415,997.127,982.415,994.601,289087200,4443390300.0
2023-04-17,995.592,1012.421,995.592,1002.53,360881980,5098985200.0
2023-04-18,1002.153,1003.277,992.112,994.776,277953980,3776850800.0
2023-04-19,995.57,995.57,981.127,982.887,290469900,4026654800.0
2023-04-20,980.403,980.403,957.275,963.039,292561600,4003174100.0
2023-04-21,960.605,966.385,936.907,936.907,335088770,4053712800.0
2023-04-24,936.117,955.638,924.875,941.061,295546890,3772963300.0
2023-04-25,939.952,942.194,902.507,912.863,343708100,4389876400.0
2023-04-26,909.046,938.916,908.877,933.26,297149100,4348755500.0
2023-04-27,932.686,945.348,926.409,940.282,329638080,4300801700.0
2023-04-28,936.144,947.128,933.017,934.684,356130330,4442836000.0
2023-05-04,932.821,951.269,932.715,939.927,339239730,4129988800.0
2023-05-05,937.632,938.889,917.04,921.509,318604130,3588650700.0
2023-05-08,925.733,938.565,925.596,927.742,380843130,4086487000.0
2023-05-09,927.812,927.812,914.806,915.317,442801440,4403820600.0
2023-05-10,915.787,955.132,914.099,949.751,508829880,6256109900.0
2023-05-11,948.973,958.318,938.271,948.808,407349340,5439051800.0
2023-05-12,946.285,950.979,933.416,933.857,284473790,3415831700.0
2023-05-15,932.374,948.476,931.546,948.476,280848290,3652144300.0
2023-05-16,949.388,949.388,935.557,938.17,284664710,3404162500.0
2023-05-17,937.342,948.667,937.342,947.409,243615610,3015139300.0
2023-05-18,947.971,955.926,945.133,952.908,398390380,4535387300.0
2023-05-19,951.509,954.881,943.579,951.223,287360410,3350759300.0
2023-05-22,953.541,969.396,948.343,969.093,374049960,4954509400.0
2023-05-23,970.148,980.219,962.536,964.033,294946140,3875877000.0
2023-05-24,960.822,969.297,955.233,958.045,248186460,3167635500.0
2023-05-25,956.036,967.77,950.66,961.603,256469540,3192785000.0
2023-05-26,961.529,992.486,947.844,989.339,439701690,6313823300.0
2023-05-29,986.863,986.863,959.225,964.285,407346210,5749789100.0
2023-05-30,965.718,1002.263,965.718,984.018,461347060,7121805500.0
2023-05-31,980.663,980.663,970.13,973.353,421297960,6043002100.0
2023-06-01,969.337,977.09,965.504,967.545,411999300,5156024300.0
2023-06-02,968.91,984.368,968.676,981.8,321567100,4829386600.0
2023-06-05,985.373,991.283,971.747,984.977,357566170,4977411800.0
2023-06-06,983.168,983.245,954.818,957.563,314185570,3836529400.0
2023-06-07,956.976,958.163,944.177,947.646,249792890,3142833500.0
2023-06-08,946.495,954.745,938.293,939.296,273936800,3476330500.0
2023-06-09,943.503,963.065,943.503,960.044,367071680,5558470900.0
2023-06-12,955.888,1009.561,955.691,1008.866,537042290,8840593700.0
2023-06-13,1012.685,1026.728,1011.213,1017.849,494491050,8029739400.0
2023-06-14,1020.014,1022.342,1008.202,1013.067,428042420,6526990200.0
2023-06-15,1008.501,1028.427,1002.586,1027.195,532529250,8458010900.0
2023-06-16,1026.558,1034.746,1022.923,1032.383,466406420,7073508500.0
2023-06-19,1030.839,1047.227,1028.947,1030.263,488399820,7074840800.0
2023-06-20,1031.097,1039.681,1023.91,1033.272,389713560,6610516200.0
2023-06-21,1033.855,1044.507,1021.39,1021.682,426461130,6472235100.0
2023-06-26,1014.625,1030.454,1001.616,1004.328,436387500,6349695600.0
2023-06-27,1005.776,1019.558,1000.278,1018.181,370212510,5627217800.0
2023-06-28,1017.758,1023.982,994.225,1020.665,394547800,5814237200.0
2023-06-29,1020.128,1042.454,1019.158,1033.447,455192970,6820308600.0
2023-06-30,1034.734,1050.484,1027.597,1048.619,674338930,7330056500.0
2023-07-03,1050.728,1073.827,1050.728,1056.611,918374710,9206784700.0
2023-07-04,1060.051,1091.422,1053.904,1089.869,906466600,11970636400.0
2023-07-05,1088.355,1088.355,1062.482,1063.436,651772700,8872278500.0
2023-07-06,1061.58,1066.5,1050.978,1065.423,612371580,6990608700.0
2023-07-07,1061.23,1067.788,1052.77,1054.633,669398320,6694582600.0
2023-07-10,1054.798,1064.673,1040.721,1042.558,550123570,6753087000.0
2023-07-11,1043.951,1078.591,1036.363,1078.591,699822250,9300193400.0
2023-07-12,1078.876,1098.856,1076.402,1078.42,666567480,10349422100.0
2023-07-13,1075.945,1077.037,1057.829,1065.998,524690720,7752319400.0
2023-07-14,1060.697,1062.553,1041.068,1046.126,471605590,6731505000.0
2023-07-17,1036.582,1036.914,1019.108,1028.733,423728630,5529968900.0
2023-07-18,1029.447,1062.793,1021.369,1057.75,512844080,8480844400.0
2023-07-19,1051.102,1052.56,1038.045,1046.7,469189210,6181611400.0
2023-07-20,1046.529,1048.204,1018.582,1019.75,441491350,5874431200.0
2023-07-21,1015.869,1017.923,1002.824,1002.824,346230190,4444568100.0
2023-07-24,1004.244,1012.33,996.894,1001.069,274300700,3525650900.0
2023-07-25,1013.279,1052.055,1013.066,1049.466,552578460,8120492600.0
2023-07-26,1048.556,1048.556,1021.273,1023.217,447000270,5523693500.0
2023-07-27,1041.067,1053.571,1030.133,1031.964,532584800,7286499200.0
2023-07-28,1023.106,1044.207,1009.688,1034.946,575071550,6802289000.0
2023-07-31,1036.883,1057.274,1036.028,1050.109,586792670,7311390400.0
2023-08-01,1045.705,1056.631,1036.343,1044.913,514077260,6064927800.0
2023-08-02,1041.149,1056.008,1037.795,1048.999,621055540,5624344800.0
2023-08-03,1041.806,1043.194,1029.956,1033.631,451654560,4808720600.0
2023-08-04,1034.957,1039.802,1026.846,1030.862,370896620,4852047200.0
2023-08-07,1028.289,1034.704,1023.297,1025.912,295522450,4181536100.0
2023-08-08,1025.419,1036.903,1020.922,1024.897,319302030,4237779300.0
2023-08-09,1020.603,1020.603,1002.393,1005.767,309577480,3946858100.0
2023-08-10,1004.698,1007.051,993.93,996.616,227194730,3105544800.0
2023-08-11,998.917,999.099,979.491,979.76,296601720,3317933500.0
2023-08-14,972.194,981.903,963.095,981.769,308459830,4163191800.0
2023-08-15,982.809,985.648,965.697,975.386,238033620,3205062500.0
2023-08-16,971.644,974.144,957.283,957.344,222764040,2828802900.0
2023-08-17,954.691,979.991,947.093,979.367,279314310,3987661300.0
2023-08-18,977.832,985.505,968.268,968.268,255491510,3284049700.0
2023-08-21,966.987,974.817,957.825,958.069,220393830,2727045500.0
2023-08-22,964.272,970.179,943.115,965.22,274051570,3883467800.0
2023-08-23,964.455,964.492,944.426,944.426,236907320,3311977100.0
2023-08-24,944.309,956.4,932.682,945.203,241211280,3634212500.0
2023-08-25,941.21,941.619,912.889,917.116,285979440,3743933200.0
2023-08-28,965.2,965.2,921.697,923.843,435946120,5386534100.0
2023-08-29,921.015,969.246,920.022,968.554,428680960,6132373500.0
2023-08-30,972.8,985.87,969.268,975.235,393029810,7850391000.0
2023-08-31,973.143,975.008,963.44,967.383,490616320,5580505000.0
2023-09-01,968.22,977.206,962.146,973.138,429024860,5235805700.0
2023-09-04,976.516,986.184,969.453,986.184,408057840,5273274700.0
2023-09-05,983.862,991.527,976.602,979.782,386869170,4608959100.0
2023-09-06,979.544,990.136,977.116,989.151,481219630,4637745200.0
2023-09-07,987.426,987.426,963.304,963.304,510341840,4661457300.0
2023-09-08,960.921,969.507,959.355,965.638,477017710,4092036100.0
2023-09-11,965.755,996.343,959.308,993.648,608053820,6329993100.0
2023-09-12,998.07,1009.766,993.384,1002.267,523979840,6681299000.0
2023-09-13,997.377,997.377,969.904,978.19,462075610,5098135200.0
2023-09-14,975.008,978.812,960.479,965.192,448824570,4449214700.0
2023-09-15,969.568,987.55,961.076,983.84,578487590,6750608100.0
2023-09-18,979.826,1020.426,976.818,1014.099,773145990,9258274900.0
2023-09-19,1011.162,1011.34,996.321,1002.013,698809670,7230467700.0
2023-09-20,999.197,1007.823,988.126,988.126,570285940,6265741800.0
2023-09-21,985.063,986.347,964.496,970.191,539687040,6027777700.0
2023-09-22,967.696,984.072,964.743,983.667,517855910,5449230400.0
2023-09-25,982.675,992.219,980.311,986.112,438587760,5372078400.0
2023-09-26,982.688,982.688,973.027,973.253,396111770,4581587400.0
2023-09-27,973.955,985.635,971.194,972.833,413219430,4932655200.0
2023-09-28,975.08,997.426,975.064,994.573,582637470,5811035100.0
2023-10-09,1004.072,1026.348,1004.072,1025.218,777303160,8722575700.0
2023-10-10,1030.388,1030.388,1015.22,1018.676,703866540,8168411500.0
2023-10-11,1019.791,1019.791,1004.576,1008.523,752340550,7202102900.0
2023-10-12,1009.638,1025.444,1005.822,1020.298,707463690,7148730100.0
2023-10-13,1016.633,1032.324,1014.029,1024.165,852411470,10182072900.0
2023-10-16,1026.737,1028.501,1019.327,1027.457,798864670,9243313600.0
2023-10-17,1026.911,1026.911,1002.834,1009.798,919445700,9148167100.0
2023-10-18,1003.047,1015.535,995.367,1009.419,896097980,9416227300.0
2023-10-19,998.44,998.44,978.419,978.729,1004922060,10402233200.0
2023-10-20,971.08,993.052,966.313,968.707,835041130,7842665400.0
2023-10-23,964.182,969.648,936.988,945.612,814708000,7896369800.0
2023-10-24,946.203,967.703,943.355,963.236,807137700,8186919800.0
2023-10-25,967.436,991.693,967.436,987.751,762011400,8193199700.0
2023-10-26,984.388,1013.929,972.209,1013.929,959272250,10568423500.0
2023-10-27,1015.41,1033.259,1013.789,1020.243,1040874170,12271674900.0
2023-10-30,1012.28,1020.395,1006.633,1017.537,1064656340,9955655700.0
2023-10-31,1012.984,1016.657,992.508,999.571,1097942380,10224761400.0
2023-11-01,998.899,1023.788,992.066,1018.35,1014113930,9959544500.0
2023-11-02,1022.508,1025.866,1004.91,1004.91,887667080,8855440700.0
2023-11-03,1008.076,1026.714,1004.303,1023.084,859792950,8880635800.0
2023-11-06,1026.947,1053.894,1026.947,1053.894,1029573290,11402659000.0
2023-11-07,1053.285,1061.801,1048.61,1057.779,1010833870,11820687200.0
2023-11-08,1056.828,1056.828,1044.968,1054.506,1256242210,13088790500.0
2023-11-09,1051.942,1051.942,1030.723,1033.832,931591700,9663414000.0
2023-11-10,1035.45,1043.556,1029.287,1035.911,827442280,8954237100.0
2023-11-13,1034.35,1050.591,1034.35,1050.591,783009840,9133011000.0
2023-11-14,1050.415,1059.888,1045.747,1055.388,976211650,8846364800.0
2023-11-15,1060.165,1082.504,1051.927,1082.504,932338530,11348353400.0
2023-11-16,1089.259,1093.394,1078.018,1078.018,1152282560,13715160000.0
2023-11-17,1070.627,1093.993,1069.083,1091.862,997185760,11255113400.0
2023-11-20,1090.865,1093.59,1080.921,1091.741,819560800,9208329300.0
2023-11-21,1089.814,1091.597,1073.522,1076.668,861884110,8745349500.0
2023-11-22,1071.514,1073.196,1050.614,1050.614,684174410,7600927100.0
2023-11-23,1049.66,1082.265,1049.547,1079.048,742136340,9160444200.0
2023-11-24,1077.458,1077.458,1048.311,1050.441,557247830,6690910900.0
2023-11-27,1051.287,1058.981,1044.288,1056.157,699986480,7266742700.0
2023-11-28,1055.831,1082.226,1055.831,1081.972,1094607340,10474095800.0
2023-11-29,1080.902,1085.271,1071.606,1075.34,934795880,9354005100.0
2023-11-30,1072.935,1078.446,1052.404,1064.643,730185480,7155636200.0
2023-12-01,1066.647,1066.81,1044.385,1058.143,630870510,7061985800.0
2023-12-04,1058.61,1066.685,1052.396,1055.685,698841320,7338604200.0
2023-12-05,1052.854,1053.047,1032.405,1032.405,744463140,7330537900.0
2023-12-06,1029.968,1046.769,1029.459,1032.562,585277130,6193574800.0
2023-12-07,1032.697,1032.807,1020.062,1024.336,696412480,6468056200.0
2023-12-08,1024.788,1031.243,1010.823,1014.244,703685830,6795177200.0
2023-12-11,1008.282,1028.931,1001.912,1028.279,614100910,6597220500.0
2023-12-12,1027.336,1029.623,1020.75,1028.741,492936070,4896792200.0
2023-12-13,1027.656,1036.319,1017.625,1021.354,540654330,5785756600.0
2023-12-14,1023.311,1027.998,1012.298,1012.916,566225650,5255578900.0
2023-12-15,1012.817,1017.33,1001.939,1003.552,453257380,4393145900.0
2023-12-18,1000.655,1005.805,991.401,993.308,453668980,4170117200.0
2023-12-19,991.216,992.94,982.838,989.445,390965760,3631720100.0
2023-12-20,991.113,993.905,970.508,970.508,395406340,3936338000.0
2023-12-21,967.199,981.872,956.637,979.111,411344520,4105034500.0
2023-12-22,980.319,982.814,967.051,970.531,356870280,3917435700.0
2023-12-25,972.446,987.368,968.465,987.2,391241800,4763602600.0
2023-12-26,988.647,988.647,960.721,962.13,380413250,5041370300.0
2023-12-27,964.244,968.15,956.255,966.611,434333290,4721835400.0
2023-12-28,964.489,991.614,958.215,989.447,538406770,6046950200.0
2023-12-29,986.253,1007.465,984.682,1007.465,594061420,6159812600.0
2024-01-02,1008.586,1013.396,1004.194,1004.246,501439420,5513327200.0
2024-01-03,1002.142,1002.142,978.438,986.41,396730880,5037647200.0
2024-01-04,985.665,985.985,978.462,983.179,321725310,4047248600.0
2024-01-05,986.136,992.318,965.379,969.806,395846720,4814529700.0
2024-01-08,967.838,968.161,948.406,948.406,405954340,5015468900.0
2024-01-09,951.314,966.665,947.831,955.583,360116370,4156773600.0
2024-01-10,954.478,961.8,940.466,945.363,377265780,4889295300.0
2024-01-11,942.595,964.303,940.923,962.337,406426410,4668691000.0
2024-01-12,961.504,969.415,954.597,954.597,471620630,5001879500.0
2024-01-15,949.606,949.606,935.945,941.843,376085000,4043670500.0
2024-01-16,942.66,945.34,925.48,937.913,545480480,5107446500.0
2024-01-17,937.657,937.657,903.277,903.277,451363970,5462217800.0
