日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1820.94,1893.519,1819.027,1891.249,2235507500,18582813000.0
2020-01-03,1902.508,1922.094,1895.023,1906.169,2410150600,19975455000.0
2020-01-06,1895.448,1962.848,1889.389,1946.405,2446191900,21558576000.0
2020-01-07,1954.164,2025.54,1953.972,2024.322,2937635200,24709502000.0
2020-01-08,2005.616,2009.075,1961.024,1964.381,2557505400,21058651000.0
2020-01-09,1988.463,2009.331,1973.039,1995.33,2061866600,18373920000.0
2020-01-10,2001.115,2001.612,1961.955,1973.73,1769955800,15387184000.0
2020-01-13,1961.521,1980.716,1939.794,1980.716,1593767900,14647581000.0
2020-01-14,1979.369,1997.373,1972.128,1972.392,1671930400,16002605000.0
2020-01-15,1965.205,1972.51,1946.868,1957.558,1574526700,13952332000.0
2020-01-16,1962.025,1968.651,1938.316,1944.644,1604869900,13813957000.0
2020-01-17,1949.245,1958.157,1918.403,1920.746,1629637600,14179055000.0
2020-01-20,1909.969,1915.027,1889.024,1913.006,1543968200,15649967000.0
2020-01-21,1900.955,1902.537,1882.296,1882.346,1538182900,13518676000.0
2020-01-22,1859.226,1880.973,1834.088,1872.529,1375101600,13264699300.0
2020-01-23,1837.824,1880.39,1794.478,1813.734,1563497900,16824238000.0
2020-02-03,1646.717,1683.061,1646.717,1654.272,1100124470,14161431000.0
2020-02-04,1559.997,1676.0,1559.997,1669.027,2537260500,19973606000.0
2020-02-05,1675.542,1747.105,1675.542,1719.723,2183441300,20730322000.0
2020-02-06,1726.606,1809.007,1714.266,1803.634,2533738100,23297811000.0
2020-02-07,1808.408,1865.525,1799.869,1863.213,2846169500,27146343000.0
2020-02-10,1859.862,1873.516,1831.575,1856.936,2467043100,23851663000.0
2020-02-11,1860.689,1862.716,1818.087,1826.979,1875607500,17887460000.0
2020-02-12,1824.329,1871.471,1823.075,1870.849,1851207600,18254356000.0
2020-02-13,1874.332,1874.332,1826.873,1832.262,1862005400,18271506000.0
2020-02-14,1824.255,1845.148,1807.467,1819.726,1610557600,15417195000.0
2020-02-17,1834.607,1893.586,1834.607,1893.586,1945626100,17818214000.0
2020-02-18,1894.689,1940.143,1889.041,1940.143,2177149500,19647749000.0
2020-02-19,1928.105,1928.164,1886.938,1887.381,1907890400,19743509000.0
2020-02-20,1891.489,1918.15,1873.667,1917.971,1805902200,17571707000.0
2020-02-21,1914.501,1971.959,1911.992,1955.256,2255551500,21969385000.0
2020-02-24,1947.188,1990.327,1937.735,1983.682,2471672700,24196294000.0
2020-02-25,1933.38,1956.913,1868.389,1954.231,2587064500,24274177000.0
2020-02-26,1927.821,1956.786,1908.432,1916.324,2503611800,21706276000.0
2020-02-27,1924.327,1958.156,1897.699,1939.839,2228477000,20703502000.0
2020-02-28,1873.046,1907.604,1815.251,1817.373,2613636700,22984885000.0
2020-03-02,1830.451,1876.014,1814.525,1866.401,2161195100,20872954000.0
2020-03-03,1891.212,1924.643,1850.994,1869.664,2179920000,20845821000.0
2020-03-04,1850.66,1885.093,1845.117,1881.58,1966917900,16083701000.0
2020-03-05,1908.284,1916.208,1885.147,1907.173,2040410200,16096911000.0
2020-03-06,1881.223,1907.101,1873.662,1890.856,1773951700,13862496000.0
2020-03-09,1865.99,1872.44,1816.213,1816.213,1851539400,15808763000.0
2020-03-10,1787.316,1869.953,1779.823,1869.953,1811375000,15140314000.0
2020-03-11,1875.96,1893.05,1844.22,1844.687,1694373600,13228521700.0
2020-03-12,1819.167,1835.968,1794.492,1815.001,1425399500,11946819700.0
2020-03-13,1712.913,1798.392,1712.913,1782.965,1641220400,12950789300.0
2020-03-16,1800.176,1803.463,1698.979,1702.262,1652902200,14451593000.0
2020-03-17,1720.789,1735.145,1642.549,1707.231,1399736300,11482001800.0
2020-03-18,1721.293,1749.869,1681.062,1681.062,1485035400,13076059900.0
2020-03-19,1678.644,1716.557,1661.489,1710.983,1535678600,14148192000.0
2020-03-20,1727.61,1735.173,1704.191,1731.304,1395346300,13376936700.0
2020-03-23,1686.434,1711.618,1660.866,1665.287,1213015490,10320210400.0
2020-03-24,1695.174,1707.863,1651.604,1702.666,1503532800,12967605300.0
2020-03-25,1732.715,1749.833,1716.621,1744.765,1477168200,13039877400.0
2020-03-26,1732.717,1746.355,1715.587,1716.579,1205319110,10683633800.0
2020-03-27,1735.119,1736.335,1694.707,1696.626,1157816180,10106229900.0
2020-03-30,1666.608,1666.718,1607.951,1623.047,1132253360,9666196700.0
2020-03-31,1638.836,1640.482,1607.808,1609.914,886084550,7112523300.0
2020-04-01,1600.45,1624.955,1591.55,1594.001,913104330,7165913900.0
2020-04-02,1587.207,1634.766,1587.054,1634.766,1003604580,8069364900.0
2020-04-03,1631.642,1635.022,1606.107,1613.227,833459850,6879481300.0
2020-04-07,1642.396,1681.257,1642.396,1680.268,1202723260,9796875300.0
2020-04-08,1683.872,1710.926,1680.468,1702.717,1160342060,9329571100.0
2020-04-09,1714.209,1750.017,1713.341,1744.796,1431493300,11515254300.0
2020-04-10,1743.555,1743.555,1676.083,1681.779,1440782000,11210054700.0
2020-04-13,1667.09,1667.09,1640.712,1648.587,1230892280,9092390900.0
2020-04-14,1656.09,1697.611,1655.511,1697.611,1400662300,13312477300.0
2020-04-15,1695.287,1699.334,1675.386,1678.53,1311886270,11245370500.0
2020-04-16,1670.852,1710.607,1669.716,1706.349,1515617100,12364467200.0
2020-04-17,1718.122,1733.0,1702.862,1704.551,1924151600,13651493000.0
2020-04-20,1698.32,1725.532,1694.808,1724.837,1720732800,12365193200.0
2020-04-21,1720.493,1727.639,1700.58,1726.252,1860530100,12597201300.0
2020-04-22,1710.317,1740.128,1707.283,1739.192,1678458600,12190384000.0
2020-04-23,1739.418,1741.787,1706.468,1709.54,1754233700,13646951000.0
2020-04-24,1702.003,1704.935,1657.773,1663.9,1622419000,11631231900.0
2020-04-27,1660.21,1662.458,1630.744,1632.087,1374002200,8843650300.0
2020-04-28,1624.019,1627.116,1536.531,1582.414,1482302700,9915283100.0
2020-04-29,1571.504,1602.877,1569.844,1585.825,1150575360,7980795400.0
2020-04-30,1590.709,1632.796,1590.709,1626.758,1338185500,11323481900.0
2020-05-06,1603.746,1650.72,1602.456,1650.075,1307577690,11372023000.0
2020-05-07,1649.187,1666.468,1645.71,1647.453,1327135890,11577878100.0
2020-05-08,1657.252,1685.145,1657.252,1680.674,1474475400,11443683200.0
2020-05-11,1691.329,1694.712,1665.359,1677.359,1592147200,11944093700.0
2020-05-12,1676.222,1676.222,1638.889,1663.838,1335923580,9637958700.0
2020-05-13,1652.951,1667.173,1647.954,1665.638,1307621240,9493295600.0
2020-05-14,1655.592,1691.179,1652.105,1671.559,1865989400,14831549000.0
2020-05-15,1673.931,1679.95,1663.999,1667.299,1531407500,11540749400.0
2020-05-18,1667.858,1667.858,1630.811,1635.209,1317624130,10036697900.0
2020-05-19,1651.02,1669.828,1650.473,1669.828,1166551030,10256190500.0
2020-05-20,1669.068,1669.068,1638.907,1643.808,1426919800,10702072500.0
2020-05-21,1646.454,1650.925,1616.496,1619.343,1250148900,9056954700.0
2020-05-22,1615.094,1618.803,1586.147,1595.719,1199241820,8385494000.0
2020-05-25,1591.709,1602.164,1587.864,1598.556,1027404280,8255314100.0
2020-05-26,1605.546,1639.125,1603.156,1638.398,1180595950,9130189100.0
2020-05-27,1642.986,1644.876,1628.314,1633.493,1214012690,9352245700.0
2020-05-28,1634.186,1641.596,1603.433,1631.628,1115120690,8632461800.0
2020-05-29,1622.678,1663.381,1620.54,1653.147,1368298900,10895092200.0
2020-06-01,1667.775,1723.156,1666.774,1722.049,1700528300,13137016600.0
2020-06-02,1739.918,1743.748,1727.868,1733.267,2130315900,14906560000.0
2020-06-03,1734.436,1759.443,1729.085,1739.187,2085694900,14272790000.0
2020-06-04,1738.777,1748.588,1730.508,1747.075,1685011200,11088583500.0
2020-06-05,1747.837,1759.005,1741.671,1756.603,1689357300,11584783400.0
2020-06-08,1767.035,1774.862,1757.687,1760.409,1699950700,13270714000.0
2020-06-09,1763.234,1813.593,1760.44,1807.265,2025250000,15680573000.0
2020-06-10,1808.149,1808.151,1776.842,1789.191,1844678900,15083555000.0
2020-06-11,1800.377,1845.505,1800.377,1818.908,2116859400,19756639000.0
2020-06-12,1771.199,1856.467,1770.672,1853.181,2356395800,20460885000.0
2020-06-15,1869.487,1916.843,1862.085,1879.646,2590798400,25234184000.0
2020-06-16,1910.876,1918.727,1890.861,1915.825,2573060400,23927805000.0
2020-06-17,1919.508,1925.776,1900.281,1925.776,2570312800,23290334000.0
2020-06-18,1923.975,1945.306,1900.523,1900.682,2242210900,20128356000.0
2020-06-19,1890.867,1912.546,1887.319,1900.841,2232249400,24488306000.0
2020-06-22,1900.334,1910.075,1891.941,1900.783,1903818900,20949590000.0
2020-06-23,1902.133,1963.036,1897.232,1956.126,2605493700,30747789000.0
2020-06-24,1956.992,1978.066,1955.642,1965.147,2301598900,27455103000.0
2020-06-29,1949.447,1954.472,1900.549,1908.229,2285846200,23825968000.0
2020-06-30,1915.671,1945.682,1912.768,1944.563,1813850800,21919573000.0
2020-07-01,1946.237,1963.792,1926.722,1951.252,1986493900,23996528000.0
2020-07-02,1942.651,1979.391,1939.327,1977.078,2566500800,28903409000.0
2020-07-03,1967.262,1984.447,1955.544,1981.384,2343080700,25507163000.0
2020-07-06,1986.247,2048.652,1983.072,2047.065,2998452600,33988137000.0
2020-07-07,2060.037,2128.522,2046.12,2096.257,3166032100,36376358000.0
2020-07-08,2102.295,2143.127,2072.934,2143.127,3185269900,38161397000.0
2020-07-09,2140.095,2216.856,2135.057,2213.431,3911611500,42855810000.0
2020-07-10,2198.554,2219.74,2170.95,2178.538,3122704700,33876575000.0
2020-07-13,2176.767,2234.036,2171.391,2234.036,2777302200,31360139000.0
2020-07-14,2228.479,2265.011,2190.503,2232.181,3118044300,35467678000.0
2020-07-15,2227.921,2233.41,2131.443,2137.003,2911188600,35884342000.0
2020-07-16,2132.598,2142.516,2031.549,2031.549,2527822900,27718577000.0
2020-07-17,2027.864,2058.096,1998.933,2025.912,2017424200,22378095000.0
2020-07-20,2040.451,2080.567,2015.753,2080.567,1877437300,20951190000.0
2020-07-21,2086.323,2102.679,2069.775,2090.511,1879617800,21115574000.0
2020-07-22,2082.143,2112.445,2067.218,2092.637,1967181800,21874993000.0
2020-07-23,2068.257,2075.401,2004.295,2061.245,2406142200,23362620000.0
2020-07-24,2053.037,2065.77,1957.102,1966.494,2367780300,23942627000.0
2020-07-27,1971.347,1983.526,1952.631,1976.344,1492778000,15349389000.0
2020-07-28,1990.846,2008.651,1984.224,2008.228,1534484500,16215998000.0
2020-07-29,2007.311,2071.278,1999.615,2071.162,1993672700,20387134000.0
2020-07-30,2069.276,2074.063,2041.9,2045.519,1843011000,19713732000.0
2020-07-31,2040.461,2086.671,2039.876,2075.598,2095607200,21852017000.0
2020-08-03,2097.223,2141.172,2095.704,2141.172,2179258900,21953019000.0
2020-08-04,2149.599,2161.429,2123.528,2128.098,2719298100,29136124000.0
2020-08-05,2121.675,2156.691,2107.623,2153.629,2232172400,22620467000.0
2020-08-06,2155.493,2156.229,2097.807,2125.855,2332077200,23506269000.0
2020-08-07,2119.783,2120.867,2051.467,2080.834,1968135400,18926417000.0
2020-08-10,2070.536,2103.417,2067.885,2091.526,1826257100,16815387000.0
2020-08-11,2089.712,2092.331,2038.52,2042.716,1971072900,17046478000.0
2020-08-12,2035.667,2037.706,1986.974,2029.592,1859996200,17575091000.0
2020-08-13,2038.648,2061.736,2037.45,2051.456,1629878200,14293958000.0
2020-08-14,2047.874,2074.098,2034.658,2072.797,1466971600,13457507000.0
2020-08-17,2073.082,2102.466,2068.719,2101.822,1668930300,16034276000.0
2020-08-18,2100.811,2124.658,2096.168,2123.577,1867479100,17729917000.0
2020-08-19,2121.996,2122.117,2069.321,2069.321,1806691900,16084302000.0
2020-08-20,2055.283,2088.473,2045.662,2079.869,1454823800,13663957000.0
2020-08-21,2088.013,2127.604,2088.013,2121.165,1923953800,18789975000.0
2020-08-24,2128.696,2149.136,2096.343,2139.861,1878887200,17565774000.0
2020-08-25,2139.953,2168.792,2133.261,2158.221,2166351400,19264598000.0
2020-08-26,2150.079,2150.725,2095.135,2104.157,1997777800,17683755000.0
2020-08-27,2101.252,2142.989,2085.379,2139.015,1810421900,16503979000.0
2020-08-28,2131.022,2146.321,2118.433,2145.516,1887077100,17172493000.0
2020-08-31,2154.289,2168.835,2139.719,2139.719,1769598300,18806077000.0
2020-09-01,2138.233,2146.626,2116.361,2146.626,1670976300,15051790000.0
2020-09-02,2149.558,2196.674,2146.626,2187.967,2341238100,20245820000.0
2020-09-03,2183.921,2183.921,2145.454,2153.683,1848999300,16168997000.0
2020-09-04,2116.332,2169.51,2109.064,2166.627,1781906500,14924167000.0
2020-09-07,2171.258,2205.743,2146.088,2158.244,2183656600,19137168000.0
2020-09-08,2155.42,2212.157,2142.568,2212.157,2414651000,20071731000.0
2020-09-09,2179.894,2189.195,2116.695,2116.695,2935846000,23465569000.0
2020-09-10,2124.174,2131.177,1996.604,1999.082,2416484700,19392129000.0
2020-09-11,1977.492,2039.626,1977.492,2033.19,1674150700,14055809000.0
2020-09-14,2045.39,2082.701,2042.302,2077.84,1784683300,16440209000.0
2020-09-15,2080.052,2088.505,2067.552,2084.35,1699663500,15182785000.0
2020-09-16,2078.057,2087.402,2052.618,2061.885,1645334400,13792465000.0
2020-09-17,2055.05,2069.989,2034.2,2052.701,1315105790,12084205600.0
2020-09-18,2055.324,2074.919,2034.891,2072.656,1456264600,13120507200.0
2020-09-21,2081.015,2092.808,2071.7,2075.209,1417320900,12399404300.0
2020-09-22,2058.171,2072.199,2034.121,2039.236,1447007300,12409692000.0
2020-09-23,2042.055,2051.729,2029.754,2045.868,1151936460,10216627000.0
2020-09-24,2031.932,2036.722,1993.832,1995.038,1487488200,12837309100.0
2020-09-25,2003.82,2008.307,1978.909,1990.263,1052867960,8777173400.0
2020-09-28,1993.524,2001.924,1961.708,1961.708,959557460,8208953700.0
2020-09-29,1978.154,1999.776,1976.864,1976.864,943336690,8070669600.0
2020-09-30,1983.007,1985.059,1951.81,1963.157,891673990,8415844000.0
2020-10-09,1989.708,2027.916,1989.708,2023.048,1069175660,10485275300.0
2020-10-12,2036.458,2076.673,2030.274,2076.673,1523778600,17087315000.0
2020-10-13,2073.284,2073.284,2049.794,2068.499,1337872320,15426202000.0
2020-10-14,2066.26,2067.886,2033.535,2038.186,1261877380,13720017000.0
2020-10-15,2036.15,2036.403,2010.592,2013.589,1328871930,13198997300.0
2020-10-16,2009.454,2017.808,1996.24,2016.838,989478160,9676023800.0
2020-10-19,2019.402,2032.223,2003.459,2007.553,1012476210,10213875800.0
2020-10-20,2012.833,2049.245,2007.502,2049.119,1247193570,11691309800.0
2020-10-21,2044.458,2045.936,2014.657,2025.007,1169843040,12094183000.0
2020-10-22,2019.149,2030.949,1997.671,2025.415,1063750940,10716515300.0
2020-10-23,2025.856,2036.885,1981.342,1985.633,1101976520,11644068100.0
2020-10-26,1974.79,1986.076,1956.897,1975.987,962427330,9660011700.0
2020-10-27,1969.403,1984.734,1957.344,1972.178,880853620,8945344900.0
2020-10-28,1970.854,1976.659,1947.2,1973.73,1013422750,9189628800.0
2020-10-29,1942.268,1967.485,1933.777,1955.307,990940660,8950466300.0
2020-10-30,1958.309,1965.896,1900.718,1900.718,1229599540,11261469500.0
2020-11-02,1899.181,1903.843,1867.543,1876.333,1209329610,11369256000.0
2020-11-03,1879.426,1922.094,1873.745,1922.094,1072606500,9714537600.0
2020-11-04,1925.33,1925.499,1887.837,1906.251,867815560,8279154500.0
2020-11-05,1923.08,1939.87,1906.776,1939.464,1071752840,10152562800.0
2020-11-06,1942.702,1944.77,1910.965,1920.405,1142722630,10787135400.0
2020-11-09,1927.273,1969.53,1926.683,1960.937,1394269800,13783964000.0
2020-11-10,1971.548,1971.548,1929.433,1938.646,1213894770,11955132400.0
2020-11-11,1930.561,1930.561,1897.946,1898.421,988269110,8943234500.0
2020-11-12,1903.169,1910.826,1884.396,1897.696,796277550,7137779800.0
2020-11-13,1891.739,1904.377,1878.614,1903.891,820664370,7227782100.0
2020-11-16,1905.438,1907.565,1895.469,1905.073,920873780,8528116000.0
2020-11-17,1904.553,1904.553,1870.349,1884.786,998691710,9038200700.0
2020-11-18,1880.43,1900.519,1878.836,1891.205,914157280,8966692500.0
2020-11-19,1885.677,1900.491,1872.514,1896.242,930689560,8004896500.0
2020-11-20,1893.869,1899.48,1884.703,1897.426,952868010,7983361200.0
2020-11-23,1896.906,1898.659,1875.631,1888.981,1103402330,9198467300.0
2020-11-24,1886.904,1903.15,1882.895,1889.332,984713880,8181601600.0
2020-11-25,1892.509,1893.127,1862.732,1862.732,919429320,8192159200.0
2020-11-26,1862.041,1868.153,1846.93,1853.818,833896800,7216447600.0
2020-11-27,1853.243,1863.233,1837.788,1858.32,826368730,7045777200.0
2020-11-30,1857.712,1880.261,1839.869,1864.556,1104528150,10917017200.0
2020-12-01,1865.618,1912.372,1863.999,1910.815,1577090200,16746060000.0
2020-12-02,1910.193,1912.55,1898.95,1906.178,1180406070,12013651100.0
2020-12-03,1905.957,1915.69,1903.016,1910.546,1069589010,10153430700.0
2020-12-04,1908.115,1914.971,1898.846,1911.072,887717360,7961492500.0
2020-12-07,1912.877,1913.187,1888.55,1889.205,1017931650,8232741100.0
2020-12-08,1887.096,1898.188,1879.194,1880.039,958333910,9554467600.0
2020-12-09,1877.612,1877.762,1833.652,1833.652,1028740340,8454717300.0
2020-12-10,1828.017,1838.838,1818.3,1823.753,890302570,7269606100.0
2020-12-11,1825.303,1825.397,1767.005,1782.509,1160303480,9657661100.0
2020-12-14,1773.626,1785.554,1754.793,1780.634,835057020,7564881200.0
2020-12-15,1775.687,1788.268,1769.192,1773.236,854535940,7075520700.0
2020-12-16,1769.95,1769.95,1736.685,1737.403,818823030,6614104500.0
2020-12-17,1733.312,1752.162,1705.771,1750.327,1010376100,8218861600.0
2020-12-18,1749.897,1755.642,1730.175,1735.704,787236060,6694140200.0
2020-12-21,1732.352,1753.206,1725.94,1745.405,846100810,8177270200.0
2020-12-22,1736.748,1736.748,1702.778,1704.395,1154047980,10299052500.0
2020-12-23,1701.89,1709.915,1688.743,1697.576,1038946790,8568223800.0
2020-12-24,1690.158,1690.158,1641.715,1644.245,1023818450,8028209100.0
2020-12-25,1640.764,1659.424,1635.068,1648.474,837169770,6991316400.0
2020-12-28,1642.595,1642.595,1612.445,1617.826,978433670,8811770900.0
2020-12-29,1618.22,1684.604,1618.22,1665.842,1311220720,12651339600.0
2020-12-30,1662.557,1671.592,1651.618,1665.956,1143945960,12558857700.0
2020-12-31,1664.185,1691.483,1664.185,1691.101,1085225290,10527718500.0
2021-01-04,1693.031,1705.437,1688.514,1699.84,1143132330,11441455800.0
2021-01-05,1694.458,1699.802,1676.322,1685.835,1246996480,11674505200.0
2021-01-06,1682.671,1682.671,1643.412,1648.867,1086700280,10126076300.0
2021-01-07,1645.075,1645.075,1575.386,1584.349,1396144400,12403756800.0
2021-01-08,1584.033,1642.898,1569.902,1628.195,1524284400,15700615000.0
2021-01-11,1624.97,1639.84,1592.326,1606.239,1593442300,15293370000.0
2021-01-12,1600.576,1616.012,1591.771,1600.497,1279025500,13403490200.0
2021-01-13,1601.759,1601.759,1554.67,1569.895,1361039700,13750199000.0
2021-01-14,1565.944,1586.556,1553.361,1576.885,1240110620,12766178300.0
2021-01-15,1576.433,1598.904,1574.591,1596.749,1098982440,10266809900.0
2021-01-18,1594.288,1616.956,1592.832,1611.055,1024615570,9699289400.0
2021-01-19,1608.87,1630.035,1604.334,1622.08,1326663660,10603301800.0
2021-01-20,1620.286,1622.768,1604.206,1609.053,1036556370,8483783400.0
2021-01-21,1611.124,1650.325,1611.124,1641.371,1628191600,15403806000.0
2021-01-22,1638.846,1638.846,1607.279,1611.871,1250895030,11910899500.0
2021-01-25,1607.716,1607.74,1568.744,1570.438,1159266390,11515616100.0
2021-01-26,1563.887,1591.364,1563.546,1577.495,1016429400,10704026100.0
2021-01-27,1579.098,1654.276,1572.122,1639.792,2163454400,20292517000.0
2021-01-28,1639.736,1684.557,1637.682,1656.592,2123046900,20477097000.0
2021-01-29,1647.729,1652.489,1605.762,1622.671,1907504400,16281793000.0
2021-02-01,1603.487,1627.564,1603.06,1607.355,1578663000,12802439800.0
2021-02-02,1596.491,1607.179,1571.572,1585.39,1604073200,13219252900.0
2021-02-03,1570.064,1588.663,1567.111,1570.388,1590486900,13045977000.0
2021-02-04,1557.613,1560.783,1506.816,1527.383,1810466300,16077071000.0
2021-02-05,1524.501,1550.448,1496.58,1496.908,1404824300,10974671500.0
2021-02-08,1494.538,1501.39,1475.894,1491.243,1260386120,10270531800.0
2021-02-09,1489.042,1510.357,1486.324,1505.274,1087455250,8790471600.0
2021-02-10,1506.639,1523.142,1498.637,1514.699,1027106270,8499055500.0
2021-02-18,1544.298,1573.22,1544.298,1566.347,1370630700,11816465400.0
2021-02-19,1570.734,1636.367,1563.007,1636.367,1639428500,13328651900.0
2021-02-22,1644.18,1681.732,1642.979,1651.794,1924370200,16343070000.0
2021-02-23,1643.303,1654.726,1620.455,1626.461,1412275800,11268993500.0
2021-02-24,1624.815,1661.054,1624.705,1647.855,1537721900,12117302400.0
2021-02-25,1656.364,1658.359,1622.677,1624.831,1268992400,10097950500.0
2021-02-26,1605.486,1641.582,1602.008,1628.855,1300931820,10245947700.0
2021-03-01,1629.706,1671.768,1629.706,1671.768,1396384600,11933999000.0
2021-03-02,1674.125,1676.388,1649.207,1659.562,1279004160,11230230300.0
2021-03-03,1656.746,1675.234,1654.391,1674.538,1160857220,10465801700.0
2021-03-04,1666.722,1678.992,1663.179,1671.69,1201654170,9784033700.0
2021-03-05,1663.934,1699.863,1662.404,1692.515,1347409000,11905229500.0
2021-03-08,1697.202,1716.141,1674.912,1675.287,1530777800,14275308000.0
2021-03-09,1673.884,1674.374,1613.82,1636.584,1608926800,14175998000.0
2021-03-10,1643.137,1648.512,1600.016,1600.976,1157640050,9886022600.0
2021-03-11,1603.484,1629.977,1591.942,1629.836,1300647600,11021564800.0
2021-03-12,1626.755,1626.755,1608.905,1613.515,1076723930,9455625100.0
2021-03-15,1603.83,1608.119,1591.709,1598.069,1265753590,11315448800.0
2021-03-16,1596.136,1633.027,1596.136,1632.811,1362395700,12258470100.0
2021-03-17,1631.991,1640.465,1623.158,1637.779,1169443430,8887034500.0
2021-03-18,1635.473,1640.418,1628.767,1633.97,1137461970,8937311200.0
2021-03-19,1623.845,1645.148,1620.35,1630.618,1082730020,8877801700.0
2021-03-22,1626.372,1644.507,1625.547,1644.05,930854220,7536641600.0
2021-03-23,1647.698,1655.888,1631.932,1650.157,1214220630,9379965700.0
2021-03-24,1646.272,1662.589,1646.272,1659.903,1232942770,9556894300.0
2021-03-25,1654.506,1682.699,1646.02,1666.394,1321010810,9418058700.0
2021-03-26,1661.529,1674.344,1655.289,1669.781,1130846780,8592858000.0
2021-03-29,1668.293,1675.562,1658.438,1660.893,1033423080,7818031600.0
2021-03-30,1661.422,1661.509,1633.526,1634.367,1011251880,7838268300.0
2021-03-31,1638.017,1648.941,1636.377,1647.255,836751700,7026853500.0
2021-04-01,1647.906,1655.009,1639.475,1653.298,849568120,6293738600.0
2021-04-02,1658.276,1667.716,1650.496,1664.627,952514410,7065400400.0
2021-04-06,1670.195,1702.373,1666.612,1701.648,978668980,8060474700.0
2021-04-07,1703.204,1713.733,1696.856,1713.599,1232363040,8324383100.0
2021-04-08,1711.641,1712.86,1695.452,1695.819,1207356180,9649544500.0
2021-04-09,1685.791,1707.106,1683.037,1705.248,1064718130,8604157800.0
2021-04-12,1703.045,1703.344,1678.991,1681.919,1151795790,9085045700.0
2021-04-13,1684.928,1692.013,1659.02,1663.337,1001087630,8576442800.0
2021-04-14,1665.063,1686.591,1657.49,1686.378,1133901580,8511532900.0
2021-04-15,1678.306,1686.932,1670.603,1672.907,1128729890,7366105000.0
2021-04-16,1668.848,1708.912,1665.303,1708.912,1196896000,7743166400.0
2021-04-19,1706.86,1722.696,1706.161,1717.442,1164662550,8515800600.0
2021-04-20,1716.389,1736.088,1708.003,1715.132,1332118650,10377007100.0
2021-04-21,1704.209,1707.504,1698.36,1701.706,1017969530,7710566100.0
2021-04-22,1702.356,1713.88,1699.285,1711.625,884763990,7090545300.0
2021-04-23,1714.887,1715.198,1688.562,1694.921,968107740,9139947300.0
2021-04-26,1690.056,1700.035,1679.097,1680.962,1003851860,8969673700.0
2021-04-27,1673.271,1679.349,1650.972,1662.583,883523890,6640810600.0
2021-04-28,1656.705,1668.9,1651.434,1661.815,885806770,6759017500.0
2021-04-29,1649.983,1671.703,1645.792,1660.064,923313940,7591719000.0
2021-04-30,1641.772,1654.782,1617.789,1628.244,1008465310,8762541800.0
2021-05-06,1617.406,1626.571,1614.288,1622.567,768938490,6693939800.0
2021-05-07,1612.23,1634.243,1609.034,1630.408,1167520160,7507218700.0
2021-05-10,1629.598,1654.881,1629.598,1646.082,1110467520,7124486500.0
2021-05-11,1643.151,1655.126,1629.426,1653.634,1088713190,7060797300.0
2021-05-12,1646.201,1672.835,1639.964,1672.223,1138248380,8306036300.0
2021-05-13,1659.16,1687.075,1658.68,1673.459,1200653830,8804156700.0
2021-05-14,1678.616,1690.381,1673.351,1686.846,1211394440,8456024700.0
2021-05-17,1670.522,1670.609,1640.928,1642.115,1078813760,8642649800.0
2021-05-18,1635.366,1653.252,1629.987,1651.785,865554110,6630456700.0
2021-05-19,1645.834,1655.423,1639.133,1649.224,845088970,6313508400.0
2021-05-20,1649.464,1653.176,1627.186,1649.694,1157963920,9831725600.0
2021-05-21,1647.004,1660.224,1646.317,1649.304,937928420,8294085700.0
2021-05-24,1648.898,1662.644,1642.208,1662.362,821672140,6946520700.0
2021-05-25,1669.857,1673.213,1662.549,1672.805,969067480,8096150600.0
2021-05-26,1677.484,1689.784,1674.479,1682.321,1006323780,8519132300.0
2021-05-27,1684.96,1709.057,1684.954,1705.79,1044275750,8803377000.0
2021-05-28,1710.335,1718.138,1705.812,1712.485,1146848020,10227222800.0
2021-05-31,1717.09,1730.222,1709.891,1730.222,1170708190,10277263000.0
2021-06-01,1737.149,1753.886,1733.059,1753.886,1424167800,11130767000.0
2021-06-02,1749.793,1750.957,1727.462,1727.59,1265649070,10524575600.0
2021-06-03,1736.537,1755.965,1735.982,1747.964,1536739900,12061499900.0
2021-06-04,1744.161,1757.158,1744.044,1749.603,1478123600,11129155300.0
2021-06-07,1752.038,1779.437,1751.629,1779.334,1470719300,12398519000.0
2021-06-08,1779.681,1796.091,1770.445,1793.844,1688306800,13068712500.0
2021-06-09,1796.095,1810.344,1792.412,1807.184,1530175400,11821529300.0
2021-06-10,1813.373,1821.3,1807.88,1817.303,1827281800,13684412000.0
2021-06-11,1815.631,1818.235,1793.935,1796.132,1767438000,13601683000.0
2021-06-15,1793.267,1793.267,1770.253,1776.097,1489266600,11611373000.0
2021-06-16,1775.762,1786.281,1763.084,1766.696,1404929200,10429930000.0
2021-06-17,1761.617,1777.165,1758.727,1776.599,1359435100,9944586700.0
2021-06-18,1771.17,1795.504,1761.646,1795.378,1312552990,10313122000.0
2021-06-21,1785.172,1810.957,1784.122,1810.957,1351079500,11829966800.0
2021-06-22,1814.118,1817.211,1794.539,1801.077,1296045980,11072744600.0
2021-06-23,1798.819,1813.309,1788.597,1811.866,1237556420,10851929100.0
2021-06-24,1809.513,1809.513,1788.53,1788.581,1210045260,9442100100.0
2021-06-25,1787.445,1792.135,1774.111,1787.679,1022949960,8502063100.0
2021-06-28,1786.054,1788.248,1782.045,1783.656,1029525010,9395301500.0
