日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1484.991,1502.317,1483.397,1500.468,928076840,4221759100.0
2020-01-03,1502.252,1506.165,1494.491,1503.451,711665620,3184917300.0
2020-01-06,1495.868,1510.97,1486.626,1500.258,732996530,3273703100.0
2020-01-07,1502.463,1517.902,1502.325,1517.784,659703720,2841653000.0
2020-01-08,1510.031,1510.082,1483.94,1486.97,654870580,2902030200.0
2020-01-09,1498.53,1507.301,1497.606,1505.183,494044080,2244023100.0
2020-01-10,1507.728,1515.525,1505.181,1511.497,452826860,2473783200.0
2020-01-13,1509.291,1518.983,1495.169,1518.983,753039740,3083625700.0
2020-01-14,1522.076,1537.15,1521.455,1533.822,860678170,3903053600.0
2020-01-15,1532.53,1534.103,1515.439,1522.869,584921050,2762394300.0
2020-01-16,1525.931,1528.006,1510.729,1512.89,656172380,2977489400.0
2020-01-17,1513.146,1514.732,1497.224,1498.69,950318230,4022961100.0
2020-01-20,1495.852,1504.615,1489.283,1504.345,679823370,3104909600.0
2020-01-21,1501.918,1501.918,1474.265,1474.545,508376740,2452627700.0
2020-01-22,1469.247,1478.49,1449.037,1472.827,518827630,2276633100.0
2020-01-23,1459.113,1461.52,1412.466,1420.632,627531670,2789087200.0
2020-02-03,1282.104,1283.054,1281.819,1281.819,197799400,858849320.0
2020-02-04,1186.358,1257.266,1186.358,1252.813,852410940,3363539500.0
2020-02-05,1252.98,1294.257,1252.98,1278.865,666064230,2734144600.0
2020-02-06,1287.583,1313.637,1280.809,1308.556,615889870,2588739500.0
2020-02-07,1310.42,1320.239,1293.664,1320.239,565601410,2515714100.0
2020-02-10,1313.28,1355.522,1311.132,1355.177,775739940,3318067200.0
2020-02-11,1357.125,1362.028,1347.18,1352.047,643944680,2810388500.0
2020-02-12,1347.347,1361.733,1346.935,1361.193,433967610,1942552500.0
2020-02-13,1360.009,1365.165,1340.84,1344.932,518892260,2296720100.0
2020-02-14,1342.235,1349.846,1338.025,1346.902,545222510,2280521400.0
2020-02-17,1348.715,1387.777,1348.715,1387.544,775812020,3384402800.0
2020-02-18,1388.33,1407.442,1386.822,1407.442,792009050,3653207100.0
2020-02-19,1404.739,1419.956,1401.47,1408.846,948815560,4305282600.0
2020-02-20,1413.136,1431.839,1404.572,1431.683,985682910,4446797800.0
2020-02-21,1428.945,1449.496,1428.166,1442.729,988361550,4911984900.0
2020-02-24,1439.621,1457.19,1434.417,1455.688,1130572240,5769294300.0
2020-02-25,1425.32,1434.156,1385.459,1429.589,1054810650,5582076200.0
2020-02-26,1418.136,1477.894,1414.115,1461.633,1316369330,6965185100.0
2020-02-27,1469.128,1485.829,1461.253,1480.776,1189178830,6613881500.0
2020-02-28,1435.329,1461.916,1411.51,1413.073,1267114700,6683155200.0
2020-03-02,1427.083,1499.152,1427.083,1496.26,1265206670,6898814300.0
2020-03-03,1527.06,1533.049,1497.92,1516.349,1621522200,9256433800.0
2020-03-04,1497.228,1551.876,1497.206,1551.876,1308041720,7605817800.0
2020-03-05,1566.625,1582.706,1555.501,1576.915,1288659780,7552287900.0
2020-03-06,1554.645,1566.937,1545.319,1553.872,1060471950,5997583100.0
2020-03-09,1530.767,1539.343,1489.64,1489.64,1081251670,5940785300.0
2020-03-10,1465.814,1516.597,1452.643,1516.597,1077755030,5723201100.0
2020-03-11,1517.05,1522.782,1496.05,1496.756,783662380,4239410600.0
2020-03-12,1477.296,1482.863,1452.633,1464.533,669091340,3458880100.0
2020-03-13,1389.313,1461.052,1387.694,1455.486,1191307710,5937752700.0
2020-03-16,1466.274,1478.848,1418.149,1421.987,1032184080,5665595400.0
2020-03-17,1434.316,1446.195,1369.803,1429.741,922037920,4844046500.0
2020-03-18,1435.041,1468.788,1415.272,1415.461,1005709680,5638292200.0
2020-03-19,1407.292,1426.344,1380.196,1426.344,879495160,4488301900.0
2020-03-20,1437.054,1449.836,1426.569,1448.038,683746320,3854459600.0
2020-03-23,1411.046,1429.132,1388.924,1393.958,696018160,3677354000.0
2020-03-24,1417.351,1421.673,1383.218,1412.595,1011570460,4879666400.0
2020-03-25,1438.319,1439.808,1421.785,1437.993,861436890,4249378900.0
2020-03-26,1433.779,1438.508,1415.767,1417.391,608826590,3047498300.0
2020-03-27,1439.568,1497.182,1439.252,1473.617,885885490,4850967900.0
2020-03-30,1446.388,1481.413,1437.769,1475.273,1047444790,5448559900.0
2020-03-31,1472.705,1491.447,1463.448,1474.721,930961720,4853249300.0
2020-04-01,1460.945,1465.642,1432.84,1433.051,883476550,4616664900.0
2020-04-02,1417.336,1443.575,1408.849,1443.575,708599580,3643718700.0
2020-04-03,1438.675,1439.531,1420.798,1427.403,617654450,3266763200.0
2020-04-07,1443.073,1465.816,1439.318,1464.946,808789830,4052131700.0
2020-04-08,1455.909,1474.944,1445.37,1474.817,702871160,3652694300.0
2020-04-09,1481.122,1499.262,1479.105,1479.995,773710250,4158534500.0
2020-04-10,1472.96,1473.418,1447.592,1453.442,567451170,3109389100.0
2020-04-13,1442.294,1449.181,1428.502,1444.112,364667090,2236261900.0
2020-04-14,1446.746,1459.938,1443.019,1459.938,383350630,2160888300.0
2020-04-15,1458.641,1458.734,1440.333,1446.995,508727320,2774479100.0
2020-04-16,1439.664,1451.448,1437.364,1446.225,482737600,2706724500.0
2020-04-17,1457.177,1481.03,1450.168,1465.359,646321500,3762640500.0
2020-04-20,1475.526,1484.317,1470.984,1479.321,752473490,3900836000.0
2020-04-21,1475.946,1479.694,1459.351,1479.694,567743910,3522846000.0
2020-04-22,1467.184,1476.7,1459.257,1475.269,450867330,2740437400.0
2020-04-23,1476.158,1477.514,1460.037,1461.117,531431090,3031712800.0
2020-04-24,1456.935,1457.998,1424.814,1429.451,461575630,2544134500.0
2020-04-27,1426.186,1431.372,1417.303,1422.361,391971910,2170946500.0
2020-04-28,1422.079,1426.54,1357.004,1383.699,567774860,2849702900.0
2020-04-29,1372.641,1386.173,1366.805,1368.312,326736880,1698439000.0
2020-04-30,1375.218,1392.419,1375.218,1389.858,432014960,2303281200.0
2020-05-06,1379.562,1409.179,1377.089,1408.758,652420300,3342666300.0
2020-05-07,1404.514,1413.971,1401.078,1402.901,444512650,2372631700.0
2020-05-08,1405.923,1417.209,1405.348,1412.5,385968080,2119601100.0
2020-05-11,1414.453,1429.254,1413.602,1421.621,471635210,2626664200.0
2020-05-12,1421.38,1428.635,1412.252,1427.005,712123700,4041573400.0
2020-05-13,1424.711,1433.579,1422.597,1432.302,364979400,2432147200.0
2020-05-14,1430.082,1433.856,1419.314,1420.156,397569700,2285597200.0
2020-05-15,1425.746,1430.365,1418.484,1420.302,381823970,2221455000.0
2020-05-18,1436.738,1438.544,1421.361,1424.609,446966830,2548970000.0
2020-05-19,1431.059,1432.855,1419.722,1427.123,307345120,1773125100.0
2020-05-20,1428.762,1429.961,1412.563,1415.764,421881340,2229735500.0
2020-05-21,1426.103,1426.672,1398.958,1402.246,428870190,2455364500.0
2020-05-22,1398.604,1398.604,1365.249,1370.106,362002450,2025832500.0
2020-05-25,1368.703,1371.596,1359.433,1365.616,228968550,1357220800.0
2020-05-26,1367.125,1390.244,1367.125,1389.64,281852340,1739134700.0
2020-05-27,1392.363,1392.363,1374.023,1375.484,291379040,1613896700.0
2020-05-28,1377.095,1384.759,1357.632,1368.725,361982590,1849229000.0
2020-05-29,1368.042,1376.412,1362.399,1371.408,545540840,2553517400.0
2020-06-01,1375.269,1398.355,1375.269,1398.03,544394100,2684689000.0
2020-06-02,1398.444,1408.012,1395.063,1407.076,492870680,2465851200.0
2020-06-03,1410.07,1416.049,1404.283,1404.996,408206070,2057706600.0
2020-06-04,1410.18,1411.389,1399.747,1405.877,315236000,1653806200.0
2020-06-05,1409.042,1409.042,1393.213,1402.758,314506930,1686117600.0
2020-06-08,1411.471,1419.15,1403.89,1411.579,382045200,2174024000.0
2020-06-09,1415.619,1421.374,1408.697,1421.374,594670830,3038268800.0
2020-06-10,1418.874,1450.532,1415.919,1438.509,601403950,3107040400.0
2020-06-11,1430.046,1444.691,1420.277,1426.551,613173310,3211189800.0
2020-06-12,1404.212,1429.981,1398.281,1429.471,573761440,3261807800.0
2020-06-15,1430.379,1435.075,1414.47,1414.47,657189520,3595330800.0
2020-06-16,1423.847,1433.287,1418.664,1433.006,459148610,2941967400.0
2020-06-17,1433.443,1433.483,1415.404,1424.03,477579300,2677445700.0
2020-06-18,1422.75,1427.143,1415.168,1424.462,827535000,3980207200.0
2020-06-19,1424.358,1432.442,1420.877,1429.913,536121800,2701041800.0
2020-06-22,1431.87,1434.875,1424.722,1427.002,451450540,2584026000.0
2020-06-23,1429.774,1440.287,1427.981,1433.161,381663210,2125702500.0
2020-06-24,1434.764,1437.23,1419.423,1422.974,334629750,1879691800.0
2020-06-29,1431.898,1446.369,1431.822,1435.71,696094750,3576776300.0
2020-06-30,1435.238,1448.302,1435.238,1442.957,422132640,2561586100.0
2020-07-01,1442.807,1442.807,1429.562,1439.379,527566090,2893085800.0
2020-07-02,1439.156,1474.86,1436.559,1471.307,1470861000,6561183000.0
2020-07-03,1485.33,1512.845,1485.176,1512.347,1139364130,5643563800.0
2020-07-06,1537.263,1593.195,1537.106,1591.789,1620109900,8862444500.0
2020-07-07,1614.84,1634.881,1598.262,1631.787,1669717900,9603382700.0
2020-07-08,1624.516,1685.808,1604.5,1681.135,1673941000,10249092100.0
2020-07-09,1669.202,1701.247,1660.476,1698.595,1539778400,9635077700.0
2020-07-10,1704.716,1722.569,1684.494,1718.936,1669358700,10685605900.0
2020-07-13,1787.04,1830.688,1787.04,1824.304,2199546800,13148473000.0
2020-07-14,1833.766,1849.338,1766.005,1804.417,2350031300,17394091000.0
2020-07-15,1797.646,1797.646,1727.6,1730.218,1833746100,12581999400.0
2020-07-16,1714.854,1722.359,1647.603,1653.771,1596702200,10940667600.0
2020-07-17,1642.165,1666.102,1626.535,1642.92,1137127730,7898296900.0
2020-07-20,1660.596,1714.531,1660.596,1714.531,1723686100,10562780100.0
2020-07-21,1712.13,1713.604,1690.624,1699.963,1294339630,8853914300.0
2020-07-22,1700.079,1718.47,1689.102,1709.29,1417851600,10078858600.0
2020-07-23,1692.612,1696.677,1650.334,1688.575,1310309440,9846295500.0
2020-07-24,1681.464,1693.697,1610.398,1613.541,1300554620,9801510500.0
2020-07-27,1616.663,1625.77,1589.441,1612.286,855299760,6199593800.0
2020-07-28,1618.407,1625.755,1608.031,1620.14,902244550,5970078200.0
2020-07-29,1617.661,1650.237,1602.13,1649.897,1018120700,6694250800.0
2020-07-30,1652.39,1665.354,1644.439,1645.805,1240889020,7579510200.0
2020-07-31,1641.801,1660.364,1628.509,1653.69,1203860760,7226339800.0
2020-08-03,1665.088,1700.117,1663.906,1700.117,1396472800,9300778500.0
2020-08-04,1708.301,1708.301,1681.78,1693.939,1339833230,8889372400.0
2020-08-05,1691.677,1698.142,1674.276,1691.92,996167390,7125575600.0
2020-08-06,1692.313,1695.699,1659.317,1680.702,1060651600,7395360700.0
2020-08-07,1677.986,1677.986,1634.41,1657.419,1045937040,7019280700.0
2020-08-10,1658.547,1701.751,1658.186,1699.038,1230379010,9245506000.0
2020-08-11,1700.712,1703.438,1668.23,1670.7,1115568960,8389013600.0
2020-08-12,1664.651,1667.013,1629.233,1664.321,939749170,6714234200.0
2020-08-13,1671.258,1687.003,1671.182,1676.091,882373060,6096474800.0
2020-08-14,1673.956,1693.492,1661.537,1692.772,743502140,5554877700.0
2020-08-17,1698.825,1732.541,1697.622,1732.517,1233103930,8878038200.0
2020-08-18,1738.359,1755.887,1735.11,1755.079,1225099790,8691440400.0
2020-08-19,1760.777,1809.308,1752.449,1784.81,1550487800,11414315400.0
2020-08-20,1772.557,1785.085,1740.165,1747.555,1331061810,10584173900.0
2020-08-21,1747.735,1754.447,1725.764,1738.485,1032713670,7801902600.0
2020-08-24,1736.271,1737.322,1712.817,1727.787,885187970,6411515100.0
2020-08-25,1726.283,1729.516,1708.997,1712.922,914815020,6295877800.0
2020-08-26,1711.942,1715.998,1675.783,1681.412,916226020,6408268600.0
2020-08-27,1680.101,1692.954,1665.905,1691.142,682976980,5055236700.0
2020-08-28,1689.318,1701.875,1677.076,1700.806,799177460,5448537600.0
2020-08-31,1714.196,1732.647,1713.526,1718.394,991661990,6753860300.0
2020-09-01,1727.319,1732.575,1717.408,1727.641,790806180,5633870200.0
2020-09-02,1730.412,1742.566,1719.827,1735.789,992020900,6955308000.0
2020-09-03,1734.551,1741.277,1717.425,1719.488,922153790,6567956800.0
2020-09-04,1688.814,1726.735,1685.009,1724.344,1079317740,6288513800.0
2020-09-07,1726.063,1738.551,1703.295,1708.906,1364506400,7950388500.0
2020-09-08,1707.653,1725.253,1693.597,1725.253,1047948870,6522180500.0
2020-09-09,1705.79,1716.166,1682.551,1684.955,1398807600,8062753700.0
2020-09-10,1693.659,1698.117,1620.483,1621.699,1126490080,6716396400.0
2020-09-11,1616.772,1641.305,1609.946,1639.428,765269250,4507886000.0
2020-09-14,1645.733,1669.091,1644.815,1661.517,728256850,4632403300.0
2020-09-15,1661.273,1661.485,1645.726,1656.831,621618650,3657442600.0
2020-09-16,1654.855,1658.879,1642.546,1652.092,645502190,3798034200.0
2020-09-17,1650.317,1662.131,1636.928,1650.736,551133630,3484424200.0
2020-09-18,1650.327,1675.406,1647.318,1673.856,660462670,4263581200.0
2020-09-21,1675.663,1678.922,1666.176,1669.78,614179720,3900518700.0
2020-09-22,1658.365,1659.998,1633.572,1637.749,517863110,3160492700.0
2020-09-23,1642.848,1647.633,1634.478,1643.365,417955330,2595831600.0
2020-09-24,1634.059,1634.059,1602.774,1603.338,543254130,3262979000.0
2020-09-25,1610.266,1613.541,1587.829,1594.891,439229840,2938151900.0
2020-09-28,1600.675,1603.493,1577.044,1577.546,354387450,2398733400.0
2020-09-29,1584.456,1599.383,1583.255,1586.047,369038170,2410732600.0
2020-09-30,1591.609,1594.085,1573.527,1580.775,352630570,2271635900.0
2020-10-09,1601.581,1626.534,1601.259,1623.621,591113280,3361543300.0
2020-10-12,1632.278,1661.531,1631.143,1661.385,713090710,4303782200.0
2020-10-13,1660.901,1660.901,1649.087,1658.264,492304390,3128914100.0
2020-10-14,1660.77,1660.77,1643.617,1648.715,863205540,4430514600.0
2020-10-15,1651.925,1655.153,1641.094,1648.009,813532740,4583665900.0
2020-10-16,1645.718,1645.809,1628.066,1638.136,595131010,3837699800.0
2020-10-19,1647.26,1653.079,1630.291,1633.2,590410080,3649445000.0
2020-10-20,1635.088,1642.03,1622.772,1642.03,482782870,2950716300.0
2020-10-21,1640.292,1640.607,1613.663,1618.702,401373200,2635056600.0
2020-10-22,1612.992,1622.456,1597.766,1614.877,429134150,2792613700.0
2020-10-23,1617.308,1627.985,1595.632,1597.74,602953560,3720832500.0
2020-10-26,1598.515,1612.324,1591.221,1608.431,452367580,3124544700.0
2020-10-27,1610.351,1616.296,1602.922,1610.446,467040700,3720658900.0
2020-10-28,1611.998,1613.882,1589.222,1610.109,572354710,4557618900.0
2020-10-29,1591.122,1614.895,1588.116,1605.71,685362370,4483191200.0
2020-10-30,1609.982,1609.982,1561.437,1563.824,974692060,6604554400.0
2020-11-02,1568.711,1571.503,1555.112,1563.347,706949390,5106990000.0
2020-11-03,1568.006,1591.816,1564.245,1591.816,691002580,4677016600.0
2020-11-04,1593.04,1593.223,1571.597,1584.412,586767560,4041615700.0
2020-11-05,1595.187,1605.175,1588.968,1603.848,713382150,4615477800.0
2020-11-06,1605.634,1605.634,1585.659,1592.343,892360980,5024493600.0
2020-11-09,1596.691,1618.827,1596.448,1614.316,940096260,5729477200.0
2020-11-10,1619.157,1619.157,1596.145,1602.519,793164790,4810126000.0
2020-11-11,1600.267,1613.136,1598.267,1602.837,836611550,5320207000.0
2020-11-12,1602.909,1606.424,1595.423,1599.897,632270610,3982576900.0
2020-11-13,1599.176,1600.198,1585.047,1598.995,638840950,3919087000.0
2020-11-16,1602.515,1618.243,1602.515,1618.243,825551510,4675361100.0
2020-11-17,1619.576,1619.576,1602.644,1611.748,755438350,4605896200.0
2020-11-18,1613.556,1618.818,1603.54,1617.533,960283080,5393479900.0
2020-11-19,1615.811,1620.136,1608.276,1616.955,1221319280,6037080100.0
2020-11-20,1615.318,1620.769,1610.997,1619.751,890018470,4935700000.0
2020-11-23,1622.718,1631.81,1612.978,1624.648,1112462580,6002130800.0
2020-11-24,1624.463,1632.049,1622.132,1628.038,990907920,5309557500.0
2020-11-25,1631.16,1632.768,1611.649,1611.649,976005260,5727608700.0
2020-11-26,1609.715,1610.159,1595.829,1601.786,696218840,4189295800.0
2020-11-27,1603.388,1603.388,1583.591,1601.97,715085880,4099814700.0
2020-11-30,1603.446,1613.462,1595.524,1596.589,1098593610,6248976200.0
2020-12-01,1593.72,1607.439,1590.923,1607.035,714991530,4348375800.0
2020-12-02,1607.381,1612.246,1602.714,1609.252,792858740,4628053200.0
2020-12-03,1608.686,1609.84,1599.367,1605.469,769448970,4384961000.0
2020-12-04,1604.278,1604.278,1589.905,1597.661,542358960,3212473400.0
2020-12-07,1600.221,1600.412,1588.549,1589.73,579424310,3411840000.0
2020-12-08,1591.502,1597.166,1588.221,1588.599,453326630,2832472600.0
2020-12-09,1589.992,1592.564,1566.746,1566.746,565855790,3673285300.0
2020-12-10,1566.345,1575.346,1562.313,1571.318,522776240,3267273200.0
2020-12-11,1571.815,1573.701,1540.724,1548.756,639842140,3915516400.0
2020-12-14,1549.408,1551.861,1541.482,1549.754,524849180,3204265100.0
2020-12-15,1547.572,1548.768,1540.378,1546.095,425454800,2843269800.0
2020-12-16,1546.446,1548.908,1521.501,1522.52,443278440,3063501400.0
2020-12-17,1516.956,1526.818,1495.77,1526.052,558055900,3439340000.0
2020-12-18,1528.179,1535.59,1518.546,1521.644,499193470,3182180800.0
2020-12-21,1519.211,1531.833,1514.95,1530.548,638741340,3683673500.0
2020-12-22,1524.014,1524.014,1494.092,1497.172,619467550,3676130200.0
2020-12-23,1498.043,1504.737,1492.091,1497.57,542719610,3321450200.0
2020-12-24,1500.11,1500.11,1467.064,1470.409,641415310,3742547400.0
2020-12-25,1466.923,1488.91,1462.72,1485.076,580812670,3438336000.0
2020-12-28,1483.519,1483.7,1464.912,1468.826,596816240,3364906700.0
2020-12-29,1467.911,1478.422,1467.35,1469.376,567358640,3412795000.0
2020-12-30,1467.517,1473.432,1460.918,1466.951,469959130,2664959700.0
2020-12-31,1467.467,1482.185,1465.616,1481.217,520684720,3051054500.0
2021-01-04,1481.302,1494.28,1475.54,1491.03,688595900,3925922600.0
2021-01-05,1490.262,1492.737,1483.598,1492.492,820857680,4586829400.0
2021-01-06,1491.065,1494.617,1478.869,1483.761,923622300,5445821400.0
2021-01-07,1479.733,1479.803,1425.275,1434.667,853509980,4780244700.0
2021-01-08,1429.931,1441.605,1405.341,1436.583,943005900,4684667000.0
2021-01-11,1434.032,1434.537,1394.482,1399.499,789511820,4203145200.0
2021-01-12,1396.183,1417.664,1394.431,1416.245,682264220,4125898000.0
2021-01-13,1423.157,1423.157,1397.771,1407.487,1113248970,6754871400.0
2021-01-14,1404.7,1433.889,1401.074,1426.603,1053554500,6736472300.0
2021-01-15,1423.628,1442.615,1423.628,1440.761,737227260,4498855300.0
2021-01-18,1439.972,1457.121,1438.445,1454.362,726434720,4351407300.0
2021-01-19,1460.946,1472.797,1454.135,1464.654,736699030,4927087300.0
2021-01-20,1462.261,1466.027,1453.614,1465.595,614484370,4239576800.0
2021-01-21,1464.502,1473.734,1459.608,1464.793,704274510,4538968300.0
2021-01-22,1463.453,1466.18,1449.569,1451.622,690900520,4364678900.0
2021-01-25,1445.594,1445.594,1417.893,1421.735,654174290,4025587600.0
2021-01-26,1420.967,1432.046,1415.283,1418.997,599475720,3533308200.0
2021-01-27,1420.787,1428.916,1417.22,1425.465,682105350,3725824700.0
2021-01-28,1416.043,1426.785,1408.7,1410.331,627193880,3761343200.0
2021-01-29,1414.267,1418.441,1384.498,1398.832,656060120,3810149500.0
2021-02-01,1403.181,1416.381,1399.527,1415.665,928999760,4767510400.0
2021-02-02,1418.27,1428.578,1411.06,1419.186,624551320,3773881400.0
2021-02-03,1413.403,1414.893,1391.335,1391.335,727665150,4080057500.0
2021-02-04,1384.21,1384.21,1351.861,1366.903,716763080,3981965100.0
2021-02-05,1368.548,1380.869,1353.583,1354.751,528338640,2997170900.0
2021-02-08,1355.865,1367.125,1351.464,1358.763,455073130,2514430900.0
2021-02-09,1356.636,1376.629,1355.665,1375.077,518574840,2949464700.0
2021-02-10,1374.672,1379.004,1369.338,1378.23,444999510,2595696300.0
2021-02-18,1390.691,1412.664,1390.691,1411.099,695141160,3902356800.0
2021-02-19,1413.073,1455.006,1410.842,1454.786,1097495500,5501543400.0
2021-02-22,1466.547,1501.55,1466.517,1475.188,1113017390,6414277000.0
2021-02-23,1471.879,1480.215,1457.365,1466.655,1278168740,6621872800.0
2021-02-24,1470.464,1483.395,1456.911,1468.696,1049645690,5677139700.0
2021-02-25,1479.154,1480.979,1464.325,1467.432,910322300,5105092900.0
2021-02-26,1452.576,1475.285,1450.037,1468.679,819876180,4585605100.0
2021-03-01,1478.364,1499.793,1478.364,1499.793,914064120,5164300200.0
2021-03-02,1506.414,1510.212,1488.137,1497.918,837707370,5232127400.0
2021-03-03,1496.304,1525.83,1494.169,1525.83,896646970,5376428400.0
2021-03-04,1518.756,1541.454,1516.281,1525.695,979783390,5747030500.0
2021-03-05,1519.063,1539.264,1518.095,1534.44,837353770,4769726000.0
2021-03-08,1542.044,1553.686,1525.565,1526.387,944823710,5258110000.0
2021-03-09,1521.692,1523.637,1472.649,1494.033,1161591950,6310613700.0
2021-03-10,1496.961,1499.718,1468.871,1470.938,908905940,4852409300.0
2021-03-11,1470.357,1502.937,1468.201,1502.645,826178010,4461776700.0
2021-03-12,1502.129,1533.825,1496.759,1524.526,1249890320,6950814900.0
2021-03-15,1522.961,1544.581,1522.278,1542.031,1193466300,6653392800.0
2021-03-16,1540.102,1566.735,1535.731,1566.735,994100580,5844156500.0
2021-03-17,1558.215,1558.215,1545.249,1552.198,818900000,4712947800.0
2021-03-18,1549.972,1558.458,1544.193,1550.314,905247340,5541814700.0
2021-03-19,1540.079,1567.047,1537.197,1552.389,962364030,5884789800.0
2021-03-22,1555.685,1592.071,1555.499,1591.355,1292150720,7710707100.0
2021-03-23,1589.79,1590.064,1560.823,1565.869,980053900,5874598900.0
2021-03-24,1559.193,1575.702,1555.137,1556.92,997082540,5942061300.0
2021-03-25,1548.129,1557.799,1531.349,1534.926,866244090,5033310600.0
2021-03-26,1536.903,1562.207,1536.838,1558.819,874683720,5288844900.0
2021-03-29,1566.257,1569.003,1557.346,1566.221,993689030,5753756800.0
2021-03-30,1563.681,1564.028,1546.038,1556.148,1106052520,6195764000.0
2021-03-31,1548.247,1577.978,1544.937,1574.398,1234222400,7477483600.0
2021-04-01,1568.498,1569.66,1555.423,1562.643,987093820,5921759400.0
2021-04-02,1562.466,1562.466,1548.831,1552.382,775744080,4570738100.0
2021-04-06,1551.077,1561.124,1546.367,1558.598,634292990,3868022000.0
2021-04-07,1556.255,1564.82,1554.66,1564.82,823763620,4638477000.0
2021-04-08,1561.519,1561.519,1542.0,1542.559,792966650,4492569000.0
2021-04-09,1540.578,1547.851,1536.741,1541.942,685864820,3801835700.0
2021-04-12,1542.275,1542.275,1527.133,1529.045,793453780,4461340300.0
2021-04-13,1525.274,1525.665,1506.102,1510.265,710990120,3986359400.0
2021-04-14,1507.03,1530.501,1506.139,1529.465,840733030,4538579600.0
2021-04-15,1520.697,1521.024,1511.187,1518.124,865708490,4339145100.0
2021-04-16,1519.018,1542.254,1517.841,1541.227,604072040,3443798000.0
2021-04-19,1538.764,1554.113,1538.646,1553.039,652024480,3891739900.0
2021-04-20,1555.922,1558.669,1549.732,1549.732,625808810,3752725200.0
2021-04-21,1550.255,1550.255,1535.244,1538.826,658300360,3484192600.0
2021-04-22,1541.052,1553.482,1540.766,1550.318,835052940,4670978300.0
2021-04-23,1553.787,1554.268,1534.497,1540.455,713203070,4514882900.0
2021-04-26,1535.996,1535.996,1520.414,1521.178,612874350,3912786800.0
2021-04-27,1518.666,1519.258,1494.378,1503.554,477260680,3049117300.0
2021-04-28,1501.258,1507.63,1494.509,1503.524,439406990,2705776500.0
2021-04-29,1503.258,1515.611,1498.763,1507.471,539564340,3520753800.0
2021-04-30,1505.568,1505.568,1475.861,1481.982,670878630,3652733600.0
2021-05-06,1479.873,1494.872,1479.094,1491.403,589404750,3069916500.0
2021-05-07,1493.083,1502.764,1490.973,1492.584,806290640,4140669600.0
2021-05-10,1491.427,1492.661,1483.956,1490.967,837044850,4115831800.0
2021-05-11,1487.714,1501.336,1485.83,1501.336,660112920,3452181100.0
2021-05-12,1497.413,1508.049,1489.469,1507.545,662370670,3596711800.0
2021-05-13,1502.65,1512.275,1497.078,1497.77,648530370,3550301100.0
2021-05-14,1501.776,1511.368,1501.737,1511.368,601471160,3467116100.0
2021-05-17,1515.878,1517.302,1500.911,1501.333,627296070,3888168400.0
2021-05-18,1497.561,1498.452,1488.753,1497.122,488644060,3012055600.0
2021-05-19,1498.661,1500.38,1493.551,1499.195,507089340,3161372100.0
2021-05-20,1496.109,1496.109,1485.485,1485.93,610026410,3506591200.0
2021-05-21,1486.558,1497.697,1485.754,1496.946,584279990,3127850700.0
2021-05-24,1506.378,1522.982,1506.339,1518.759,759750180,4290262200.0
2021-05-25,1517.388,1524.826,1511.379,1524.342,684740630,3923196700.0
2021-05-26,1526.329,1536.837,1520.414,1536.837,875045280,4638439700.0
2021-05-27,1539.311,1550.958,1535.328,1550.958,886455310,4683040500.0
2021-05-28,1548.168,1549.007,1532.776,1537.547,694890960,4095043300.0
2021-05-31,1538.016,1554.406,1534.105,1553.227,630020100,4501146200.0
2021-06-01,1552.011,1557.755,1548.932,1557.718,603473740,3910624100.0
2021-06-02,1561.215,1564.285,1554.941,1558.231,743031200,4499462400.0
2021-06-03,1555.842,1562.693,1551.496,1551.92,627252770,3762807900.0
2021-06-04,1549.111,1550.246,1542.699,1545.176,526219800,3276884700.0
2021-06-07,1544.14,1545.818,1539.263,1543.093,522244110,3343760100.0
2021-06-08,1542.369,1547.166,1538.403,1547.166,596321670,3672827700.0
2021-06-09,1544.365,1553.382,1539.014,1553.382,651610120,3624522100.0
2021-06-10,1551.183,1558.369,1547.737,1556.05,650014740,4296956500.0
2021-06-11,1560.039,1566.899,1554.973,1555.923,789841220,5224714600.0
2021-06-15,1558.23,1558.23,1537.459,1537.582,729722430,4476021000.0
2021-06-16,1532.733,1536.64,1521.909,1524.789,566146730,3654355700.0
2021-06-17,1522.326,1528.095,1514.609,1518.604,489996310,2989667000.0
2021-06-18,1520.28,1525.454,1513.937,1525.001,543720820,3144658900.0
2021-06-21,1523.292,1534.187,1521.272,1533.229,553378120,3246251200.0
2021-06-22,1534.122,1553.974,1533.126,1553.53,777148400,4678238400.0
2021-06-23,1551.291,1555.617,1548.317,1552.806,696618800,4679026700.0
2021-06-24,1554.469,1561.775,1545.484,1556.884,679319030,4521065800.0
2021-06-25,1557.743,1559.954,1550.108,1556.428,612464060,4415086900.0
2021-06-28,1558.851,1564.378,1556.302,1560.365,551160370,4028402100.0
2021-06-29,1559.346,1559.87,1543.899,1544.597,666738320,4605382400.0
2021-06-30,1545.174,1545.26,1532.336,1540.354,575896740,3964713800.0
2021-07-01,1542.583,1542.92,1518.65,1518.681,594346350,3861659800.0
2021-07-02,1516.599,1527.115,1513.294,1522.867,593122930,4184451600.0
2021-07-05,1527.553,1545.801,1527.553,1545.747,591103770,4662361500.0
2021-07-06,1547.722,1553.295,1539.022,1550.386,607642070,4503619200.0
