日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,2604.847,2653.137,2599.503,2650.869,1705750200,16087596000.0
2020-01-03,2655.959,2678.41,2646.429,2670.637,1758002600,15017905000.0
2020-01-06,2649.885,2702.972,2640.385,2683.15,1853918700,18797636000.0
2020-01-07,2685.959,2735.299,2685.959,2734.314,1539687300,15164048000.0
2020-01-08,2720.587,2727.654,2672.489,2676.989,3121766700,22696751000.0
2020-01-09,2702.948,2748.342,2702.948,2748.342,2087670900,19026981000.0
2020-01-10,2760.013,2762.638,2728.534,2746.685,1543701900,15103483000.0
2020-01-13,2742.471,2773.663,2721.995,2773.663,1631514800,16330653000.0
2020-01-14,2781.57,2784.164,2766.888,2768.086,1665040400,15735915000.0
2020-01-15,2769.049,2791.948,2751.902,2788.7,1615204800,15237907000.0
2020-01-16,2786.305,2790.312,2754.184,2762.889,1333132440,13881578000.0
2020-01-17,2776.611,2795.996,2757.303,2762.816,1338537090,14815086000.0
2020-01-20,2762.228,2801.935,2746.501,2801.912,1816824100,18637973000.0
2020-01-21,2804.013,2816.863,2786.196,2787.881,1788525900,16672766000.0
2020-01-22,2788.762,2796.333,2733.945,2790.831,1806426800,16789937000.0
2020-01-23,2745.544,2769.261,2654.36,2673.797,2177919600,20176558000.0
2020-02-03,2466.274,2505.683,2461.955,2491.91,922265790,11584940700.0
2020-02-04,2380.609,2558.468,2380.609,2547.69,2907130000,24777042000.0
2020-02-05,2562.534,2652.359,2560.11,2635.179,2420488500,25172889000.0
2020-02-06,2655.675,2790.541,2647.432,2772.958,3145988400,30485276000.0
2020-02-07,2797.889,2826.944,2737.232,2812.761,2627181900,28859505000.0
2020-02-10,2853.492,2856.149,2784.372,2820.369,2348176900,25941985000.0
2020-02-11,2820.895,2822.762,2771.994,2779.92,1824460900,20235484000.0
2020-02-12,2768.774,2863.28,2768.774,2863.249,2019691600,25046238000.0
2020-02-13,2868.303,2880.412,2805.813,2824.132,2112210900,26166303000.0
2020-02-14,2822.631,2850.987,2784.756,2806.557,1804128800,20944099000.0
2020-02-17,2837.319,2920.74,2837.313,2920.74,2602204600,26523033000.0
2020-02-18,2931.325,2990.825,2917.159,2990.825,3124138400,31567243000.0
2020-02-19,2978.087,2979.751,2924.832,2925.473,2415085900,25916725000.0
2020-02-20,2927.616,2976.409,2896.882,2974.864,3298711800,29831965000.0
2020-02-21,2979.026,3056.47,2976.755,3018.441,3503709300,36779007000.0
2020-02-24,3031.709,3132.43,3030.424,3121.006,3532611500,37235236000.0
2020-02-25,3060.239,3155.314,2996.643,3152.564,3870929600,40830769000.0
2020-02-26,3114.132,3127.452,3019.513,3031.427,3490407300,34795890000.0
2020-02-27,3044.666,3109.002,2989.513,3067.96,2560645200,30271459000.0
2020-02-28,2965.614,3007.349,2885.342,2888.434,3434454500,34272247000.0
2020-03-02,2923.52,3034.893,2905.714,3024.03,3009742500,30760039000.0
2020-03-03,3090.458,3174.017,3064.364,3098.941,3349523100,42193796000.0
2020-03-04,3077.784,3113.971,3022.427,3085.49,2526766700,31252480000.0
2020-03-05,3142.555,3158.234,3086.704,3112.995,2376635700,30044186000.0
2020-03-06,3083.471,3133.522,3077.29,3107.447,2339546800,25199011000.0
2020-03-09,3054.508,3099.193,3018.576,3018.88,2698514400,27864879000.0
2020-03-10,2985.319,3117.857,2948.037,3117.548,2890742900,29750761000.0
2020-03-11,3129.959,3161.564,3088.878,3089.51,2591295700,27301651000.0
2020-03-12,3035.521,3073.319,2998.249,3037.358,2701608900,26373854000.0
2020-03-13,2871.659,3044.784,2871.659,3014.268,2814611400,27301914000.0
2020-03-16,3034.897,3048.966,2878.759,2889.023,2897530100,27126685000.0
2020-03-17,2911.757,2931.822,2764.028,2876.969,2406397300,22769011000.0
2020-03-18,2908.157,2944.233,2822.037,2822.704,2156299100,21749836000.0
2020-03-19,2813.057,2872.531,2771.859,2857.21,2296750400,20177715000.0
2020-03-20,2887.868,2909.589,2852.117,2909.364,1943113400,17602909000.0
2020-03-23,2836.955,2901.38,2801.555,2819.449,2305163400,18999629000.0
2020-03-24,2880.888,2886.455,2773.82,2870.896,2173823000,19860345000.0
2020-03-25,2915.527,2937.445,2896.148,2930.93,2168994200,19906048000.0
2020-03-26,2912.658,2950.295,2895.918,2930.082,1863757200,18098711000.0
2020-03-27,2958.269,2960.957,2878.712,2880.719,1600794600,16817342000.0
2020-03-30,2839.29,2839.29,2781.656,2795.544,1940138300,16567101000.0
2020-03-31,2815.09,2818.268,2749.426,2750.941,1453820700,13635519000.0
2020-04-01,2743.72,2780.092,2722.992,2730.33,1867183700,14428461000.0
2020-04-02,2719.864,2820.163,2718.307,2820.163,1686947300,14144085000.0
2020-04-03,2830.851,2851.458,2795.07,2808.59,1650072600,14274141000.0
2020-04-07,2858.118,2913.305,2857.123,2907.924,1928415700,17499488000.0
2020-04-08,2895.858,2937.726,2887.106,2921.328,1626646100,15177852000.0
2020-04-09,2931.192,2987.105,2926.728,2981.206,1590569300,17313567000.0
2020-04-10,2964.171,2964.171,2873.415,2885.26,1607179100,15218057000.0
2020-04-13,2860.18,2860.18,2823.026,2842.006,1056986190,10273553300.0
2020-04-14,2854.9,2901.398,2849.028,2901.398,1268800390,12536045700.0
2020-04-15,2896.996,2919.868,2887.513,2888.582,1453058000,14170696000.0
2020-04-16,2868.227,2946.939,2862.176,2939.129,1395457900,15034001000.0
2020-04-17,2952.63,2966.968,2917.504,2925.597,1830568000,17472386000.0
2020-04-20,2927.68,2965.576,2922.465,2965.576,1475142700,14070033000.0
2020-04-21,2950.673,2966.685,2919.038,2960.923,1371593200,14048934000.0
2020-04-22,2930.263,2956.98,2914.697,2956.98,1176080750,12710673600.0
2020-04-23,2965.071,2973.103,2918.119,2918.119,1216213740,12717620200.0
2020-04-24,2908.495,2913.084,2822.266,2832.951,1364283500,12705514700.0
2020-04-27,2822.156,2846.097,2788.986,2822.014,1150742880,11789418100.0
2020-04-28,2812.367,2812.661,2655.19,2732.517,1819693000,14854428000.0
2020-04-29,2725.136,2757.107,2703.792,2706.547,1149944030,9669508900.0
2020-04-30,2711.241,2783.196,2711.241,2771.192,1723501200,15088691000.0
2020-05-06,2747.715,2835.968,2745.425,2835.968,1540593900,14207803000.0
2020-05-07,2849.572,2856.256,2822.221,2833.27,1313564300,12675530700.0
2020-05-08,2850.223,2878.559,2843.959,2864.653,1556063700,14998886000.0
