日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-01-08,993.034,1020.028,980.994,1011.467,297511300,5654687100.0
2021-01-11,1011.695,1018.407,997.304,999.768,446519460,7676809700.0
2021-01-12,997.301,1005.79,990.851,996.498,357660220,5760879800.0
2021-01-13,1001.27,1008.799,994.039,1002.748,382009230,6302526800.0
2021-01-14,1003.07,1041.016,1002.151,1034.577,452837670,7021132900.0
2021-01-15,1036.051,1062.387,1036.051,1052.088,403878590,6804972600.0
2021-01-18,1052.972,1084.101,1047.664,1079.018,610116790,8332043500.0
2021-01-19,1077.255,1116.502,1069.981,1100.175,774811170,11531936400.0
2021-01-20,1094.501,1094.871,1080.084,1088.652,631229130,7149773400.0
2021-01-21,1085.593,1088.417,1067.496,1068.655,702624160,7489051800.0
2021-01-22,1061.168,1061.204,1035.579,1035.579,556641410,7205403400.0
2021-01-25,1025.157,1026.956,1013.909,1017.495,578879220,6845418000.0
2021-01-26,1014.041,1025.994,1005.576,1006.237,380622690,4876655600.0
2021-01-27,1005.81,1008.237,999.161,1001.321,370459700,4927146100.0
2021-01-28,989.495,997.118,984.24,985.109,346282810,4598527100.0
2021-01-29,985.193,989.194,955.067,961.386,406732780,5443305500.0
2021-02-01,961.73,971.532,958.94,968.762,325263580,4616368100.0
2021-02-02,967.408,977.052,963.929,972.081,312315150,4328826600.0
2021-02-03,971.554,972.23,956.445,956.8,268902200,3401186000.0
2021-02-04,952.102,953.937,927.094,931.423,329393910,4217982000.0
2021-02-05,927.832,950.853,927.742,940.07,412839040,5482366500.0
2021-02-08,939.597,946.16,934.441,934.647,365374280,4806564500.0
2021-02-09,933.615,943.724,928.093,941.459,287298700,3720780600.0
2021-02-10,940.498,949.132,938.287,946.591,232721420,3408180300.0
2021-02-18,954.859,974.849,954.859,970.246,367674420,5470795200.0
2021-02-19,971.924,1000.955,970.919,999.644,347707820,4569834800.0
2021-02-22,1000.628,1027.099,1000.116,1010.665,409312490,5480984000.0
2021-02-23,1011.603,1019.851,1003.618,1006.053,298619850,4461802800.0
2021-02-24,1008.63,1019.929,1004.973,1015.26,373279250,5787647900.0
2021-02-25,1017.338,1080.237,1016.478,1072.869,1089970080,18658065000.0
2021-02-26,1051.814,1059.945,1042.118,1042.129,834374610,14125629000.0
2021-03-01,1037.697,1052.388,1033.168,1049.654,506126130,8275913300.0
2021-03-02,1048.167,1057.271,1029.814,1031.738,468030520,7810972800.0
2021-03-03,1028.933,1039.923,1023.801,1039.7,374099950,6522652900.0
2021-03-04,1035.434,1043.837,1026.865,1029.666,391365000,7230972900.0
2021-03-05,1025.199,1032.423,1018.207,1031.035,423218310,7112099800.0
2021-03-08,1034.478,1044.815,1022.993,1023.55,342136410,4922180100.0
2021-03-09,1026.89,1032.947,1000.899,1015.407,392877700,5775983900.0
2021-03-10,1017.414,1018.918,994.872,996.469,328690540,5019884800.0
2021-03-11,994.79,1014.348,994.176,1010.409,275621350,4258766000.0
2021-03-12,1010.193,1034.014,1001.656,1022.55,332320460,5278578500.0
2021-03-15,1021.465,1033.505,1019.732,1025.433,286261000,4168199600.0
2021-03-16,1027.69,1061.864,1024.958,1060.356,475375840,7671132100.0
2021-03-17,1061.734,1085.694,1061.734,1077.171,381152450,5367079600.0
2021-03-18,1076.784,1078.59,1065.689,1069.411,331776350,4642591600.0
2021-03-19,1059.303,1062.31,1046.655,1052.597,344566670,5915471400.0
2021-03-22,1049.08,1065.326,1047.676,1065.326,240417870,3605363900.0
2021-03-23,1063.769,1063.814,1040.417,1042.756,241706890,3416605700.0
2021-03-24,1038.452,1042.909,1028.573,1031.876,240516630,3691828900.0
2021-03-25,1029.197,1035.236,1025.574,1028.495,183424860,2554720800.0
2021-03-26,1030.119,1039.319,1027.756,1037.627,196009720,2848321800.0
2021-03-29,1035.142,1052.739,1031.026,1052.688,233250590,3619913200.0
2021-03-30,1048.199,1048.43,1039.125,1044.736,220102870,3322895600.0
2021-03-31,1044.825,1050.468,1036.058,1048.312,309489340,5450386000.0
2021-04-01,1045.948,1052.833,1041.837,1052.683,201889230,3090744100.0
2021-04-02,1052.538,1052.889,1046.333,1049.11,198414520,2614792400.0
2021-04-06,1048.961,1055.411,1044.0,1054.633,190836480,2991241300.0
2021-04-07,1054.354,1070.449,1051.257,1070.449,221766910,3165576200.0
2021-04-08,1066.949,1067.548,1058.018,1058.978,228764630,3507970900.0
2021-04-09,1057.002,1059.468,1050.314,1051.52,208008590,3098924100.0
2021-04-12,1054.856,1056.977,1047.367,1049.381,268459830,3864265600.0
2021-04-13,1048.168,1051.001,1038.672,1041.02,223249110,3399448100.0
2021-04-14,1037.977,1050.956,1037.763,1049.378,196948120,3051513800.0
2021-04-15,1048.296,1052.362,1046.763,1051.305,194826950,2781251100.0
2021-04-16,1051.164,1070.175,1048.724,1069.36,243194340,2839984400.0
2021-04-19,1067.81,1073.473,1064.912,1072.479,240337650,3423970800.0
2021-04-20,1071.095,1076.238,1067.453,1067.964,264557240,3787547800.0
2021-04-21,1064.821,1078.449,1060.135,1070.9,227397690,3371199900.0
2021-04-22,1072.018,1076.982,1067.003,1069.583,213017070,3158392500.0
2021-04-23,1066.71,1066.84,1047.97,1051.475,337818690,5685291700.0
2021-04-26,1053.377,1056.696,1045.219,1045.994,234240030,3984028500.0
2021-04-27,1045.261,1045.261,1034.095,1040.392,193042070,2842081300.0
2021-04-28,1040.825,1043.41,1037.878,1041.602,166481990,2520878300.0
2021-04-29,1041.178,1046.599,1036.909,1043.134,186635640,2949674200.0
2021-04-30,1041.288,1041.288,1018.997,1024.387,297997620,4369416200.0
2021-05-06,1025.931,1030.611,1022.41,1024.607,193063050,2845547900.0
2021-05-07,1020.123,1025.185,1017.324,1022.38,187084800,2739108100.0
2021-05-10,1022.204,1022.204,1008.073,1012.375,209418070,3155993000.0
2021-05-11,1009.032,1019.725,1003.787,1019.725,171802460,2149563700.0
2021-05-12,1016.254,1017.391,1010.21,1017.327,250397940,3864794400.0
2021-05-13,1012.127,1026.411,1012.127,1019.724,213109680,2878965300.0
2021-05-14,1018.286,1031.958,1016.574,1030.306,241835480,3349618600.0
2021-05-17,1028.314,1028.491,1018.738,1020.755,221199250,3052210300.0
2021-05-18,1020.697,1028.36,1016.356,1027.197,177054090,2489000400.0
2021-05-19,1027.43,1027.43,1017.868,1020.015,193906290,2801862400.0
2021-05-20,1016.893,1017.955,1009.886,1010.78,174309350,2442543800.0
2021-05-21,1012.268,1012.935,1004.034,1005.597,195551770,2703006700.0
2021-05-24,1003.805,1011.739,1003.006,1008.997,220815880,3323742100.0
2021-05-25,1007.801,1017.487,1004.203,1017.171,231114480,3506902800.0
2021-05-26,1017.379,1034.09,1016.249,1032.665,327829060,4799811700.0
2021-05-27,1030.455,1038.096,1028.249,1036.22,229165900,3302747000.0
2021-05-28,1035.67,1041.049,1027.477,1029.292,271094800,3466969700.0
2021-05-31,1030.054,1030.054,1023.852,1027.286,229638890,2985562900.0
2021-06-01,1027.388,1038.41,1023.189,1037.842,233252820,3238903900.0
