序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,37001291,6985834267.5,7180164608.0,0.5296617150306702,982377359,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,154136372,7261392032.62,7261401982.559999,2.122683525085449,177310422,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,90734208,17565482880.0,17565482880.0,0.5165483355522156,619978608,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,35039540,15047726288.56,16337682853.119999,0.23285603523254395,2075351187,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1516204576,14829119398.140001,14829119418.080002,10.227775573730469,408281908,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,84680365,9085613562.88,9085613562.88,0.9320269227027893,889290034,092502,092502,0,2/2,1,电子化学
7,002995,天地在线,10.019742965698242,22.29,312506304,2505779566.3199997,3955460359.2,12.543679237365723,58230396,093009,093009,0,2/2,2,文化传媒
8,600391,航发科技,9.995241165161133,46.22,709114544,15258579342.74,15258579019.199999,4.649756908416748,183936048,093019,093019,0,2/2,2,航天航空
9,601616,广电电气,9.920635223388672,5.54,390835104,4729361267.26,4729361228.4800005,8.36349105834961,211707776,093040,093040,0,3/3,3,电网设备
10,002969,嘉美包装,10.0,18.92,444962688,19234380925.760002,19350393673.600002,2.315894365310669,164253980,093048,093048,0,23/16,2,包装材料
11,002201,九鼎新材,10.023677825927734,13.94,2479762336,8392206474.799999,9083809185.6,30.130598068237305,101477442,093115,133100,5,5/3,2,玻璃玻纤
12,601677,明泰铝业,9.986772537231445,16.63,816807776,20255450207.01,20679798000.16,4.070765018463135,257855916,093308,093308,0,1/1,1,有色金属
13,600187,国中水务,9.960159301757812,2.76,213323966,4454035844.28,4454035847.04,4.834786415100098,66388212,093414,093605,1,1/1,1,公用事业
14,603926,铁流股份,10.004953384399414,22.21,307385168,5126925550.31,5213055930.31,6.144659996032715,63533526,093426,093950,2,2/2,2,汽车零部
15,688380,中微半导,19.99419593811035,41.35,754832064,6990837750.0,16555093080.800001,11.101282119750977,442976678,093451,093551,1,1/1,1,半导体
16,002546,新联电子,10.011000633239746,10.0,1902867456,8012320960.0,8340491040.0,24.1874942779541,46140990,093527,110406,2,4/3,2,电网设备
17,603421,鼎信通讯,10.0,7.92,278149568,5165348847.12,5165348855.04,5.454995632171631,72938099,093603,093821,1,1/1,1,通信服务
18,003039,顺控发展,9.982383728027344,18.73,226414401,11566125812.9,11566125925.28,1.9953054189682007,237934682,093651,093651,0,1/1,1,公用事业
19,003035,南网能源,9.9609375,5.63,493806592,21325757570.81,21325757553.92,2.359140396118164,246700012,093733,093733,0,1/1,1,专业服务
20,002208,合肥城建,10.034602165222168,15.9,1131838128,12769041689.7,12772341019.2,9.075453758239746,204465048,094115,102657,2,3/2,1,房地产开
21,600955,维远股份,9.9893159866333,20.59,445266256,11324500000.0,11324500000.0,4.023341178894043,67570203,094134,094325,2,1/1,1,化学原料
22,600649,城投控股,10.107526779174805,5.12,445087280,12823043932.16,12823043932.16,3.53176212310791,159891450,094216,095158,1,1/1,1,房地产开
23,603320,迪贝电气,9.990530014038086,23.23,178740336,3464666295.69,3464666295.69,5.243548393249512,132869978,094628,094628,0,4/2,1,电机
24,002291,遥望科技,10.014727592468262,7.47,526304560,6492365766.9,6988523839.2,8.355039596557617,365135841,094906,094906,0,1/1,1,互联网服
25,603916,苏博特,10.046082496643066,11.94,234768851,5018684953.62,5089966789.44,4.819338321685791,173915389,095210,095210,0,1/1,1,化学制品
26,603616,韩建河山,10.070671081542969,6.23,200113955,2394145390.0,2437911140.0,8.58376407623291,93904123,095254,095254,0,1/1,1,水泥建材
27,605089,味知香,10.003650665283203,30.13,147570408,4157940000.0,4157940000.0,3.617918014526367,126834193,095353,095353,0,1/1,1,食品饮料
28,000048,京基智农,10.006540298461914,16.82,282731008,8853367631.0,8919347545.92,3.280498504638672,323918264,095606,095606,0,1/1,1,农牧饲渔
29,600774,汉商集团,10.018903732299805,11.64,459106976,3431962404.84,3434177136.0,14.01643180847168,124766366,095722,095919,1,2/2,2,化学制药
30,002810,山东赫达,10.0,17.49,321447440,5644195556.339999,6095308934.879999,5.8732147216796875,246887895,100527,100527,0,1/1,1,化学制品
31,002165,红 宝 丽,9.96216869354248,8.72,703384704,6344929205.120001,6411553004.8,11.43012809753418,533376240,100833,100833,0,1/1,1,化学制品
32,605366,宏柏新材,10.077519416809082,7.1,312157808,4616126975.9,4616127025.599999,6.9447922706604,101707180,100905,100905,0,1/1,1,化学制品
33,002809,红墙股份,10.0,12.1,165211641,1683333608.0,2560510197.2999997,10.069820404052734,133854314,101157,101157,0,1/1,1,化学制品
34,600610,中毅达,9.961315155029297,11.37,882142656,8058222635.849999,12180392292.96,11.261255264282227,138822162,101352,101519,1,1/1,1,化学原料
35,600230,沧州大化,10.0,18.15,558051184,7513392422.249999,7513392295.2,7.640792369842529,80497428,101418,101418,0,2/2,2,化学制品
36,300927,江天化学,19.992082595825195,30.31,541715920,4270343468.2999997,4375551600.0,13.33329963684082,140086758,101430,101430,0,1/1,1,化学原料
37,600403,大有能源,10.044978141784668,7.34,529108448,17548563030.68,17548563016.0,3.1425766944885254,201374243,101859,101859,0,1/1,1,煤炭行业
38,002181,粤 传 媒,10.029498100280762,11.19,1085666704,12695280825.39,12992240989.439999,8.861015319824219,397373707,103339,103339,0,8/4,1,文化传媒
39,300242,佳云科技,19.92481231689453,6.38,729072800,4048460121.64,4048462380.16,18.937070846557617,376756187,103551,103551,0,1/1,1,文化传媒
40,600539,狮头股份,10.009532928466797,11.54,184741632,2654200000.0,2654200000.0,7.15351676940918,153373039,103641,103641,0,1/1,1,环保行业
41,600838,上海九百,10.007819175720215,14.07,794103840,5640409472.67,5640409514.88,14.742779731750488,215304683,104834,104834,0,1/1,1,商业百货
42,000031,大悦城,10.169490814208984,3.25,201752127,13930490278.25,13930518368.0,1.4967161417007446,86903934,105839,110045,2,1/1,1,房地产开
43,000523,红棉股份,10.129870414733887,4.24,475867984,5618679052.96,7782386287.360001,8.796478271484375,120491836,110427,110654,1,1/1,1,食品饮料
44,600675,中华企业,10.144927024841309,3.04,513817856,18380251406.24,18380251299.84,2.8880233764648438,56309974,130011,131402,1,1/1,1,房地产开
45,000417,合百集团,10.035842895507812,9.21,838164944,7174842823.710001,7182733555.68,12.143508911132812,309058864,130303,130303,0,1/1,1,商业百货
46,603216,梦天家居,10.00400161743164,54.98,443309280,12243496200.0,12243496200.0,3.738858938217163,53583398,130453,133241,1,3/2,1,装修装饰
47,002716,湖南白银,10.026619911193848,12.4,5333326336,28828192452.0,35006299136.0,19.45688247680664,261517091,131842,131842,0,1/1,1,贵金属
48,002637,赞宇科技,9.981851577758789,12.12,450652544,5365804578.0,5701260216.96,8.613448143005371,289300000,132248,132248,0,1/1,1,化学制品
49,000506,招金黄金,10.01878547668457,17.57,1353683968,16315227222.77,16322842043.2,8.698555946350098,4020016,132639,133930,2,2/2,2,贵金属
50,002584,西陇科学,10.0217866897583,10.1,1133518080,4731107922.7,5910685801.599999,24.90838050842285,625613594,134630,134630,0,1/1,1,电子化学
51,000949,新乡化纤,10.029498100280762,7.46,1037601904,12680916531.98,12684461203.2,8.527408599853516,166813164,134936,134936,0,2/2,2,化纤行业
52,601179,中国西电,10.027854919433594,15.8,9181954304,80988941161.6,80988941414.40001,11.652283668518066,1236858033,135059,135059,0,2/2,2,电网设备
53,920471,美邦科技,29.940563201904297,17.49,209092241,927505316.43,1455167999.9999998,24.67504119873047,65246689,135059,135059,0,1/1,1,化学原料
