序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,37093091,6985834267.5,7180164608.0,0.5309758186340332,965771759,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,154635431,7261392032.62,7261401982.559999,2.129556179046631,175464919,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,91501392,17565482880.0,17565482880.0,0.5209158658981323,614694912,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,35390959,15047726288.56,16337682853.119999,0.23519140481948853,2052501475,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1520435840,14829119398.140001,14829119418.080002,10.256309509277344,388311998,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,84906541,9085613562.88,9085613562.88,0.9345163106918335,879062638,092502,092502,0,2/2,1,电子化学
7,600391,航发科技,9.995241165161133,46.22,714073952,15258579342.74,15258579019.199999,4.6822590827941895,180594342,093019,093019,0,2/2,2,航天航空
8,601616,广电电气,9.920635223388672,5.54,391809040,4729361267.26,4729361228.4800005,8.384084701538086,210575954,093040,093040,0,3/3,3,电网设备
9,002969,嘉美包装,10.0,18.92,446118688,19234380925.760002,19350393673.600002,2.3219046592712402,162080072,093048,093048,0,23/16,2,包装材料
10,002201,九鼎新材,10.023677825927734,13.94,2510093424,8392206474.799999,9083809185.6,30.492019653320312,31181758,093115,133100,5,5/3,2,玻璃玻纤
11,601677,明泰铝业,9.986772537231445,16.63,819215792,20255450207.01,20679798000.16,4.082653045654297,236817303,093308,093308,0,1/1,1,有色金属
12,600187,国中水务,9.960159301757812,2.76,215265350,4454035844.28,4454035847.04,4.878373622894287,62512896,093414,093605,1,1/1,1,公用事业
13,603926,铁流股份,10.004953384399414,22.21,308195840,5126925550.31,5213055930.31,6.1604719161987305,62696209,093426,093950,2,2/2,2,汽车零部
14,688380,中微半导,19.99419593811035,41.35,758035936,6990837750.0,16555093080.800001,11.147111892700195,415754071,093451,093551,1,1/1,1,半导体
15,002546,新联电子,10.011000633239746,10.0,1904524448,8012320960.0,8340491040.0,24.208175659179688,46377990,093527,110406,2,4/3,2,电网设备
16,603421,鼎信通讯,10.0,7.92,279001760,5165348847.12,5165348855.04,5.471494197845459,72066899,093603,093821,1,1/1,1,通信服务
17,003039,顺控发展,9.982383728027344,18.73,227084935,11566125812.9,11566125925.28,2.001102924346924,230474523,093651,093651,0,1/1,1,公用事业
18,003035,南网能源,9.9609375,5.63,496435552,21325757570.81,21325757553.92,2.3714680671691895,215943564,093733,093733,0,1/1,1,专业服务
19,002208,合肥城建,10.034602165222168,15.9,1134353520,12769041689.7,12772341019.2,9.095152854919434,200321508,094115,102657,2,3/2,1,房地产开
20,600955,维远股份,9.9893159866333,20.59,448330048,11324500000.0,11324500000.0,4.050395488739014,69394477,094134,094325,2,1/1,1,化学原料
21,600649,城投控股,10.107526779174805,5.12,446145760,12823043932.16,12823043932.16,3.5400166511535645,158030161,094216,095158,1,1/1,1,房地产开
22,603320,迪贝电气,9.990530014038086,23.23,178892724,3464666295.69,3464666295.69,5.247946739196777,132083410,094628,094628,0,4/2,1,电机
23,002291,遥望科技,10.014727592468262,7.47,527871760,6492365766.9,6988523839.2,8.379179000854492,361980513,094906,094906,0,1/1,1,互联网服
24,603916,苏博特,10.046082496643066,11.94,236260157,5018684953.62,5089966789.44,4.849053382873535,171146503,095210,095210,0,1/1,1,化学制品
25,603616,韩建河山,10.070671081542969,6.23,200709543,2394145390.0,2437911140.0,8.608641624450684,93132226,095254,095254,0,1/1,1,水泥建材
26,605089,味知香,10.003650665283203,30.13,147965232,4157940000.0,4157940000.0,3.627413749694824,124107307,095353,095353,0,1/1,1,食品饮料
27,000048,京基智农,10.006540298461914,16.82,283459312,8853367631.0,8919347545.92,3.288724899291992,320254868,095606,095606,0,1/1,1,农牧饲渔
28,600774,汉商集团,10.018903732299805,11.64,460933296,3431962404.84,3434177136.0,14.069646835327148,119702966,095722,095919,1,2/2,2,化学制药
29,002810,山东赫达,10.0,17.49,321757008,5644195556.339999,6095308934.879999,5.878699779510498,246531099,100527,100527,0,1/1,1,化学制品
30,002165,红 宝 丽,9.96216869354248,8.72,705825424,6344929205.120001,6411553004.8,11.468595504760742,491800152,100833,100833,0,1/1,1,化学制品
31,605366,宏柏新材,10.077519416809082,7.1,312899200,4616126975.9,4616127025.599999,6.960853099822998,97808428,100905,100905,0,1/1,1,化学制品
32,002809,红墙股份,10.0,12.1,165475421,1683333608.0,2560510197.2999997,10.085490226745605,132766524,101157,101157,0,1/1,1,化学制品
33,600610,中毅达,9.961315155029297,11.37,885218240,8058222635.849999,12180392292.96,11.299422264099121,129034866,101352,101519,1,1/1,1,化学原料
34,600230,沧州大化,10.0,18.15,558546688,7513392422.249999,7513392295.2,7.6473870277404785,78050808,101418,101418,0,2/2,2,化学制品
35,300927,江天化学,19.992082595825195,30.31,545844144,4270343468.2999997,4375551600.0,13.429971694946289,126107786,101430,101430,0,1/1,1,化学原料
36,600403,大有能源,10.044978141784668,7.34,530213120,17548563030.68,17548563016.0,3.148871660232544,198165929,101859,101859,0,1/1,1,煤炭行业
37,002181,粤 传 媒,10.029498100280762,11.19,1087821232,12695280825.39,12992240989.439999,8.877985954284668,387295545,103339,103339,0,8/4,1,文化传媒
38,300242,佳云科技,19.92481231689453,6.38,732638592,4048460121.64,4048462380.16,19.025148391723633,340159869,103551,103551,0,1/1,1,文化传媒
