序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,36407141,6985834267.5,7180164608.0,0.5211566686630249,998646359,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,151492679,7261392032.62,7261401982.559999,2.086276054382324,175951490,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,89454336,17565482880.0,17565482880.0,0.5092620253562927,640811904,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,33129914,15047726288.56,16337682853.119999,0.22016558051109314,2173377647,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1507172752,14829119398.140001,14829119418.080002,10.1668701171875,443325461,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,83596134,9085613562.88,9085613562.88,0.9200934171676636,912883490,092502,092502,0,2/2,1,电子化学
7,002995,天地在线,10.019742965698242,22.29,309383488,2505779566.3199997,3955460359.2,12.41905403137207,63110033,093009,093009,0,2/2,2,文化传媒
8,600391,航发科技,9.995241165161133,46.22,699098672,15258579342.74,15258579019.199999,4.584115982055664,189477826,093019,093019,0,2/2,2,航天航空
9,601616,广电电气,9.920635223388672,5.54,387471216,4729361267.26,4729361228.4800005,8.292363166809082,220548508,093040,093040,0,3/3,3,电网设备
10,002969,嘉美包装,10.0,18.92,441362208,19234380925.760002,19350393673.600002,2.297175407409668,172026316,093048,093048,0,23/16,2,包装材料
11,002201,九鼎新材,10.023677825927734,13.94,2227902176,8392206474.799999,9083809185.6,27.125225067138672,150734237,093115,103054,2,5/3,2,玻璃玻纤
12,601677,明泰铝业,9.986772537231445,16.63,812016672,20255450207.01,20679798000.16,4.047111511230469,280783697,093308,093308,0,1/1,1,有色金属
13,600187,国中水务,9.960159301757812,2.76,211011086,4454035844.28,4454035847.04,4.782858848571777,69768108,093414,093605,1,1/1,1,公用事业
14,603926,铁流股份,10.004953384399414,22.21,304817296,5126925550.31,5213055930.31,6.094573974609375,56548881,093426,093950,2,2/2,2,汽车零部
15,688380,中微半导,19.99419593811035,41.35,747627936,6990837750.0,16555093080.800001,10.998231887817383,492218822,093451,093551,1,1/1,1,半导体
16,002546,新联电子,10.011000633239746,10.0,1891720448,8012320960.0,8340491040.0,24.048372268676758,69931000,093527,110406,2,4/3,2,电网设备
17,603421,鼎信通讯,10.0,7.92,276270160,5165348847.12,5165348855.04,5.418610572814941,80159555,093603,093821,1,1/1,1,通信服务
18,003039,顺控发展,9.982383728027344,18.73,223769725,11566125812.9,11566125925.28,1.9724397659301758,250845271,093651,093651,0,1/1,1,公用事业
19,003035,南网能源,9.9609375,5.63,482511680,21325757570.81,21325757553.92,2.3061766624450684,266818254,093733,093733,0,1/1,1,专业服务
20,002208,合肥城建,10.034602165222168,15.9,1124266560,12769041689.7,12772341019.2,9.016157150268555,219487368,094115,102657,2,3/2,1,房地产开
21,600955,维远股份,9.9893159866333,20.59,442781040,11324500000.0,11324500000.0,4.0013957023620605,72295608,094134,094325,2,1/1,1,化学原料
22,600649,城投控股,10.107526779174805,5.12,442061008,12823043932.16,12823043932.16,3.508161783218384,170694492,094216,095158,1,1/1,1,房地产开
23,603320,迪贝电气,9.990530014038086,23.23,178140305,3464666295.69,3464666295.69,5.226229667663574,132545455,094628,094628,0,4/2,1,电机
24,002291,遥望科技,10.014727592468262,7.47,521780720,6492365766.9,6988523839.2,8.285360336303711,395638839,094906,094906,0,1/1,1,互联网服
25,603916,苏博特,10.046082496643066,11.94,231330131,5018684953.62,5089966789.44,4.750820159912109,176412043,095210,095210,0,1/1,1,化学制品
26,603616,韩建河山,10.070671081542969,6.23,197351573,2394145390.0,2437911140.0,8.4683837890625,100248755,095254,095254,0,1/1,1,水泥建材
27,605089,味知香,10.003650665283203,30.13,147196796,4157940000.0,4157940000.0,3.6089324951171875,126831180,095353,095353,0,1/1,1,食品饮料
28,000048,京基智农,10.006540298461914,16.82,280889216,8853367631.0,8919347545.92,3.259695291519165,334316388,095606,095606,0,1/1,1,农牧饲渔
29,600774,汉商集团,10.018903732299805,11.64,454563888,3431962404.84,3434177136.0,13.884056091308594,130991438,095722,095919,1,2/2,2,化学制药
30,002810,山东赫达,10.0,17.49,320446976,5644195556.339999,6095308934.879999,5.855489253997803,254615012,100527,100527,0,1/1,1,化学制品
31,002165,红 宝 丽,9.96216869354248,8.72,696502000,6344929205.120001,6411553004.8,11.32165241241455,607253824,100833,100833,0,1/1,1,化学制品
32,605366,宏柏新材,10.077519416809082,7.1,309778384,4616126975.9,4616127025.599999,6.893246173858643,110728653,100905,100905,0,1/1,1,化学制品
33,002809,红墙股份,10.0,12.1,163040901,1683333608.0,2560510197.2999997,9.940865516662598,141121574,101157,101157,0,1/1,1,化学制品
34,600610,中毅达,9.961315155029297,11.37,874282576,8058222635.849999,12180392292.96,11.163713455200195,150294492,101352,101519,1,1/1,1,化学原料
35,600230,沧州大化,10.0,18.15,554018624,7513392422.249999,7513392295.2,7.587120532989502,85987440,101418,101418,0,2/2,2,化学制品
36,300927,江天化学,19.992082595825195,30.31,538609152,4270343468.2999997,4375551600.0,13.260546684265137,159779165,101430,101430,0,1/1,1,化学原料
37,600403,大有能源,10.044978141784668,7.34,525356240,17548563030.68,17548563016.0,3.121194839477539,209195013,101859,101859,0,1/1,1,煤炭行业
