序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,38050191,6985834267.5,7180164608.0,0.5446764230728149,873783909,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,155993590,7261392032.62,7261401982.559999,2.1482601165771484,180967064,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,93420196,17565482880.0,17565482880.0,0.5318396091461182,567989035,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,36848974,15047726288.56,16337682853.119999,0.24488067626953125,1967069273,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1684016304,14829119398.140001,14829119418.080002,11.35941219329834,222409523,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,85870192,9085613562.88,9085613562.88,0.9451226592063904,822370163,092502,092502,0,2/2,1,电子化学
7,600391,航发科技,9.995241165161133,46.22,728901328,15258579342.74,15258579019.199999,4.779433250427246,165138374,093019,093019,0,2/2,2,航天航空
8,601616,广电电气,9.920635223388672,5.54,395605040,4729361267.26,4729361228.4800005,8.464348793029785,202851532,093040,093040,0,3/3,3,电网设备
9,002969,嘉美包装,10.0,18.92,450342608,19234380925.760002,19350393673.600002,2.343864679336548,158153207,093048,093048,0,23/16,2,包装材料
10,002201,九鼎新材,10.023677825927734,13.94,2640711904,8392206474.799999,9083809185.6,32.04877853393555,66508297,093115,141818,7,5/3,2,玻璃玻纤
11,601677,明泰铝业,9.986772537231445,16.63,828678592,20255450207.01,20679798000.16,4.12937068939209,222533463,093308,093308,0,1/1,1,有色金属
12,600187,国中水务,9.960159301757812,2.76,216931010,4454035844.28,4454035847.04,4.915770053863525,60640236,093414,093605,1,1/1,1,公用事业
13,603926,铁流股份,10.004953384399414,22.21,311147680,5126925550.31,5213055930.31,6.218047142028809,52945885,093426,093950,2,2/2,2,汽车零部
14,688380,中微半导,19.99419593811035,41.35,772000080,6990837750.0,16555093080.800001,11.346860885620117,361749523,093451,093551,1,1/1,1,半导体
15,002546,新联电子,10.011000633239746,10.0,1913373456,8012320960.0,8340491040.0,24.318618774414062,38301990,093527,110406,2,4/3,2,电网设备
16,603421,鼎信通讯,10.0,7.92,284441216,5165348847.12,5165348855.04,5.57680082321167,63481619,093603,093821,1,1/1,1,通信服务
17,003039,顺控发展,9.982383728027344,18.73,228735048,11566125812.9,11566125925.28,2.0153696537017822,206713645,093651,093651,0,1/1,1,公用事业
18,003035,南网能源,9.9609375,5.63,509012656,21325757570.81,21325757553.92,2.4304442405700684,189859532,093733,093733,0,1/1,1,专业服务
19,002208,合肥城建,10.034602165222168,15.9,1142778288,12769041689.7,12772341019.2,9.161130905151367,170703624,094115,102657,2,3/2,1,房地产开
20,600955,维远股份,9.9893159866333,20.59,454117904,11324500000.0,11324500000.0,4.101504802703857,59781006,094134,094325,2,1/1,1,化学原料
21,600649,城投控股,10.107526779174805,5.12,448924384,12823043932.16,12823043932.16,3.561685562133789,138383687,094216,095158,1,1/1,1,房地产开
22,603320,迪贝电气,9.990530014038086,23.23,179903229,3464666295.69,3464666295.69,5.2771124839782715,130859189,094628,094628,0,4/2,1,电机
23,002291,遥望科技,10.014727592468262,7.47,536950800,6492365766.9,6988523839.2,8.519020080566406,319402260,094906,094906,0,1/1,1,互联网服
24,603916,苏博特,10.046082496643066,11.94,239401571,5018684953.62,5089966789.44,4.911647796630859,149230633,095210,095210,0,1/1,1,化学制品
25,603616,韩建河山,10.070671081542969,6.23,205317874,2394145390.0,2437911140.0,8.801124572753906,86179546,095254,095254,0,1/1,1,水泥建材
26,605089,味知香,10.003650665283203,30.13,152355414,4157940000.0,4157940000.0,3.732999324798584,117918364,095353,095353,0,1/1,1,食品饮料
27,000048,京基智农,10.006540298461914,16.82,284216208,8853367631.0,8919347545.92,3.297274112701416,319080832,095606,095606,0,1/1,1,农牧饲渔
28,600774,汉商集团,10.018903732299805,11.64,484930736,3431962404.84,3434177136.0,14.768880844116211,84960360,095722,095919,1,2/2,2,化学制药
29,002810,山东赫达,10.0,17.49,326743408,5644195556.339999,6095308934.879999,5.967045307159424,237814083,100527,100527,0,1/1,1,化学制品
30,002165,红 宝 丽,9.96216869354248,8.72,714259408,6344929205.120001,6411553004.8,11.601519584655762,431110696,100833,100833,0,1/1,1,化学制品
31,605366,宏柏新材,10.077519416809082,7.1,314521408,4616126975.9,4616127025.599999,6.995995044708252,94367910,100905,100905,0,1/1,1,化学制品
32,002809,红墙股份,10.0,12.1,168039411,1683333608.0,2560510197.2999997,10.23780632019043,131685994,101157,101157,0,1/1,1,化学制品
33,600610,中毅达,9.961315155029297,11.37,896941840,8058222635.849999,12180392292.96,11.444908142089844,80774754,101352,101519,1,1/1,1,化学原料
34,600230,沧州大化,10.0,18.15,564293696,7513392422.249999,7513392295.2,7.723877429962158,73663227,101418,101418,0,2/2,2,化学制品
35,300927,江天化学,19.992082595825195,30.31,556292000,4270343468.2999997,4375551600.0,13.67463207244873,111765094,101430,101430,0,1/1,1,化学原料
36,600403,大有能源,10.044978141784668,7.34,534239104,17548563030.68,17548563016.0,3.171813488006592,191439678,101859,101859,0,1/1,1,煤炭行业
