序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,37030191,6985834267.5,7180164608.0,0.5300754308700562,975091159,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,154205100,7261392032.62,7261401982.559999,2.1236300468444824,176653601,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,91218912,17565482880.0,17565482880.0,0.5193077325820923,617990688,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,35286281,15047726288.56,16337682853.119999,0.23449575901031494,2072973501,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1517661184,14829119398.140001,14829119418.080002,10.237598419189453,394563188,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,84748689,9085613562.88,9085613562.88,0.9327789545059204,886135350,092502,092502,0,2/2,1,电子化学
7,002995,天地在线,10.019742965698242,22.29,316429344,2505779566.3199997,3955460359.2,12.700239181518555,50266179,093009,093009,0,2/2,2,文化传媒
8,600391,航发科技,9.995241165161133,46.22,711587312,15258579342.74,15258579019.199999,4.6659626960754395,181130494,093019,093019,0,2/2,2,航天航空
9,601616,广电电气,9.920635223388672,5.54,391322064,4729361267.26,4729361228.4800005,8.373787879943848,210262390,093040,093040,0,3/3,3,电网设备
10,002969,嘉美包装,10.0,18.92,445604064,19234380925.760002,19350393673.600002,2.3192291259765625,163697732,093048,093048,0,23/16,2,包装材料
11,002201,九鼎新材,10.023677825927734,13.94,2485328576,8392206474.799999,9083809185.6,30.19692611694336,96369826,093115,133100,5,5/3,2,玻璃玻纤
12,601677,明泰铝业,9.986772537231445,16.63,818156464,20255450207.01,20679798000.16,4.077423095703125,256457333,093308,093308,0,1/1,1,有色金属
13,600187,国中水务,9.960159301757812,2.76,213442646,4454035844.28,4454035847.04,4.837450981140137,64261080,093414,093605,1,1/1,1,公用事业
14,603926,铁流股份,10.004953384399414,22.21,307569520,5126925550.31,5213055930.31,6.148255825042725,63395824,093426,093950,2,2/2,2,汽车零部
15,688380,中微半导,19.99419593811035,41.35,756254464,6990837750.0,16555093080.800001,11.121628761291504,425164132,093451,093551,1,1/1,1,半导体
16,002546,新联电子,10.011000633239746,10.0,1903600448,8012320960.0,8340491040.0,24.196643829345703,46568990,093527,110406,2,4/3,2,电网设备
17,603421,鼎信通讯,10.0,7.92,278608928,5165348847.12,5165348855.04,5.463889122009277,72586451,093603,093821,1,1/1,1,通信服务
18,003039,顺控发展,9.982383728027344,18.73,226878905,11566125812.9,11566125925.28,1.9993215799331665,232104033,093651,093651,0,1/1,1,公用事业
19,003035,南网能源,9.9609375,5.63,494656480,21325757570.81,21325757553.92,2.363125801086426,229455564,093733,093733,0,1/1,1,专业服务
20,002208,合肥城建,10.034602165222168,15.9,1132647440,12769041689.7,12772341019.2,9.081791877746582,202995888,094115,102657,2,3/2,1,房地产开
21,600955,维远股份,9.9893159866333,20.59,447135824,11324500000.0,11324500000.0,4.039850234985352,69546843,094134,094325,2,1/1,1,化学原料
22,600649,城投控股,10.107526779174805,5.12,445463088,12823043932.16,12823043932.16,3.5346927642822266,159567866,094216,095158,1,1/1,1,房地产开
23,603320,迪贝电气,9.990530014038086,23.23,178856486,3464666295.69,3464666295.69,5.24690055847168,132795642,094628,094628,0,4/2,1,电机
24,002291,遥望科技,10.014727592468262,7.47,526964160,6492365766.9,6988523839.2,8.365199089050293,363598515,094906,094906,0,1/1,1,互联网服
25,603916,苏博特,10.046082496643066,11.94,234947951,5018684953.62,5089966789.44,4.822906970977783,172367965,095210,095210,0,1/1,1,化学制品
26,603616,韩建河山,10.070671081542969,6.23,200464704,2394145390.0,2437911140.0,8.598414421081543,93630626,095254,095254,0,1/1,1,水泥建材
