序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,37006391,6985834267.5,7180164608.0,0.52973473072052,982128309,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,154148868,7261392032.62,7261401982.559999,2.1228556632995605,177465841,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,90774336,17565482880.0,17565482880.0,0.5167768001556396,621138096,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,35039540,15047726288.56,16337682853.119999,0.23285603523254395,2074902567,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1516429888,14829119398.140001,14829119418.080002,10.229294776916504,407115418,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,84689789,9085613562.88,9085613562.88,0.9321306347846985,886274354,092502,092502,0,2/2,1,电子化学
7,002995,天地在线,10.019742965698242,22.29,314322944,2505779566.3199997,3955460359.2,12.61617660522461,51891120,093009,093009,0,2/2,2,文化传媒
8,600391,航发科技,9.995241165161133,46.22,709183872,15258579342.74,15258579019.199999,4.650211334228516,183663350,093019,093019,0,2/2,2,航天航空
9,601616,广电电气,9.920635223388672,5.54,390958096,4729361267.26,4729361228.4800005,8.36609172821045,211573708,093040,093040,0,3/3,3,电网设备
10,002969,嘉美包装,10.0,18.92,445140528,19234380925.760002,19350393673.600002,2.316819190979004,164051536,093048,093048,0,23/16,2,包装材料
11,002201,九鼎新材,10.023677825927734,13.94,2480729760,8392206474.799999,9083809185.6,30.142126083374023,100935176,093115,133100,5,5/3,2,玻璃玻纤
12,601677,明泰铝业,9.986772537231445,16.63,817092144,20255450207.01,20679798000.16,4.072168827056885,257880861,093308,093308,0,1/1,1,有色金属
13,600187,国中水务,9.960159301757812,2.76,213391310,4454035844.28,4454035847.04,4.83629846572876,64628160,093414,093605,1,1/1,1,公用事业
14,603926,铁流股份,10.004953384399414,22.21,307394048,5126925550.31,5213055930.31,6.144833564758301,63671228,093426,093950,2,2/2,2,汽车零部
