序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,36513391,6985834267.5,7180164608.0,0.5226776003837585,993582909,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,151586399,7261392032.62,7261401982.559999,2.087566614151001,176033495,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,89751600,17565482880.0,17565482880.0,0.5109543800354004,636706176,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,33645827,15047726288.56,16337682853.119999,0.22359409928321838,2166409083,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1510238528,14829119398.140001,14829119418.080002,10.187543869018555,439581726,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,83898173,9085613562.88,9085613562.88,0.9234178066253662,900440982,092502,092502,0,2/2,1,电子化学
7,002995,天地在线,10.019742965698242,22.29,309922896,2505779566.3199997,3955460359.2,12.440581321716309,62644172,093009,093009,0,2/2,2,文化传媒
8,600391,航发科技,9.995241165161133,46.22,701113856,15258579342.74,15258579019.199999,4.597322940826416,188257618,093019,093019,0,2/2,2,航天航空
9,601616,广电电气,9.920635223388672,5.54,388332688,4729361267.26,4729361228.4800005,8.310578346252441,217082684,093040,093040,0,3/3,3,电网设备
10,002969,嘉美包装,10.0,18.92,443360160,19234380925.760002,19350393673.600002,2.307562828063965,171479528,093048,093048,0,23/16,2,包装材料
11,002201,九鼎新材,10.023677825927734,13.94,2242664592,8392206474.799999,9083809185.6,27.301130294799805,133924368,093115,103054,2,5/3,2,玻璃玻纤
12,601677,明泰铝业,9.986772537231445,16.63,812592064,20255450207.01,20679798000.16,4.049952030181885,280146768,093308,093308,0,1/1,1,有色金属
13,600187,国中水务,9.960159301757812,2.76,211343390,4454035844.28,4454035847.04,4.790319442749023,69470304,093414,093605,1,1/1,1,公用事业
14,603926,铁流股份,10.004953384399414,22.21,304927856,5126925550.31,5213055930.31,6.096730709075928,57002453,093426,093950,2,2/2,2,汽车零部
15,688380,中微半导,19.99419593811035,41.35,748877168,6990837750.0,16555093080.800001,11.016100883483887,485934076,093451,093551,1,1/1,1,半导体
16,002546,新联电子,10.011000633239746,10.0,1892236448,8012320960.0,8340491040.0,24.054811477661133,62201000,093527,110406,2,4/3,2,电网设备
17,603421,鼎信通讯,10.0,7.92,276557648,5165348847.12,5165348855.04,5.4241766929626465,80147675,093603,093821,1,1/1,1,通信服务
