序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,31980341,6985834267.5,7180164608.0,0.4577884078025818,1142729009,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,137577602,7261392032.62,7261401982.559999,1.8946449756622314,203094598,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,79274934,17565482880.0,17565482880.0,0.4513108730316162,675397578,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,31260664,15047726288.56,16337682853.119999,0.20774343609809875,2414765115,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1457019456,14829119398.140001,14829119418.080002,9.828661918640137,761738548,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,77432909,9085613562.88,9085613562.88,0.8522584438323975,929424895,092502,092502,0,2/2,1,电子化学
7,002995,天地在线,10.019742965698242,22.29,281115040,2505779566.3199997,3955460359.2,11.290924072265625,100243212,093009,093009,0,2/2,2,文化传媒
8,600391,航发科技,9.995241165161133,46.22,654519488,15258579342.74,15258579019.199999,4.291957855224609,258997328,093019,093019,0,2/2,2,航天航空
9,601616,广电电气,9.920635223388672,5.54,367084560,4729361267.26,4729361228.4800005,7.861298084259033,232486155,093040,093040,0,3/3,3,电网设备
10,002969,嘉美包装,10.0,18.92,433662752,19234380925.760002,19350393673.600002,2.257145881652832,166594384,093048,093048,0,23/16,2,包装材料
11,002527,新时达,9.98810863494873,18.5,438153520,9791686068.0,12266633976.0,4.518836975097656,459274340,093057,093057,0,1/1,1,专用设备
12,002201,九鼎新材,10.023677825927734,13.94,1742748976,8392206474.799999,9083809185.6,21.342042922973633,405466033,093115,103009,1,5/3,2,玻璃玻纤
13,601677,明泰铝业,9.986772537231445,16.63,750269776,20255450207.01,20679798000.16,3.7422707080841064,363258219,093308,093308,0,1/1,1,有色金属
14,600187,国中水务,9.960159301757812,2.76,195874418,4454035844.28,4454035847.04,4.44301700592041,80982264,093414,093605,1,1/1,1,公用事业
15,603926,铁流股份,10.004953384399414,22.21,286416224,5126925550.31,5213055930.31,5.735663414001465,65046360,093426,093950,2,2/2,2,汽车零部
16,688380,中微半导,19.99419593811035,41.35,712433920,6990837750.0,16555093080.800001,10.494800567626953,660318522,093451,093551,1,1/1,1,半导体
17,603421,鼎信通讯,10.0,7.92,258671568,5165348847.12,5165348855.04,5.077906131744385,91304286,093603,093821,1,1/1,1,通信服务
18,003039,顺控发展,9.982383728027344,18.73,212230172,11566125812.9,11566125925.28,1.8726694583892822,350292206,093651,093651,0,1/1,1,公用事业
19,003035,南网能源,9.9609375,5.63,401041648,21325757570.81,21325757553.92,1.9241503477096558,426372454,093733,093733,0,1/1,1,专业服务
20,002208,合肥城建,10.034602165222168,15.9,1037805808,12769041689.7,12772341019.2,8.339044570922852,557287368,094115,102657,2,3/2,1,房地产开
21,600955,维远股份,9.9893159866333,20.59,398329296,11324500000.0,11324500000.0,3.608868360519409,137527878,094134,094325,2,1/1,1,化学原料
22,600649,城投控股,10.107526779174805,5.12,424127280,12823043932.16,12823043932.16,3.3683063983917236,171362042,094216,095158,1,1/1,1,房地产开
23,603320,迪贝电气,9.990530014038086,23.23,171939753,3464666295.69,3464666295.69,5.047264099121094,146553609,094628,094628,0,4/2,1,电机
24,002291,遥望科技,10.014727592468262,7.47,496195232,6492365766.9,6988523839.2,7.891274452209473,463190049,094906,094906,0,1/1,1,互联网服
25,603916,苏博特,10.046082496643066,11.94,210696115,5018684953.62,5089966789.44,4.339676380157471,247666882,095210,095210,0,1/1,1,化学制品
26,603616,韩建河山,10.070671081542969,6.23,186927494,2394145390.0,2437911140.0,8.032984733581543,118759375,095254,095254,0,1/1,1,水泥建材
27,605089,味知香,10.003650665283203,30.13,142671873,4157940000.0,4157940000.0,3.5001065731048584,142889867,095353,095353,0,1/1,1,食品饮料
28,000048,京基智农,10.006540298461914,16.82,271548416,8853367631.0,8919347545.92,3.1541895866394043,402693708,095606,095606,0,1/1,1,农牧饲渔
29,600774,汉商集团,10.018903732299805,11.64,439287440,3431962404.84,3434177136.0,13.438933372497559,133560502,095722,095919,1,2/2,2,化学制药
30,002810,山东赫达,10.0,17.49,310095264,5644195556.339999,6095308934.879999,5.672084808349609,363739739,100527,100527,0,1/1,1,化学制品
31,002165,红 宝 丽,9.96216869354248,8.72,620229040,6344929205.120001,6411553004.8,10.119543075561523,1172282792,100833,100833,0,1/1,1,化学制品
32,605366,宏柏新材,10.077519416809082,7.1,288732080,4616126975.9,4616127025.599999,6.437315940856934,134100930,100905,100905,0,1/1,1,化学制品
33,002809,红墙股份,10.0,12.1,138956577,1683333608.0,2560510197.2999997,8.510113716125488,194081338,101157,101157,0,1/1,1,化学制品
34,600610,中毅达,9.961315155029297,11.37,790364160,8058222635.849999,12180392292.96,10.122312545776367,351467166,101352,101519,1,1/1,1,化学原料
35,600230,沧州大化,10.0,18.15,468854464,7513392422.249999,7513392295.2,6.453622341156006,291364164,101418,101418,0,2/2,2,化学制品
36,300927,江天化学,19.992082595825195,30.31,466632608,4270343468.2999997,4375551600.0,11.57504940032959,392229040,101430,101430,0,1/1,1,化学原料
37,600403,大有能源,10.044978141784668,7.34,479033376,17548563030.68,17548563016.0,2.857225179672241,357674530,101859,101859,0,1/1,1,煤炭行业
