序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,37001291,6985834267.5,7180164608.0,0.5296617150306702,982595809,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,154136372,7261392032.62,7261401982.559999,2.122683525085449,177269029,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,90709392,17565482880.0,17565482880.0,0.5164070725440979,620766912,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,35039540,15047726288.56,16337682853.119999,0.23285603523254395,2075739991,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1516110848,14829119398.140001,14829119418.080002,10.227143287658691,408442425,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,84670941,9085613562.88,9085613562.88,0.9319232106208801,889466734,092502,092502,0,2/2,1,电子化学
7,002995,天地在线,10.019742965698242,22.29,312499616,2505779566.3199997,3955460359.2,12.543412208557129,58261602,093009,093009,0,2/2,2,文化传媒
8,600391,航发科技,9.995241165161133,46.22,709063696,15258579342.74,15258579019.199999,4.649423599243164,183709570,093019,093019,0,2/2,2,航天航空
9,601616,广电电气,9.920635223388672,5.54,390789120,4729361267.26,4729361228.4800005,8.362519264221191,211649052,093040,093040,0,3/3,3,电网设备
10,002969,嘉美包装,10.0,18.92,444949440,19234380925.760002,19350393673.600002,2.3158257007598877,164305064,093048,093048,0,23/16,2,包装材料
11,002201,九鼎新材,10.023677825927734,13.94,2479331584,8392206474.799999,9083809185.6,30.125465393066406,101849640,093115,133100,5,5/3,2,玻璃玻纤
12,601677,明泰铝业,9.986772537231445,16.63,816722960,20255450207.01,20679798000.16,4.070346355438232,259778344,093308,093308,0,1/1,1,有色金属
13,600187,国中水务,9.960159301757812,2.76,213311546,4454035844.28,4454035847.04,4.834507465362549,66336876,093414,093605,1,1/1,1,公用事业
14,603926,铁流股份,10.004953384399414,22.21,307367408,5126925550.31,5213055930.31,6.144313335418701,68273140,093426,093950,2,2/2,2,汽车零部
15,688380,中微半导,19.99419593811035,41.35,754708016,6990837750.0,16555093080.800001,11.099508285522461,443121361,093451,093551,1,1/1,1,半导体
16,002546,新联电子,10.011000633239746,10.0,1902680448,8012320960.0,8340491040.0,24.185161590576172,46361990,093527,110406,2,4/3,2,电网设备
17,603421,鼎信通讯,10.0,7.92,278136896,5165348847.12,5165348855.04,5.4547505378723145,73034723,093603,093821,1,1/1,1,通信服务
18,003039,顺控发展,9.982383728027344,18.73,226305767,11566125812.9,11566125925.28,1.99436616897583,238047062,093651,093651,0,1/1,1,公用事业
19,003035,南网能源,9.9609375,5.63,493798704,21325757570.81,21325757553.92,2.3591034412384033,246671862,093733,093733,0,1/1,1,专业服务
20,002208,合肥城建,10.034602165222168,15.9,1131799968,12769041689.7,12772341019.2,9.075154304504395,204390318,094115,102657,2,3/2,1,房地产开
21,600955,维远股份,9.9893159866333,20.59,445251840,11324500000.0,11324500000.0,4.023213863372803,67601088,094134,094325,2,1/1,1,化学原料
22,600649,城投控股,10.107526779174805,5.12,445050928,12823043932.16,12823043932.16,3.5314786434173584,159779834,094216,095158,1,1/1,1,房地产开
23,603320,迪贝电气,9.990530014038086,23.23,178740336,3464666295.69,3464666295.69,5.243548393249512,132802611,094628,094628,0,4/2,1,电机
24,002291,遥望科技,10.014727592468262,7.47,526297840,6492365766.9,6988523839.2,8.354935646057129,365150781,094906,094906,0,1/1,1,互联网服
25,603916,苏博特,10.046082496643066,11.94,234733031,5018684953.62,5089966789.44,4.818624496459961,173951209,095210,095210,0,1/1,1,化学制品
26,603616,韩建河山,10.070671081542969,6.23,200113955,2394145390.0,2437911140.0,8.58376407623291,93882318,095254,095254,0,1/1,1,水泥建材
27,605089,味知香,10.003650665283203,30.13,147570408,4157940000.0,4157940000.0,3.617918014526367,126834193,095353,095353,0,1/1,1,食品饮料
28,000048,京基智农,10.006540298461914,16.82,282731008,8853367631.0,8919347545.92,3.280498504638672,323916582,095606,095606,0,1/1,1,农牧饲渔
29,600774,汉商集团,10.018903732299805,11.64,459072064,3431962404.84,3434177136.0,14.015414237976074,124839698,095722,095919,1,2/2,2,化学制药
30,002810,山东赫达,10.0,17.49,321387968,5644195556.339999,6095308934.879999,5.872161388397217,247059297,100527,100527,0,1/1,1,化学制品
31,002165,红 宝 丽,9.96216869354248,8.72,703246928,6344929205.120001,6411553004.8,11.427956581115723,533449488,100833,100833,0,1/1,1,化学制品
32,605366,宏柏新材,10.077519416809082,7.1,312156400,4616126975.9,4616127025.599999,6.944761276245117,102651480,100905,100905,0,1/1,1,化学制品
33,002809,红墙股份,10.0,12.1,165211641,1683333608.0,2560510197.2999997,10.069820404052734,133893034,101157,101157,0,1/1,1,化学制品
34,600610,中毅达,9.961315155029297,11.37,882121040,8058222635.849999,12180392292.96,11.260986328125,138475377,101352,101519,1,1/1,1,化学原料
35,600230,沧州大化,10.0,18.15,558034848,7513392422.249999,7513392295.2,7.640574932098389,79809543,101418,101418,0,2/2,2,化学制品
36,300927,江天化学,19.992082595825195,30.31,541661376,4270343468.2999997,4375551600.0,13.332021713256836,140429261,101430,101430,0,1/1,1,化学原料
37,600403,大有能源,10.044978141784668,7.34,529087152,17548563030.68,17548563016.0,3.1424553394317627,201399933,101859,101859,0,1/1,1,煤炭行业
38,002181,粤 传 媒,10.029498100280762,11.19,1085590608,12695280825.39,12992240989.439999,8.8604154586792,397535962,103339,103339,0,8/4,1,文化传媒
39,300242,佳云科技,19.92481231689453,6.38,729072800,4048460121.64,4048462380.16,18.937070846557617,376737685,103551,103551,0,1/1,1,文化传媒
40,600539,狮头股份,10.009532928466797,11.54,184733554,2654200000.0,2654200000.0,7.153212547302246,153388041,103641,103641,0,1/1,1,环保行业
41,600838,上海九百,10.007819175720215,14.07,794095408,5640409472.67,5640409514.88,14.742630004882812,215349707,104834,104834,0,1/1,1,商业百货
42,000031,大悦城,10.169490814208984,3.25,201734252,13930490278.25,13930518368.0,1.4965877532958984,86918884,105839,110045,2,1/1,1,房地产开
43,000523,红棉股份,10.129870414733887,4.24,475695840,5618679052.96,7782386287.360001,8.793414115905762,120642356,110427,110654,1,1/1,1,食品饮料
44,600675,中华企业,10.144927024841309,3.04,513780768,18380251406.24,18380251299.84,2.8878214359283447,56352838,130011,131402,1,1/1,1,房地产开
45,000417,合百集团,10.035842895507812,9.21,838136384,7174842823.710001,7182733555.68,12.143111228942871,309108598,130303,130303,0,1/1,1,商业百货
46,603216,梦天家居,10.00400161743164,54.98,442995888,12243496200.0,12243496200.0,3.7362992763519287,53896784,130453,133241,1,3/2,1,装修装饰
