序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,37933741,6985834267.5,7180164608.0,0.5430094599723816,890296859,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,155844419,7261392032.62,7261401982.559999,2.1462059020996094,180282127,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,93310900,17565482880.0,17565482880.0,0.5312173962593079,570018139,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,36811589,15047726288.56,16337682853.119999,0.24463222920894623,1981298004,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1681467776,14829119398.140001,14829119418.080002,11.342226028442383,227168404,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,85783020,9085613562.88,9085613562.88,0.9441632032394409,825260975,092502,092502,0,2/2,1,电子化学
7,600391,航发科技,9.995241165161133,46.22,726349984,15258579342.74,15258579019.199999,4.762712478637695,167153566,093019,093019,0,2/2,2,航天航空
8,601616,广电电气,9.920635223388672,5.54,395141344,4729361267.26,4729361228.4800005,8.454544067382812,204583890,093040,093040,0,3/3,3,电网设备
9,002969,嘉美包装,10.0,18.92,450285840,19234380925.760002,19350393673.600002,2.343569755554199,163662711,093048,093048,0,23/16,2,包装材料
10,002201,九鼎新材,10.023677825927734,13.94,2639256288,8392206474.799999,9083809185.6,32.03143310546875,68403022,093115,141818,7,5/3,2,玻璃玻纤
11,601677,明泰铝业,9.986772537231445,16.63,828322720,20255450207.01,20679798000.16,4.127613544464111,223155425,093308,093308,0,1/1,1,有色金属
12,600187,国中水务,9.960159301757812,2.76,216526394,4454035844.28,4454035847.04,4.906685829162598,61287732,093414,093605,1,1/1,1,公用事业
13,603926,铁流股份,10.004953384399414,22.21,310865616,5126925550.31,5213055930.31,6.212545394897461,41230110,093426,093950,2,2/2,2,汽车零部
14,688380,中微半导,19.99419593811035,41.35,770809168,6990837750.0,16555093080.800001,11.329825401306152,387187051,093451,093551,1,1/1,1,半导体
