序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,9.961190223693848,8.5,36673191,6985834267.5,7180164608.0,0.5249651074409485,992406509,092500,092500,0,1/1,1,半导体
2,002358,森源电气,10.0,7.81,152307262,7261392032.62,7261401982.559999,2.097493886947632,175748430,092500,092500,0,3/3,3,电网设备
3,002498,汉缆股份,10.0,5.28,89861424,17565482880.0,17565482880.0,0.5115795731544495,638659776,092500,092500,0,3/3,3,电网设备
4,002931,锋龙股份,10.004413604736328,74.77,33922476,15047726288.56,16337682853.119999,0.22543257474899292,2164509925,092500,092500,0,15/15,2,通用设备
5,600986,浙文互联,10.044150352478027,9.97,1512705104,14829119398.140001,14829119418.080002,10.204176902770996,433044397,092500,102239,2,8/4,1,文化传媒
6,603078,江化微,9.990663528442383,23.56,84058381,9085613562.88,9085613562.88,0.9251810908317566,893036074,092502,092502,0,2/2,1,电子化学
7,002995,天地在线,10.019742965698242,22.29,310411056,2505779566.3199997,3955460359.2,12.460062026977539,61830231,093009,093009,0,2/2,2,文化传媒
8,600391,航发科技,9.995241165161133,46.22,703064352,15258579342.74,15258579019.199999,4.610105991363525,187250022,093019,093019,0,2/2,2,航天航空
9,601616,广电电气,9.920635223388672,5.54,388929888,4729361267.26,4729361228.4800005,8.323206901550293,218641640,093040,093040,0,3/3,3,电网设备
10,002969,嘉美包装,10.0,18.92,443719632,19234380925.760002,19350393673.600002,2.309431791305542,164991860,093048,093048,0,23/16,2,包装材料
11,002201,九鼎新材,10.023677825927734,13.94,2453850816,8392206474.799999,9083809185.6,29.821842193603516,150100009,093115,133100,5,5/3,2,玻璃玻纤
12,601677,明泰铝业,9.986772537231445,16.63,813473456,20255450207.01,20679798000.16,4.0543036460876465,279095752,093308,093308,0,1/1,1,有色金属
13,600187,国中水务,9.960159301757812,2.76,211952522,4454035844.28,4454035847.04,4.803995132446289,69546204,093414,093605,1,1/1,1,公用事业
14,603926,铁流股份,10.004953384399414,22.21,306124976,5126925550.31,5213055930.31,6.12007999420166,55829765,093426,093950,2,2/2,2,汽车零部
15,688380,中微半导,19.99419593811035,41.35,750470128,6990837750.0,16555093080.800001,11.038887023925781,455978565,093451,093551,1,1/1,1,半导体
16,002546,新联电子,10.011000633239746,10.0,1896678448,8012320960.0,8340491040.0,24.11025047302246,51744000,093527,110406,2,4/3,2,电网设备
17,603421,鼎信通讯,10.0,7.92,277414592,5165348847.12,5165348855.04,5.44076681137085,81514667,093603,093821,1,1/1,1,通信服务
18,003039,顺控发展,9.982383728027344,18.73,225273744,11566125812.9,11566125925.28,1.9854434728622437,249090270,093651,093651,0,1/1,1,公用事业
19,003035,南网能源,9.9609375,5.63,484866720,21325757570.81,21325757553.92,2.3172199726104736,264134996,093733,093733,0,1/1,1,专业服务
20,002208,合肥城建,10.034602165222168,15.9,1127479952,12769041689.7,12772341019.2,9.041322708129883,214734858,094115,102657,2,3/2,1,房地产开
21,600955,维远股份,9.9893159866333,20.59,444372656,11324500000.0,11324500000.0,4.0154500007629395,71480244,094134,094325,2,1/1,1,化学原料
22,600649,城投控股,10.107526779174805,5.12,443249776,12823043932.16,12823043932.16,3.517432451248169,165904312,094216,095158,1,1/1,1,房地产开
23,603320,迪贝电气,9.990530014038086,23.23,178329165,3464666295.69,3464666295.69,5.231680393218994,132941991,094628,094628,0,4/2,1,电机
24,002291,遥望科技,10.014727592468262,7.47,523693792,6492365766.9,6988523839.2,8.314826965332031,388862802,094906,094906,0,1/1,1,互联网服
25,603916,苏博特,10.046082496643066,11.94,233632163,5018684953.62,5089966789.44,4.796689033508301,173681365,095210,095210,0,1/1,1,化学制品
26,603616,韩建河山,10.070671081542969,6.23,198320338,2394145390.0,2437911140.0,8.5088472366333,99157882,095254,095254,0,1/1,1,水泥建材
27,605089,味知香,10.003650665283203,30.13,147371550,4157940000.0,4157940000.0,3.613135576248169,126822141,095353,095353,0,1/1,1,食品饮料
28,000048,京基智农,10.006540298461914,16.82,282201168,8853367631.0,8919347545.92,3.2745139598846436,328986130,095606,095606,0,1/1,1,农牧饲渔
29,600774,汉商集团,10.018903732299805,11.64,456319200,3431962404.84,3434177136.0,13.935202598571777,129351362,095722,095919,1,2/2,2,化学制药
30,002810,山东赫达,10.0,17.49,320997904,5644195556.339999,6095308934.879999,5.865250587463379,252260858,100527,100527,0,1/1,1,化学制品
31,002165,红 宝 丽,9.96216869354248,8.72,699731888,6344929205.120001,6411553004.8,11.372557640075684,557210616,100833,100833,0,1/1,1,化学制品
32,605366,宏柏新材,10.077519416809082,7.1,311087696,4616126975.9,4616127025.599999,6.921610355377197,108512672,100905,100905,0,1/1,1,化学制品
33,002809,红墙股份,10.0,12.1,163595081,1683333608.0,2560510197.2999997,9.973787307739258,140065244,101157,101157,0,1/1,1,化学制品
34,600610,中毅达,9.961315155029297,11.37,878089248,8058222635.849999,12180392292.96,11.210953712463379,145403118,101352,101519,1,1/1,1,化学原料
35,600230,沧州大化,10.0,18.15,556791936,7513392422.249999,7513392295.2,7.624032020568848,80636820,101418,101418,0,2/2,2,化学制品
36,300927,江天化学,19.992082595825195,30.31,540136784,4270343468.2999997,4375551600.0,13.296319961547852,142550961,101430,101430,0,1/1,1,化学原料
37,600403,大有能源,10.044978141784668,7.34,527340240,17548563030.68,17548563016.0,3.132500648498535,207436349,101859,101859,0,1/1,1,煤炭行业
38,002181,粤 传 媒,10.029498100280762,11.19,1079047824,12695280825.39,12992240989.439999,8.808877944946289,422879074,103339,103339,0,8/4,1,文化传媒
39,300242,佳云科技,19.92481231689453,6.38,725595072,4048460121.64,4048462380.16,18.851167678833008,402369335,103551,103551,0,1/1,1,文化传媒
40,600539,狮头股份,10.009532928466797,11.54,182883692,2654200000.0,2654200000.0,7.083517074584961,158420635,103641,103641,0,1/1,1,环保行业
41,600838,上海九百,10.007819175720215,14.07,791098496,5640409472.67,5640409514.88,14.689497947692871,220277021,104834,104834,0,1/1,1,商业百货
42,000031,大悦城,10.169490814208984,3.25,198317634,13930490278.25,13930518368.0,1.4720616340637207,101063101,105839,110045,2,1/1,1,房地产开
43,000523,红棉股份,10.129870414733887,4.24,468993856,5618679052.96,7782386287.360001,8.674134254455566,135343513,110427,110654,1,1/1,1,食品饮料
44,600675,中华企业,10.144927024841309,3.04,504379872,18380251406.24,18380251299.84,2.836674690246582,66783394,130011,131402,1,1/1,1,房地产开
45,000417,合百集团,10.035842895507812,9.21,830223152,7174842823.710001,7182733555.68,12.032819747924805,380374657,130303,130303,0,1/1,1,商业百货
46,603216,梦天家居,10.00400161743164,54.98,437800176,12243496200.0,12243496200.0,3.6938626766204834,62077918,130453,133241,1,3/2,1,装修装饰
47,002716,湖南白银,10.026619911193848,12.4,5286148096,28828192452.0,35006299136.0,19.293230056762695,262365028,131842,131842,0,1/1,1,贵金属
48,002637,赞宇科技,9.981851577758789,12.12,429244992,5365804578.0,5701260216.96,8.214485168457031,425784532,132248,132248,0,1/1,1,化学制品
49,000506,招金黄金,10.01878547668457,17.57,1286454736,16315227222.77,16322842043.2,8.286477088928223,42522597,132639,133421,1,2/2,2,贵金属
