序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,10.0,9.35,36465000,7684417694.25,7898181068.799999,0.47453173995018005,1123320220,092500,092500,0,2/2,2,半导体
2,000880,潍柴重机,10.003290176391602,33.43,342558480,7589505924.0,15506466988.64,4.513580799102783,847100153,092500,092500,0,1/1,1,通用设备
3,002279,久其软件,10.046189308166504,9.53,217358953,7526101635.969999,8216831413.919999,2.888068199157715,548055385,092500,092500,0,1/1,1,软件开发
4,002931,锋龙股份,10.004012107849121,82.25,137805927,16553102678.0,17972106656.0,0.8325081467628479,1943374048,092500,092500,0,16/16,3,通用设备
5,301023,奕帆传动,20.0,55.92,186746294,2337795546.2400002,4371079068.0,7.988136291503906,229119562,092500,092500,0,1/1,1,电机
6,603078,江化微,10.016977310180664,25.92,31634194,9995717468.16,9995717468.16,0.3164774775505066,776592878,092503,092503,0,3/3,2,电子化学
7,002876,三利谱,10.011919021606445,27.69,130255458,4124409162.9,4814873767.08,3.158289670944214,170414228,093000,093000,0,1/1,1,光学光电
8,301031,中熔电气,20.0,143.4,674615024,9868455312.0,14099443632.0,6.843023300170898,377776114,093000,093000,0,1/1,1,电网设备
9,002809,红墙股份,10.0,13.31,342150144,1851666968.8,2816561217.03,18.596555709838867,124248770,093012,093142,2,2/2,2,化学制品
10,603608,天创时尚,10.050251007080078,10.95,154367102,4595901916.5,4595901938.4,3.388763666152954,160846083,093100,093109,1,1/1,1,纺织服装
11,002437,誉衡药业,10.031347274780273,3.51,653159280,7368291333.0,7834418729.28,8.917861938476562,168596532,093145,094815,1,1/1,1,化学制药
12,000048,京基智农,9.98810863494873,18.5,502880432,9737651675.0,9810221736.0,5.220218181610107,103301354,093151,095051,3,2/2,2,农牧饲渔
13,002498,汉缆股份,10.03787899017334,5.81,1636335152,19328684760.0,19328684760.0,8.5518217086792,325247105,093154,093154,0,4/4,4,电网设备
14,601616,广电电气,9.9277982711792,6.09,1673449360,5198882692.71,5198882650.08,33.698795318603516,152836095,093217,103014,2,4/4,4,电网设备
15,603023,威帝股份,10.09009075164795,6.11,311992832,3410097356.77,3410097362.88,9.257067680358887,76742999,093307,093307,0,1/1,1,汽车零部
16,002995,天地在线,10.005078315734863,21.66,417756512,2434956725.28,3843664036.8,17.625125885009766,289412450,093312,093312,0,3/2,1,文化传媒
17,000066,中国长城,10.0,17.82,2186570464,57480010913.16,57483739748.16,3.8735742568969727,2007003837,093315,093315,0,1/1,1,计算机设
18,600841,动力新科,10.0,7.92,268421189,8260753913.28,10991548592.64,3.355440139770508,177847853,093551,093551,0,4/2,1,汽车整车
19,688047,龙芯中科,20.0,177.72,2046424384,71265720000.0,71265720000.0,2.9819517135620117,774262593,093618,093821,1,1/1,1,半导体
