序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000670,盈方微,10.0,9.35,41307365,7684417694.25,7898181068.799999,0.5375471115112305,895944115,092500,092500,0,2/2,2,半导体
2,000880,潍柴重机,10.003290176391602,33.43,391090048,7589505924.0,15506466988.64,5.153037071228027,678277416,092500,092500,0,1/1,1,通用设备
3,002165,红 宝 丽,9.97706413269043,9.59,2746109440,6977966866.64,7051237765.599999,39.70684814453125,179458648,092500,130906,3,2/2,2,化学制品
4,002279,久其软件,10.046189308166504,9.53,231353768,7526101635.969999,8216831413.919999,3.074018716812134,404010379,092500,092500,0,1/1,1,软件开发
5,002931,锋龙股份,10.004012107849121,82.25,170520700,16553102678.0,17972106656.0,1.0301433801651,1602904450,092500,092500,0,16/16,3,通用设备
6,301023,奕帆传动,20.0,55.92,191058285,2337795546.2400002,4371079068.0,8.17258358001709,192552914,092500,092500,0,1/1,1,电机
7,603078,江化微,10.016977310180664,25.92,41187139,9995717468.16,9995717468.16,0.4120478630065918,592632028,092503,092503,0,3/3,2,电子化学
8,002876,三利谱,10.011919021606445,27.69,152789580,4124409162.9,4814873767.08,3.7046496868133545,125406902,093000,093000,0,1/1,1,光学光电
9,301031,中熔电气,20.0,143.4,715127104,9868455312.0,14099443632.0,7.253544330596924,257404577,093000,093000,0,1/1,1,电网设备
10,002809,红墙股份,10.0,13.31,362501408,1851666968.8,2816561217.03,19.695632934570312,95526854,093012,093142,2,2/2,2,化学制品
11,603608,天创时尚,10.050251007080078,10.95,168921404,4595901916.5,4595901938.4,3.705443859100342,101349696,093100,093109,1,1/1,1,纺织服装
12,002437,誉衡药业,10.031347274780273,3.51,689231488,7368291333.0,7834418729.28,9.407422065734863,106452757,093145,094815,1,1/1,1,化学制药
13,000048,京基智农,9.98810863494873,18.5,521535840,9737651675.0,9810221736.0,5.411798477172852,87330304,093151,095051,3,2/2,2,农牧饲渔
14,601616,广电电气,9.9277982711792,6.09,2222601072,5198882692.71,5198882650.08,44.302791595458984,49721561,093217,144332,5,4/4,4,电网设备
15,603023,威帝股份,10.09009075164795,6.11,407685456,3410097356.77,3410097362.88,12.072057723999023,67839745,093307,110543,1,1/1,1,汽车零部
16,002995,天地在线,10.005078315734863,21.66,438411184,2434956725.28,3843664036.8,18.4733829498291,162775398,093312,093312,0,3/2,1,文化传媒
17,000066,中国长城,10.0,17.82,2453596480,57480010913.16,57483739748.16,4.338129043579102,1060634870,093315,093315,0,1/1,1,计算机设
18,600841,动力新科,10.0,7.92,286911216,8260753913.28,10991548592.64,3.579270124435425,118860485,093551,093551,0,4/2,1,汽车整车
19,688047,龙芯中科,20.0,177.72,2218413440,71265720000.0,71265720000.0,3.2232866287231445,428064211,093618,093821,1,1/1,1,半导体
20,603991,至正股份,10.0,86.13,252361453,6419699377.74,13152887322.3,4.029516220092773,113286789,093947,093947,0,1/1,1,塑料制品
21,600173,卧龙新能,9.943977355957031,7.85,312668480,5498267515.4,5498973984.0,5.745388031005859,85450704,093949,094204,1,1/1,1,房地产开
22,001360,南矿集团,10.008410453796387,26.16,410798736,2139394779.36,5336640000.0,19.787151336669922,60244570,094212,132457,1,1/1,1,专用设备
23,002196,方正电机,10.011778831481934,18.68,1366582128,9121171402.76,9262887764.48,15.670905113220215,320984940,094457,094457,0,4/2,1,电机
24,605287,德才股份,9.994964599609375,43.69,279929328,6116600000.0,6116600000.0,4.721928596496582,72214327,094523,095241,1,6/3,1,装修装饰
25,001202,炬申股份,10.027247428894043,20.19,351708688,2358675651.4500003,3365493510.9,15.165251731872559,345353786,094533,094954,3,1/1,1,物流行业
26,002077,大港股份,10.02967357635498,18.54,843906960,10759661431.02,10759661412.48,8.02754020690918,224187367,094651,094651,0,1/1,1,半导体
27,000036,华联控股,9.98217487335205,6.17,589789040,8645101565.11,8661561502.4,7.057265281677246,43279341,094724,100521,2,1/1,1,房地产开
28,000045,深纺织Ａ,10.0,13.64,381924624,6233778020.360001,6908958115.84,6.2507781982421875,205663783,094803,094803,0,1/1,1,光学光电
29,002716,湖南白银,10.0,13.64,5094074624,31711011697.2,38506929049.6,16.305133819580078,262160731,095036,104330,3,6/3,2,贵金属
30,002240,盛新锂能,9.988214492797852,37.33,2646058176,34078882592.26,34167920241.76,7.974413871765137,181397669,095330,095548,1,1/1,1,能源金属
31,001389,广合科技,9.996545791625977,95.51,1101749536,14437096473.070002,40657413507.04,7.7799859046936035,122237518,095418,102930,1,1/1,1,电子元件
32,001203,大中矿业,10.010764122009277,30.66,979236176,40327600609.38,47004246045.12,2.4946517944335938,330888852,095545,095545,0,1/1,1,钢铁行业
33,920427,华维设计,29.957204818725586,18.22,246564537,922299388.0799999,1878390900.0,27.630455017089844,54970159,095650,095735,1,1/1,1,工程咨询
34,002913,奥士康,9.992467880249023,43.81,282113152,13216750367.34,13903564030.720001,2.1882524490356445,117695565,095736,095736,0,1/1,1,电子元件
35,603313,梦百合,9.979209899902344,10.58,277130544,6036809243.3,6036809190.4,4.727017879486084,45600381,100018,100018,0,1/1,1,装修建材
36,002662,峰璟股份,9.951457023620605,4.53,646173504,6794914383.0,6795000000.0,9.65952205657959,55630665,100127,111936,2,1/1,1,汽车零部
37,002799,环球印务,10.01137638092041,9.67,145589716,3094746186.0,3094786800.0,4.867049217224121,161439489,100306,100306,0,1/1,1,包装材料
38,002782,可立克,10.019268035888672,22.84,565816400,11111687408.0,11327818125.44,5.252120018005371,92072608,100506,100506,0,1/1,1,电子元件
39,600759,洲际油气,9.97150993347168,3.86,1856255360,15994627110.8,16015175820.8,11.898426055908203,70817374,100514,132132,5,1/1,1,石油行业
40,002156,通富微电,9.998040199279785,56.11,7673784832,85144244176.42,85152362732.31999,9.346487045288086,1160498161,100706,100706,0,4/2,1,半导体
41,601212,白银有色,10.012836456298828,8.57,4123182064,63458917559.270004,63458916608.0,6.66736364364624,167304122,101518,105936,6,2/2,2,有色金属
42,603090,宏盛股份,10.001212120056152,90.74,239710116,9074000000.0,9074000000.0,2.732801914215088,149448598,101925,101925,0,1/1,1,通用设备
43,600676,交运股份,9.955257415771484,9.83,391785584,10110085639.52,10110085639.52,4.052647590637207,106460276,102521,102521,0,1/1,1,汽车零部
44,000688,国城矿业,10.007880210876465,27.92,1097802400,33086969737.120003,33087090519.04,3.408961772918701,259887680,103033,103033,0,1/1,1,有色金属
45,603311,金海高科,10.026738166809082,16.46,188880849,3882649109.2200003,3882649109.2200003,5.031415939331055,104988464,103128,103128,0,1/1,1,家电行业
46,002290,禾盛新材,10.0,64.02,706810480,15837936929.099998,15884151366.599998,4.562140464782715,162412338,103821,103821,0,1/1,1,家电行业
47,002851,麦格米特,10.0,113.85,2683980544,52128199049.85,62626294684.799995,5.315572738647461,319642413,105154,105154,0,1/1,1,电源设备
48,603052,可川科技,9.993510246276855,50.85,442978496,9554576789.7,9554576789.7,4.88066291809082,128559275,105529,105529,0,4/2,1,电子元件
