序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002358,森源电气,10.077519416809082,7.1,106641922,6601265484.2,6601274529.599999,1.6154769659042358,231715600,092500,092500,0,2/2,2,电网设备
2,002498,汉缆股份,10.091742515563965,4.8,135510754,15968620800.0,15968620800.0,0.848606526851654,363075326,092500,092500,0,2/2,2,电网设备
3,002931,锋龙股份,10.001618385314941,67.97,149198024,13679202298.16,14851843032.32,1.090692400932312,1941341671,092500,092500,0,30/15,1,通用设备
4,603286,日盈电子,9.998578071594238,77.34,205001174,8926183029.54,9079401303.54,2.3043034076690674,171168346,093026,093032,1,1/1,1,汽车零部
5,000987,越秀资本,10.0,10.34,730273424,51849156299.159996,51877150504.96,1.4267736673355103,390909511,093051,093051,0,1/1,1,多元金融
6,600785,新华百货,9.989372253417969,20.7,589010256,4670567496.0,4670567496.0,12.928661346435547,118197496,093107,094858,1,4/4,4,商业百货
7,601616,广电电气,10.043667793273926,5.04,639686400,4302523607.76,4302523572.4800005,15.079155921936035,113396925,093121,094121,4,2/2,2,电网设备
8,002636,金安国纪,9.989200592041016,20.37,587298912,14754305044.29,14829360000.0,4.037049293518066,349747787,093142,093857,1,3/2,1,电子元件
9,002969,嘉美包装,9.974424362182617,17.2,695184880,17182814482.399998,17288280582.399998,4.092256546020508,97166962,093145,093842,2,22/15,1,包装材料
10,601965,中国汽研,10.017472267150879,18.89,437821472,18859884183.03,18947706683.2,2.3329079151153564,105179765,093214,093214,0,1/1,1,汽车服务
11,603926,铁流股份,10.027247428894043,20.19,215877756,4660631556.09,4738928376.09,4.661782264709473,42643904,093257,095203,2,1/1,1,汽车零部
12,605376,博迁新材,10.0,69.3,556821408,18128880000.0,18128880000.0,3.0893428325653076,52203620,093321,094700,7,1/1,1,小金属
13,002339,积成电子,10.038609504699707,11.4,737424016,5458247085.6,5746651900.8,13.742851257324219,290165533,093442,094145,1,2/2,2,电网设备
14,600189,泉阳泉,10.040705680847168,8.11,245978578,5800254255.32,5800254222.879999,4.288231372833252,119839766,093453,093453,0,1/1,1,食品饮料
15,002270,华明装备,9.986458778381348,32.49,410061008,29117742069.690002,29118364025.760002,1.4324408769607544,214885481,093554,094442,2,1/1,1,电网设备
16,600671,天目药业,9.99456787109375,20.25,129596674,2464840793.25,2466022421.25,5.327046871185303,34663747,093609,094930,1,1/1,1,中药
17,601096,宏盛华源,9.937888145446777,5.31,947657728,8724205432.71,14205073517.279999,11.120739936828613,63084924,093627,105021,7,2/2,2,电网设备
18,002201,九鼎新材,9.982638359069824,12.67,791946384,7627636731.4,8256231160.8,10.643084526062012,398903623,093651,093724,1,4/2,1,玻璃玻纤
19,002606,大连电瓷,10.050762176513672,10.84,378178832,4565179876.2,4759553661.44,8.560702323913574,186534720,093824,093824,0,1/1,1,电网设备
20,688308,欧科亿,20.0,39.78,283515984,6316336344.24,6316336344.24,4.638322830200195,222489659,093911,093911,0,1/1,1,通用设备
21,601179,中国西电,10.038313865661621,14.36,4982202112,73607670574.72,73607670804.48,6.905412197113037,1195154884,094009,095021,1,1/1,1,电网设备
22,002995,天地在线,9.989142417907715,20.26,158950170,2277572634.0800004,3595227764.8,7.177591323852539,215208851,094154,094154,0,1/1,1,文化传媒
23,603239,浙江仙通,10.022371292114258,24.59,204753347,6657004800.0,6657004800.0,3.150376796722412,142912162,094916,094916,0,1/1,1,汽车零部
24,002591,恒大高新,9.943181991577148,7.74,132168387,1729986455.88,2323544037.12,7.846029758453369,198872334,095709,095709,0,1/1,1,互联网服
25,600163,中闽能源,9.9277982711792,6.09,391478352,11589246510.869999,11589246516.96,3.4758481979370117,183319462,100312,100312,0,1/1,1,电力行业
26,603199,九华旅游,9.994914054870605,43.25,345769232,4786910000.0,4786910000.0,7.357220649719238,61502711,100501,105334,6,1/1,1,旅游酒店
27,002219,新里程,9.829059600830078,2.57,753283232,8409152360.4,8705571123.199999,9.239968299865723,216101968,100630,102224,1,5/3,1,医疗服务
28,603283,赛腾股份,9.99389362335205,54.04,2709988048,14654244743.32,14654244689.28,18.777921676635742,112905772,101011,111702,6,2/2,2,专用设备
29,600382,广东明珠,9.987030029296875,8.48,237699790,5888580594.72,5888580654.08,4.190840721130371,163076726,101842,101842,0,1/1,1,钢铁行业
30,002187,广百股份,9.951457023620605,9.06,574537072,6350105374.9800005,6350105438.400001,9.343284606933594,318193542,101903,101903,0,1/1,1,商业百货
31,603186,华正新材,9.998275756835938,63.81,823451120,9062604912.78,9062604912.78,9.366616249084473,114022089,102102,104653,2,1/1,1,电子元件
32,002258,利尔化学,10.006715774536133,16.38,594784032,13090082651.099998,13111161860.16,4.706151485443115,125173208,103630,103630,0,1/1,1,农药兽药
33,000803,山高环能,10.059171676635742,9.3,243872412,4276026354.0000005,4336554288.0,5.966907024383545,238605152,103821,103821,0,1/1,1,综合行业
