序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002358,森源电气,10.077519416809082,7.1,105639402,6601265484.2,6601274529.599999,1.6002901792526245,220876740,092500,092500,0,2/2,2,电网设备
2,002498,汉缆股份,10.091742515563965,4.8,131908354,15968620800.0,15968620800.0,0.8260472416877747,355452446,092500,092500,0,2/2,2,电网设备
3,002931,锋龙股份,10.001618385314941,67.97,147201066,13679202298.16,14851843032.32,1.0760939121246338,1979505467,092500,092500,0,30/15,1,通用设备
4,603286,日盈电子,9.998578071594238,77.34,203160482,8926183029.54,9079401303.54,2.283682346343994,167734450,093026,093032,1,1/1,1,汽车零部
5,000987,越秀资本,10.0,10.34,720379408,51849156299.159996,51877150504.96,1.4076913595199585,445541604,093051,093051,0,1/1,1,多元金融
6,600785,新华百货,9.989372253417969,20.7,588006112,4670567496.0,4670567496.0,12.907161712646484,124631263,093107,094858,1,4/4,4,商业百货
7,601616,广电电气,10.043667793273926,5.04,637403280,4302523607.76,4302523572.4800005,15.026091575622559,114423573,093121,094121,4,2/2,2,电网设备
8,002636,金安国纪,9.989200592041016,20.37,580193856,14754305044.29,14829360000.0,3.988893508911133,356549330,093142,093857,1,3/2,1,电子元件
9,002969,嘉美包装,9.974424362182617,17.2,692900720,17182814482.399998,17288280582.399998,4.078963279724121,93862842,093145,093842,2,22/15,1,包装材料
10,601965,中国汽研,10.017472267150879,18.89,427979776,18859884183.03,18947706683.2,2.2807247638702393,113916390,093214,093214,0,1/1,1,汽车服务
11,603926,铁流股份,10.027247428894043,20.19,214456784,4660631556.09,4738928376.09,4.631293296813965,49720095,093257,095203,2,1/1,1,汽车零部
12,605376,博迁新材,10.0,69.3,525019648,18128880000.0,18128880000.0,2.9139223098754883,59431610,093321,094700,7,1/1,1,小金属
13,002339,积成电子,10.038609504699707,11.4,734724496,5458247085.6,5746651900.8,13.69339370727539,294426853,093442,094145,1,2/2,2,电网设备
14,600189,泉阳泉,10.040705680847168,8.11,243427820,5800254255.32,5800254222.879999,4.2442545890808105,131200417,093453,093453,0,1/1,1,食品饮料
15,002270,华明装备,9.986458778381348,32.49,404313520,29117742069.690002,29118364025.760002,1.4127020835876465,277292273,093554,094442,2,1/1,1,电网设备
16,600671,天目药业,9.99456787109375,20.25,128470571,2464840793.25,2466022421.25,5.281360149383545,34151625,093609,094930,1,1/1,1,中药
17,601096,宏盛华源,9.937888145446777,5.31,924228416,8724205432.71,14205073517.279999,10.852184295654297,2293920,093627,105021,7,2/2,2,电网设备
18,002201,九鼎新材,9.982638359069824,12.67,787411792,7627636731.4,8256231160.8,10.583635330200195,435716308,093651,093724,1,4/2,1,玻璃玻纤
19,002606,大连电瓷,10.050762176513672,10.84,369701952,4565179876.2,4759553661.44,8.375017166137695,217117612,093824,093824,0,1/1,1,电网设备
20,688308,欧科亿,20.0,39.78,281983456,6316336344.24,6316336344.24,4.614059925079346,232304021,093911,093911,0,1/1,1,通用设备
21,601179,中国西电,10.038313865661621,14.36,4925964032,73607670574.72,73607670804.48,6.829010009765625,1414743581,094009,095021,1,1/1,1,电网设备
22,002995,天地在线,9.989142417907715,20.26,156589921,2277572634.0800004,3595227764.8,7.07396125793457,219603205,094154,094154,0,1/1,1,文化传媒
23,603239,浙江仙通,10.022371292114258,24.59,203533683,6657004800.0,6657004800.0,3.1320552825927734,143536748,094916,094916,0,1/1,1,汽车零部
24,002591,恒大高新,9.943181991577148,7.74,130738035,1729986455.88,2323544037.12,7.763349533081055,204285690,095709,095709,0,1/1,1,互联网服
25,600163,中闽能源,9.9277982711792,6.09,387924832,11589246510.869999,11589246516.96,3.445185899734497,192455680,100312,100312,0,1/1,1,电力行业
26,002219,新里程,9.829059600830078,2.57,748408448,8409152360.4,8705571123.199999,9.181998252868652,245885955,100630,102224,1,5/3,1,医疗服务
27,600537,亿晶光电,10.035842895507812,3.07,775417600,3634005105.2599998,3634005123.68,23.036352157592773,4692495,101504,103516,5,1/1,1,光伏设备
28,600382,广东明珠,9.987030029296875,8.48,236029501,5888580594.72,5888580654.08,4.162476062774658,173394918,101842,101842,0,1/1,1,钢铁行业
29,002187,广百股份,9.951457023620605,9.06,558921248,6350105374.9800005,6350105438.400001,9.097370147705078,425527362,101903,101903,0,1/1,1,商业百货
30,603186,华正新材,9.998275756835938,63.81,790595360,9062604912.78,9062604912.78,9.004074096679688,165612474,102102,104653,2,1/1,1,电子元件
31,605288,凯迪股份,10.001739501953125,126.48,247227670,8878758389.76,8938722557.76,2.930837392807007,83173880,103447,103447,0,1/1,1,专用设备
32,002258,利尔化学,10.006715774536133,16.38,576549584,13090082651.099998,13111161860.16,4.56685209274292,158555877,103630,103630,0,1/1,1,农药兽药
33,000803,山高环能,10.059171676635742,9.3,234946532,4276026354.0000005,4336554288.0,5.758164882659912,345768792,103821,103821,0,1/1,1,综合行业
34,002426,胜利精密,10.049019813537598,4.49,1075301440,15277673510.59,15277790380.800001,7.379000663757324,1537084185,104057,104057,0,1/1,1,通用设备
35,001376,百通能源,10.022271156311035,19.76,435565536,4223755584.88,9107384000.0,10.720568656921387,404163136,104657,104657,0,3/2,1,公用事业
